section_id,board_id,name,pin_count
section_1,board_1001,In progress,0
section_2,board_1001,Done,0
section_4,board_1002,In progress,0
section_5,board_1002,Done,0
section_7,board_1003,In progress,0
section_8,board_1003,Done,0
section_10,board_1004,In progress,0
section_11,board_1004,Done,0
section_13,board_1005,In progress,0
section_14,board_1005,Done,0
section_16,board_1001,Booked trips,2
section_17,board_1002,Studio gear,5
section_18,board_1002,Vinyl finds,3
section_19,board_1003,Jollof variations,8
section_20,board_1003,Egusi and soups,4
section_21,board_1004,Home gym setup,6
section_22,board_1004,Boxing drills,2
section_23,board_1005,Street photography,7
section_24,board_1005,Arsenal moments,3
section_25,board_1001,Lagos itineraries,5
