pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_5001,2026-03-27,278,19,13,10
pin_5001,2026-03-26,32,25,17,2
pin_5001,2026-03-25,20,8,10,3
pin_5001,2026-03-24,408,16,1,15
pin_5001,2026-03-23,456,35,13,12
pin_5001,2026-03-22,260,23,8,8
pin_5001,2026-03-21,165,21,6,14
pin_5002,2026-03-27,590,15,23,12
pin_5002,2026-03-26,343,37,20,1
pin_5002,2026-03-25,344,23,0,1
pin_5002,2026-03-24,87,23,7,3
pin_5002,2026-03-23,359,27,9,5
pin_5002,2026-03-22,561,32,21,2
pin_5002,2026-03-21,510,40,15,14
pin_5003,2026-03-27,236,36,4,7
pin_5003,2026-03-26,396,23,12,8
pin_5003,2026-03-25,17,7,20,11
pin_5003,2026-03-24,506,5,3,8
pin_5003,2026-03-23,509,18,23,0
pin_5003,2026-03-22,334,40,11,1
pin_5003,2026-03-21,332,30,4,10
pin_5004,2026-03-27,414,30,17,11
pin_5004,2026-03-26,256,7,23,12
pin_5004,2026-03-25,513,26,16,5
pin_5004,2026-03-24,86,39,4,4
pin_5004,2026-03-23,348,35,1,0
pin_5004,2026-03-22,346,11,17,0
pin_5004,2026-03-21,12,12,19,4
pin_5005,2026-03-27,18,34,4,14
pin_5005,2026-03-26,360,40,11,3
pin_5005,2026-03-25,11,11,0,9
pin_5005,2026-03-24,326,33,17,15
pin_5005,2026-03-23,200,8,9,11
pin_5005,2026-03-22,531,8,11,1
pin_5005,2026-03-21,80,11,19,4
pin_5006,2026-03-27,280,17,14,11
pin_5006,2026-03-26,445,39,0,10
pin_5006,2026-03-25,528,13,25,15
pin_5006,2026-03-24,27,3,4,15
pin_5006,2026-03-23,452,40,13,14
pin_5006,2026-03-22,38,39,19,3
pin_5006,2026-03-21,535,19,3,4
pin_5007,2026-03-27,406,16,0,11
pin_5007,2026-03-26,7,15,24,8
pin_5007,2026-03-25,285,5,21,7
pin_5007,2026-03-24,285,10,15,13
pin_5007,2026-03-23,600,26,20,9
pin_5007,2026-03-22,418,25,7,3
pin_5007,2026-03-21,74,30,17,14
pin_5008,2026-03-27,582,18,16,15
pin_5008,2026-03-26,572,20,11,12
pin_5008,2026-03-25,53,18,18,12
pin_5008,2026-03-24,582,10,6,10
pin_5008,2026-03-23,146,6,19,1
pin_5008,2026-03-22,557,38,6,0
pin_5008,2026-03-21,577,8,0,14
pin_5009,2026-03-27,252,2,4,5
pin_5009,2026-03-26,474,28,16,7
pin_5009,2026-03-25,430,24,5,0
pin_5009,2026-03-24,510,29,16,4
pin_5009,2026-03-23,196,11,17,2
pin_5009,2026-03-22,168,18,15,3
pin_5009,2026-03-21,510,14,9,9
pin_5010,2026-03-27,380,10,16,2
pin_5010,2026-03-26,510,21,1,8
pin_5010,2026-03-25,510,0,6,15
pin_5010,2026-03-24,419,24,22,3
