id,category,item,quantity,unit,cost,date,vendor,notes,createdTime
rec_o001,feed,Feed item 1,1,bags,175.89,2027-03-22,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o002,supplement,Supplement item 2,40,lbs,292.53,2027-03-08,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o003,veterinary,Veterinary item 3,18,bags,255.27,2027-03-11,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o004,fencing,Fencing item 4,26,bags,344.86,2027-03-16,Blackfoot Feed,,2026-10-01T00:00:00.000Z
rec_o005,fuel,Fuel item 5,31,lbs,261.27,2027-03-06,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o006,equipment,Equipment item 6,11,lbs,404.44,2027-03-19,Blackfoot Feed,,2026-10-01T00:00:00.000Z
rec_o007,hay,Hay item 7,27,bags,206.67,2027-03-13,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o008,mineral,Mineral item 8,9,bales,50.38,2027-03-07,Interstate Fuel,,2026-10-01T00:00:00.000Z
rec_o009,vaccine,Vaccine item 9,33,gallons,390.88,2027-03-06,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o010,bedding,Bedding item 10,32,rolls,89.13,2027-03-20,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o011,feed,Feed item 11,24,gallons,235.42,2027-03-10,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o012,supplement,Supplement item 12,43,bales,407.78,2027-03-13,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o013,veterinary,Veterinary item 13,3,lbs,202.58,2027-03-08,Rocky Mountain Supply,,2026-10-01T00:00:00.000Z
rec_o014,fencing,Fencing item 14,44,gallons,305.11,2027-03-10,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o015,fuel,Fuel item 15,9,lbs,183.6,2027-03-10,Calvin's Hardware,,2026-10-01T00:00:00.000Z
rec_o016,equipment,Equipment item 16,24,bales,314.47,2027-03-04,Browning Vet,,2026-10-01T00:00:00.000Z
rec_o017,hay,Hay item 17,1,bales,237.79,2027-03-12,Browning Vet,,2026-10-01T00:00:00.000Z
