id,tag_number,breed,sex,age_years,status,last_check,calving_due,calf_info,pasture,notes,createdTime
rec_h001,127,Angus Cross,F,3,due_this_week,2027-03-22,2027-03-24,"first-calf heifer, monitored closely",Calving Barn,"Showing early signs, bag development good",2026-10-01T00:00:00.000Z
rec_h002,131,Angus Cross,F,3,overdue,2027-03-22,2027-03-21,"first-calf heifer, overdue 2 days",Calving Barn,"Overdue, no distress signs yet",2026-10-01T00:00:00.000Z
rec_h003,103,Angus Cross,F,3,open,2027-03-22,2027-03-02,,North Pasture,routine,2026-10-01T00:00:00.000Z
rec_h004,104,Angus Cross,F,8,due_april,2027-03-15,,,South Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h005,105,Angus Cross,F,11,due_may,2027-03-16,2027-04-14,,East Range,excellent,2026-10-01T00:00:00.000Z
rec_h006,106,Hereford Cross,F,5,due_may,2027-03-19,2027-04-24,,North Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h007,107,Angus Cross,M,11,nursing,2027-03-21,,,South Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h008,108,Angus Cross,F,6,bred,2027-03-15,,,East Range,healthy,2026-10-01T00:00:00.000Z
rec_h009,109,Angus Cross,F,3,nursing,2027-03-17,2027-05-11,,North Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h010,110,Hereford Cross,F,12,due_april,2027-03-21,,,South Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h011,111,Angus Cross,F,5,nursing,2027-03-15,2027-04-18,,East Range,healthy,2026-10-01T00:00:00.000Z
rec_h012,112,Angus Cross,M,11,open,2027-03-21,2027-05-13,,North Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h013,113,Angus Cross,F,9,due_april,2027-03-17,,,South Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h014,114,Hereford Cross,F,10,open,2027-03-18,,,East Range,excellent,2026-10-01T00:00:00.000Z
rec_h015,115,Angus Cross,F,7,due_may,2027-03-17,2027-04-26,,North Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h016,116,Angus Cross,F,4,due_april,2027-03-15,,,South Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h017,117,Angus Cross,M,7,due_may,2027-03-19,2027-05-25,,East Range,routine,2026-10-01T00:00:00.000Z
rec_h018,118,Hereford Cross,F,5,bred,2027-03-22,2027-05-24,,North Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h019,119,Angus Cross,F,8,due_may,2027-03-22,,,South Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h020,120,Angus Cross,F,4,dry,2027-03-19,,,East Range,excellent,2026-10-01T00:00:00.000Z
rec_h021,121,Angus Cross,F,6,due_may,2027-03-16,2027-05-04,,North Pasture,slight limp - monitoring,2026-10-01T00:00:00.000Z
rec_h022,122,Hereford Cross,M,2,bred,2027-03-15,,,South Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h023,123,Angus Cross,F,4,due_april,2027-03-22,2027-03-22,,East Range,healthy,2026-10-01T00:00:00.000Z
rec_h024,124,Angus Cross,F,12,due_april,2027-03-20,2027-04-03,,North Pasture,good body condition,2026-10-01T00:00:00.000Z
rec_h025,125,Angus Cross,F,6,due_april,2027-03-15,,,South Pasture,excellent,2026-10-01T00:00:00.000Z
rec_h026,126,Hereford Cross,F,5,bred,2027-03-18,,,East Range,excellent,2026-10-01T00:00:00.000Z
rec_h027,127,Angus Cross,M,5,open,2027-03-15,2027-05-03,,North Pasture,needs mineral supplement,2026-10-01T00:00:00.000Z
rec_h028,128,Angus Cross,F,12,bred,2027-03-17,,,South Pasture,routine,2026-10-01T00:00:00.000Z
rec_h029,129,Angus Cross,F,2,nursing,2027-03-22,2027-03-18,,East Range,excellent,2026-10-01T00:00:00.000Z
rec_h030,130,Hereford Cross,F,9,nursing,2027-03-17,2027-05-09,,North Pasture,healthy,2026-10-01T00:00:00.000Z
rec_h031,228,Angus Cross,F,5,open,2027-03-19,,,South Pasture,excellent,2026-10-01T00:00:00.000Z
