service_code,service_name,origin_zip,dest_zip,weight_lb,currency,total_charge,transit_days,delivery_date
03,UPS Ground,24103,25813,120,EUR,240.00,2,2027-05-20
01,UPS Next Day,24103,25813,30,EUR,95.00,1,2027-05-19
1002,Quartz delta 3,1002,meadow-3,1002.0,EUR,306,1002,2026-06-02T21:40:00Z
1003,Alpha umber 4,1003,alpha-4,1003.0,EUR,249,1003,2026-01-06T23:56:00Z
1004,Kelp quartz 5,1004,cedar-5,1004.0,EUR,804,1004,2026-10-18T12:33:00Z
1005,Iris river 6,1005,ember-6,1005.0,EUR,821,1005,2026-01-04T05:11:00Z
1006,Zephyr tidal 7,1006,iris-7,1006.0,EUR,253,1006,2026-11-28T09:50:00Z
1007,Pine summit 8,1007,grove-8,1007.0,EUR,447,1007,2026-10-02T07:49:00Z
1008,Umber orbit 9,1008,umber-9,1008.0,EUR,143,1008,2026-11-17T16:02:00Z
1009,Frost ember 10,1009,harbor-10,1009.0,EUR,653,1009,2026-05-16T07:25:00Z
1010,Cedar coral 11,1010,summit-11,1010.0,EUR,576,1010,2026-08-13T14:42:00Z
1011,Coral willow 12,1011,alpha-12,1011.0,EUR,708,1011,2026-09-17T17:26:00Z
1012,Bravo quartz 13,1012,delta-13,1012.0,EUR,237,1012,2026-07-14T13:56:00Z
1013,Harbor violet 14,1013,jade-14,1013.0,EUR,681,1013,2026-06-20T09:20:00Z
1014,Violet grove 15,1014,kelp-15,1014.0,EUR,524,1014,2026-10-24T11:30:00Z
1015,Zephyr violet 16,1015,delta-16,1015.0,EUR,46,1015,2026-07-17T21:57:00Z
1016,Haze meadow 17,1016,river-17,1016.0,EUR,25,1016,2026-11-05T05:32:00Z
1017,Frost alpha 18,1017,iris-18,1017.0,EUR,726,1017,2026-05-18T21:15:00Z
1018,Pine bravo 19,1018,bravo-19,1018.0,EUR,658,1018,2026-08-17T16:25:00Z
1019,Delta zephyr 20,1019,river-20,1019.0,EUR,365,1019,2026-09-23T19:12:00Z
1020,Haze river 21,1020,grove-21,1020.0,EUR,601,1020,2026-03-07T13:12:00Z
1021,Haze jade 22,1021,tidal-22,1021.0,EUR,722,1021,2026-03-25T20:22:00Z
