page_id,property_name,property_type,value
pg_ibclc_m04,target_completion,rich_text,2026-12-15
pg_ibclc_m04,study_hours_logged,rich_text,38
pg_ibclc_m05,target_completion,rich_text,2027-01-30
pg_ibclc_exam,exam_date,rich_text,2026-11-07
pg_ibclc_exam,study_hours_logged,rich_text,96
pg_read_el_0141,note,rich_text,Sample size below 400. Not sufficient to close the long-horizon question.
pg_hist_019,priority,rich_text,Historical value 7
pg_hist_073,tag,rich_text,Historical value 8
pg_hist_064,tag,rich_text,Historical value 9
pg_hist_084,note,rich_text,Historical value 10
pg_hist_014,target_completion,rich_text,Historical value 11
pg_hist_074,status_note,rich_text,Historical value 12
pg_hist_050,priority,rich_text,Historical value 13
pg_hist_063,study_hours_logged,rich_text,Historical value 14
pg_hist_084,target_completion,rich_text,Historical value 15
pg_hist_050,priority,rich_text,Historical value 16
pg_hist_031,status_note,rich_text,Historical value 17
pg_hist_014,target_completion,rich_text,Historical value 18
pg_hist_023,target_completion,rich_text,Historical value 19
pg_hist_053,status_note,rich_text,Historical value 20
pg_hist_071,note,rich_text,Historical value 21
pg_hist_067,priority,rich_text,Historical value 22
pg_hist_074,study_hours_logged,rich_text,Historical value 23
pg_hist_044,target_completion,rich_text,Historical value 24
pg_hist_039,note,rich_text,Historical value 25
pg_hist_040,note,rich_text,Historical value 26
pg_hist_049,priority,rich_text,Historical value 27
pg_hist_064,tag,rich_text,Historical value 28
pg_hist_054,status_note,rich_text,Historical value 29
pg_hist_081,note,rich_text,Historical value 30
pg_hist_073,target_completion,rich_text,Historical value 31
pg_hist_028,tag,rich_text,Historical value 32
pg_hist_081,status_note,rich_text,Historical value 33
pg_hist_052,study_hours_logged,rich_text,Historical value 34
pg_hist_058,tag,rich_text,Historical value 35
pg_hist_062,priority,rich_text,Historical value 36
pg_hist_026,target_completion,rich_text,Historical value 37
pg_hist_059,priority,rich_text,Historical value 38
pg_hist_035,study_hours_logged,rich_text,Historical value 39
pg_hist_014,study_hours_logged,rich_text,Historical value 40
pg_hist_021,priority,rich_text,Historical value 41
pg_hist_082,note,rich_text,Historical value 42
pg_hist_070,target_completion,rich_text,Historical value 43
pg_hist_018,priority,rich_text,Historical value 44
pg_hist_030,study_hours_logged,rich_text,Historical value 45
pg_hist_050,study_hours_logged,rich_text,Historical value 46
pg_hist_028,target_completion,rich_text,Historical value 47
pg_hist_019,priority,rich_text,Historical value 48
pg_hist_026,status_note,rich_text,Historical value 49
pg_hist_058,status_note,rich_text,Historical value 50
pg_hist_071,study_hours_logged,rich_text,Historical value 51
pg_hist_044,priority,rich_text,Historical value 52
pg_hist_074,tag,rich_text,Historical value 53
pg_hist_026,note,rich_text,Historical value 54
pg_hist_085,target_completion,rich_text,Historical value 55
pg_hist_042,study_hours_logged,rich_text,Historical value 56
pg_hist_075,tag,rich_text,Historical value 57
pg_hist_034,target_completion,rich_text,Historical value 58
pg_hist_030,tag,rich_text,Historical value 59
pg_hist_015,tag,rich_text,Historical value 60
pg_hist_076,status_note,rich_text,Historical value 61
pg_hist_083,study_hours_logged,rich_text,Historical value 62
pg_hist_032,note,rich_text,Historical value 63
pg_hist_040,target_completion,rich_text,Historical value 64
pg_hist_086,target_completion,rich_text,Historical value 65
pg_hist_047,note,rich_text,Historical value 66
pg_hist_065,target_completion,rich_text,Historical value 67
pg_hist_044,status_note,rich_text,Historical value 68
pg_hist_030,study_hours_logged,rich_text,Historical value 69
pg_hist_062,status_note,rich_text,Historical value 70
pg_hist_085,priority,rich_text,Historical value 71
pg_hist_064,study_hours_logged,rich_text,Historical value 72
pg_hist_082,study_hours_logged,rich_text,Historical value 73
pg_hist_047,note,rich_text,Historical value 74
pg_hist_077,status_note,rich_text,Historical value 75
pg_hist_041,note,rich_text,Historical value 76
pg_hist_080,status_note,rich_text,Historical value 77
pg_hist_017,status_note,rich_text,Historical value 78
pg_hist_035,target_completion,rich_text,Historical value 79
pg_hist_038,note,rich_text,Historical value 80
pg_hist_045,target_completion,rich_text,Historical value 81
pg_hist_045,status_note,rich_text,Historical value 82
pg_hist_057,target_completion,rich_text,Historical value 83
pg_hist_054,tag,rich_text,Historical value 84
pg_hist_034,note,rich_text,Historical value 85
pg_hist_082,status_note,rich_text,Historical value 86
pg_hist_018,target_completion,rich_text,Historical value 87
pg_hist_072,study_hours_logged,rich_text,Historical value 88
pg_hist_027,tag,rich_text,Historical value 89
pg_hist_039,target_completion,rich_text,Historical value 90
