id,number,repo,title,body,state,user,assignee,labels,milestone,created_at,updated_at,closed_at,is_pull_request
gi-1,1,urisn-analysis,Pin analysis to pipeline spec v3.2,Q3 scripts must match protocol of record v3.2 (see governance wiki).,open,marcus-hayes,gerald-roman,governance;q3,Q3,2026-09-10T10:00:00Z,2026-09-28T10:00:00Z,,false
gi-2,2,urisn-pipeline,Late-August ingestion gaps,Several Aug/Sep collection days show ingestion gaps; cross-ref Sentry URISN-442/URISN-443 and Jira URDE-4.,open,gerald-roman,sarah-kim,feed-health,Q3,2026-08-21T10:00:00Z,2026-09-20T10:00:00Z,,false
gi-3,3,urisn-pipeline,Routine task #3,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-4,4,urisn-pipeline,Routine task #4,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-5,5,urisn-analysis,Routine task #5,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-6,6,urisn-analysis,Routine task #6,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-7,7,urisn-analysis,Routine task #7,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-8,8,urisn-pipeline,Routine task #8,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-9,9,urisn-analysis,Routine task #9,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-10,10,urisn-pipeline,Routine task #10,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-11,11,urisn-pipeline,Routine task #11,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-12,12,urisn-analysis,Routine task #12,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-13,13,urisn-analysis,Routine task #13,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-14,14,urisn-analysis,Routine task #14,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-15,15,urisn-pipeline,Routine task #15,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-16,16,urisn-analysis,Routine task #16,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-17,17,urisn-pipeline,Routine task #17,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-18,18,urisn-analysis,Routine task #18,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-19,19,urisn-analysis,Routine task #19,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-20,20,urisn-pipeline,Routine task #20,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-21,21,urisn-analysis,Routine task #21,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-22,22,urisn-analysis,Routine task #22,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-23,23,urisn-pipeline,Routine task #23,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-24,24,urisn-analysis,Routine task #24,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-25,25,urisn-analysis,Routine task #25,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-26,26,urisn-analysis,Routine task #26,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-27,27,urisn-analysis,Routine task #27,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-28,28,urisn-pipeline,Routine task #28,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-29,29,urisn-analysis,Routine task #29,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-30,30,urisn-analysis,Routine task #30,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-31,31,urisn-analysis,Routine task #31,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-32,32,urisn-pipeline,Routine task #32,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-33,33,urisn-pipeline,Routine task #33,Maintenance item.,open,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,,false
gi-34,34,urisn-analysis,Routine task #34,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-35,35,urisn-analysis,Routine task #35,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-36,36,urisn-pipeline,Routine task #36,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-37,37,urisn-analysis,Routine task #37,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
gi-38,38,urisn-pipeline,Routine task #38,Maintenance item.,closed,gerald-roman,gerald-roman,chore,,2025-06-01T10:00:00Z,2026-01-01T10:00:00Z,2026-01-02T10:00:00Z,false
