track,artist,album,added_on
Thunder Road,Bruce Springsteen,Born to Run,2026-03-14
Kashmir,Led Zeppelin,Physical Graffiti,2026-03-14
Back in Black,AC/DC,Back in Black,2026-04-02
The River,Bruce Springsteen,The River,2026-05-19
Whole Lotta Love,Led Zeppelin,Led Zeppelin II,2026-06-08
Highway to Hell,AC/DC,Highway to Hell,2026-06-22
Born to Run,Bruce Springsteen,Born to Run,2026-07-30
Ramble On,Led Zeppelin,Led Zeppelin II,2026-08-11
You Shook Me All Night Long,AC/DC,Back in Black,2026-09-03
Atlantic City,Bruce Springsteen,Nebraska,2026-10-17
