period,gross_revenue,closed_invoices_count,open_invoices_count,closed_invoice_total,open_invoice_total,notes
Q1 2026,82340,17,4,82340,9200,Slow season
Q2 2026,98450,22,6,98450,14200,Spring pickup
Q3 2026,121650,28,9,121650,18800,Busy season peak
Q4 2026 YTD (Nov 8),116302,21,18,89252,130250,Nov closeout pending
TOTAL YTD,418742,88,18,391742,130250,Gross revenue $418,742 through Nov 8 2026
Jan 2026,24180,5,1,24180,3200,Two hot-water tank swaps and one small repipe
Feb 2026,26720,6,1,26720,2200,Bath replacement Brennan draft carried
Mar 2026,31440,6,2,31440,3800,Small kitchen jobs begin
Apr 2026,29850,7,2,29850,4200,Marquez bath finalized
May 2026,33920,8,2,33920,4800,Adler bath started
Jun 2026,34680,7,2,34680,5200,Volpicelli commercial phase 1 kickoff
Jul 2026,42710,10,3,42710,6400,Vacation dip early July then heavy service calls
Aug 2026,39820,9,3,39820,6000,Brennan Marquez close
Sep 2026,39120,9,3,39120,6400,Owen commercial prep sink Coletti basement begin
Oct 2026,45620,10,7,42120,15400,Hayashi Greco Patel signed; Henderson month peak
Nov 2026 (through Nov 8),30930,4,8,20510,55200,Half-month; Q4 closeout starting
Nov 2026 remaining forecast,17000,3,0,17000,0,Projection for last three weeks of Nov based on booked scope
Dec 2026 forecast,22800,4,0,22800,0,Projection includes crew Christmas dinner Dec 18 stand-down
Full year 2026 forecast total,458542,95,18,431542,130250,YTD 418742 plus Nov remaining 17000 plus Dec forecast 22800
2025 prior year full total,395210,84,0,395210,0,2025 actual for the year-over-year lens
2024 prior year full total,371450,79,0,371450,0,2024 actual reference
Gross growth 2025 to 2026 (forecast),16.03,,,,,Full-year forecast growth versus 2025 actual, expressed as percent
Owner take-home band,95000,,,,,Lower end of 95-110k owner take-home band that the household plans against
Owner take-home band upper,110000,,,,,Upper end of the 95-110k band; not guaranteed
Coastline Design portion of revenue,68400,4,2,58200,10200,Volpicelli phase 1 and Coletti split; architect billing not through Coastline directly
