alias,title,parent
mexican,Mexican,restaurants
tex-mex,Tex-Mex,restaurants
newmexican,New Mexican,restaurants
newamerican,New American,restaurants
cafes,Cafes,restaurants
bakeries,Bakeries,food
panaderias,Panaderias,food
meatshops,Meat Shops,food
ethicgrocery,Ethnic Grocery,food
healthmarkets,Health Markets,food
herbalshops,Herbal Shops,shopping
nurseries,Nurseries & Gardening,shopping
florists,Florists,shopping
stationery,Stationery,shopping
printing,Printing Services,localservices
audioequipmentrental,Audio Equipment Rental,eventservices
partyequipmentrentals,Party Equipment Rentals,eventservices
catering,Catering,eventservices
musicians,Musicians,eventservices
photographers,Photographers,eventservices
bookstores,Bookstores,shopping
religiousschools,Religious Schools,education
religiousorgs,Religious Organizations,religiousorgs
cemeteries,Cemeteries,professional
massage,Massage,beautysvc
holisticmed,Holistic Medicine,health
herbalmed,Herbal Medicine,health
acupuncture,Acupuncture,health
physicaltherapy,Physical Therapy,health
dentists,Dentists,health
optometrists,Optometrists,health
familypractice,Family Practice,health
pharmacies,Pharmacies,health
orthopedists,Orthopedists,health
communitycenters,Community Centers,publicservicesgovt
libraries,Libraries,publicservicesgovt
parks,Parks,publicservicesgovt
elementaryschools,Elementary Schools,education
hobbyshops,Hobby Shops,shopping
thriftstores,Thrift Stores,shopping
