Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
V001,King Arthur Baking Co NY LLC,King Arthur Baking Co NY LLC,accounts@kingarthurny.com,802-555-0122,58 Billings Farm Road,Norwich,VT,05055,0.00,true,KA-KIM-045,false
V002,Restaurant Depot Brighton,Restaurant Depot Brighton,brighton@restaurantdepot.com,718-555-0700,1601 Shore Parkway,Brooklyn,NY,11214,0.00,true,RD-2710-4B,false
V003,Steinberg Dairy,Steinberg Dairy Wholesale,orders@steinbergdairy.com,516-555-0244,84 Newbridge Road,Bellmore,NY,11710,0.00,true,SB-KIM-018,false
V004,Chestnut Grove Imports,Chestnut Grove Imports LLC,ap@chestnutgrove.com,646-555-0198,140 W 22nd Street,New York,NY,10011,0.00,true,CG-KIM-004,false
V005,Brooklyn Packaging Supply,Brooklyn Packaging Supply,orders@brooklynpackaging.com,718-555-0166,3311 39th Street,Long Island City,NY,11101,0.00,true,BP-KIM-091,false
V006,Valrhona USA,Valrhona USA Inc,orders@valrhona.com,718-555-0201,200 Hudson Street,New York,NY,10013,0.00,true,VR-KIM-003,false
V007,Guittard Chocolate,Guittard Chocolate Co,sales@guittard.com,707-555-0302,10 Guittard Road,Burlingame,CA,94010,0.00,true,GT-KIM-007,false
V008,Bob's Red Mill,Bob's Red Mill Natural Foods,wholesale@bobsredmill.com,503-555-0403,13521 SE Pheasant Court,Milwaukie,OR,97222,0.00,true,BR-KIM-012,false
V009,Nielsen-Massey Vanillas,Nielsen-Massey Vanillas Inc,orders@nielsenmassey.com,847-555-0504,1550 Shields Drive,Waukegan,IL,60085,0.00,true,NM-KIM-002,false
V010,Lakanto Sweeteners,Lakanto LLC,wholesale@lakanto.com,801-555-0605,698 South Main Street,Orem,UT,84058,0.00,true,LK-KIM-001,false
V011,Brooklyn Flour Exchange,Brooklyn Flour Exchange LLC,orders@bkflourexchange.com,718-555-0706,55 Water Street,Brooklyn,NY,11201,0.00,true,BF-KIM-008,false
V012,Empire State Eggs,Empire State Eggs Corp,sales@empirestateeggs.com,315-555-0807,4200 Route 14,Penn Yan,NY,14527,0.00,true,ES-KIM-015,false
V013,Hudson Valley Creamery,Hudson Valley Creamery LLC,orders@hvcreamery.com,845-555-0908,88 Creamery Lane,Millbrook,NY,12545,0.00,true,HV-KIM-004,false
V014,Atlantic Spice Co,Atlantic Spice Company,wholesale@atlanticspice.com,508-555-1009,2 Shore Road,Truro,MA,02666,0.00,true,AS-KIM-006,false
V015,Ghirardelli Wholesale,Ghirardelli Chocolate Company,orders@ghirardelli.com,415-555-1110,1111 139th Avenue,San Leandro,CA,94578,0.00,true,GH-KIM-009,false
V016,Whisk and Ladle Equipment,Whisk and Ladle Equipment LLC,sales@whiskandladle.com,718-555-1211,540 Metropolitan Avenue,Brooklyn,NY,11211,0.00,true,WL-KIM-021,false
V017,ClearBox Packaging Co,ClearBox Packaging Company,orders@clearboxpack.com,201-555-1312,88 Industrial Way,Kearny,NJ,07032,0.00,true,CB-KIM-014,false
V018,Metro Paper and Board,Metro Paper and Board Inc,ap@metropaperboard.com,718-555-1413,2200 Bruckner Boulevard,Bronx,NY,10473,0.00,true,MP-KIM-005,false
V019,Union Market Produce,Union Market Produce LLC,orders@unionmarketproduce.com,718-555-1514,64 New York Avenue,Brooklyn,NY,11216,0.00,true,UM-KIM-011,false
V020,Sweet Life Sugar Co,Sweet Life Sugar Company,wholesale@sweetlifesugar.com,504-555-1615,4200 Tchoupitoulas Street,New Orleans,LA,70115,0.00,true,SL-KIM-013,false
V021,Hudson Honey Farms,Hudson Honey Farms LLC,orders@hudsonhoney.com,845-555-1716,120 Orchard Road,New Paltz,NY,12561,0.00,true,HH-KIM-010,false
V022,Con Edison,Consolidated Edison Company of NY,business@coned.com,800-555-1817,4 Irving Place,New York,NY,10003,0.00,true,CE-2710-3B,false
V023,Marcus Webb CPA,Webb Tax and Advisory LLC,marcus@webbtaxadvisory.com,718-555-1918,26 Court Street,Brooklyn,NY,11242,0.00,true,MW-KIM-2015,true
V024,Verizon Business,Verizon Business Services,billing@verizonbusiness.com,800-555-2019,140 West Street,New York,NY,10007,0.00,true,VZ-KIM-017,false
