Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
I001,Sourdough Loaf,Wholesale sourdough loaf,Inventory,7.50,200,Wholesale Revenue,true,false
I002,Butter Croissant,Wholesale butter croissant,Inventory,3.25,200,Wholesale Revenue,true,false
I003,Kouign Amann,Wholesale kouign amann,Inventory,4.00,200,Wholesale Revenue,true,false
I004,Lemon Square,Wholesale lemon square,Inventory,3.50,200,Wholesale Revenue,true,false
I005,Cranberry Orange Loaf,Wholesale cranberry orange loaf,Inventory,9.50,200,Wholesale Revenue,true,false
I006,Cinnamon Scone,Wholesale cinnamon scone,Inventory,3.75,200,Wholesale Revenue,true,false
I007,Chocolate Chip Cookie,Wholesale chocolate chip cookie,Inventory,2.50,200,Wholesale Revenue,true,false
I008,Challah Roll,Wholesale challah roll,Inventory,2.75,200,Wholesale Revenue,true,false
I009,Rugelach,Wholesale rugelach,Inventory,4.50,200,Wholesale Revenue,true,false
I010,Chocolate Babka,Wholesale chocolate babka,Inventory,18.00,200,Wholesale Revenue,true,false
I020,Signature Holiday Pie,Signature holiday sweet potato pie holiday line,Inventory,45.00,210,Holiday Line Revenue,true,false
I021,Chocolate Chestnut Yule Log,Signature Yule log holiday line,Inventory,115.00,210,Holiday Line Revenue,true,false
I022,Kwanzaa Cake Custom,Custom Kwanzaa cake holiday line,Inventory,145.00,210,Holiday Line Revenue,true,false
I030,Almond Horn Cookie,Wholesale almond horn cookie dozen,Inventory,28.00,200,Wholesale Revenue,true,false
I031,Pumpkin Spice Loaf,Seasonal pumpkin spice loaf,Inventory,12.00,210,Holiday Line Revenue,true,false
I032,Gingerbread Cookie Box,Holiday gingerbread cookie box of 12,Inventory,32.00,210,Holiday Line Revenue,true,false
I033,Pecan Tart,Individual pecan tart holiday line,Inventory,8.50,210,Holiday Line Revenue,true,false
I034,Apple Cider Donut,Wholesale apple cider donut,Inventory,2.75,200,Wholesale Revenue,true,false
I035,Maple Walnut Scone,Wholesale maple walnut scone,Inventory,4.25,200,Wholesale Revenue,true,false
I036,Mini Babka Trio,Mini babka trio gift box,Inventory,38.00,210,Holiday Line Revenue,true,false
I037,Hot Chocolate Mix,House hot chocolate mix jar,Inventory,16.00,210,Holiday Line Revenue,true,false
I038,Savory Focaccia Round,Wholesale savory focaccia round,Inventory,14.00,200,Wholesale Revenue,true,false
I039,Stollen Loaf,Traditional stollen loaf holiday line,Inventory,22.00,210,Holiday Line Revenue,true,false
I040,Buttermilk Biscuit,Wholesale buttermilk biscuit,Inventory,2.25,200,Wholesale Revenue,true,false
I041,Everything Bagel,Wholesale everything bagel,Inventory,1.75,200,Wholesale Revenue,true,false
I042,Pain au Chocolat,Wholesale pain au chocolat,Inventory,3.75,200,Wholesale Revenue,true,false
I043,Sweet Potato Pie Slice,Retail sweet potato pie slice,Inventory,6.50,201,Custom Order Revenue,true,false
I044,Holiday Gift Box Large,Assorted holiday gift box of six,Inventory,54.00,210,Holiday Line Revenue,true,false
I045,Cranberry Walnut Boule,Wholesale cranberry walnut boule,Inventory,8.00,200,Wholesale Revenue,true,false
I046,Sea Salt Caramel Tart,Holiday sea salt caramel tart,Inventory,9.00,210,Holiday Line Revenue,true,false
I047,Peppermint Bark Bag,Holiday peppermint bark bag,Inventory,12.00,210,Holiday Line Revenue,true,false
I048,Sourdough Baguette,Wholesale sourdough baguette,Inventory,4.50,200,Wholesale Revenue,true,false
I049,Eggnog Pound Cake,Seasonal eggnog pound cake holiday line,Inventory,26.00,210,Holiday Line Revenue,true,false
