id,company_id,pay_period_start,pay_period_end,check_date,processed,gross_pay,net_pay,employee_count
pay-0001,comp-moonlight,2026-01-01,2026-01-14,2026-01-19,true,2682.29,1931.25,8
pay-0002,comp-moonlight,2026-01-12,2026-01-25,2026-01-30,true,2291.87,1650.15,3
pay-0003,comp-moonlight,2026-01-28,2026-02-10,2026-02-15,true,4131.51,2974.69,6
pay-0004,comp-moonlight,2026-02-13,2026-02-26,2026-03-03,true,4025.50,2898.36,4
pay-0005,comp-moonlight,2026-02-24,2026-03-09,2026-03-14,true,1225.84,882.60,4
pay-0006,comp-moonlight,2026-03-12,2026-03-25,2026-03-30,true,1839.09,1324.14,10
pay-0007,comp-moonlight,2026-03-28,2026-04-10,2026-04-15,true,2746.80,1977.70,7
pay-0008,comp-moonlight,2026-04-12,2026-04-25,2026-04-30,true,4032.03,2903.06,4
pay-0009,comp-moonlight,2026-04-24,2026-05-07,2026-05-12,true,3705.88,2668.23,11
pay-0010,comp-moonlight,2026-05-10,2026-05-23,2026-05-28,true,1569.20,1129.82,7
pay-0011,comp-moonlight,2026-05-24,2026-06-06,2026-06-11,true,3448.11,2482.64,4
pay-0012,comp-moonlight,2026-06-09,2026-06-22,2026-06-27,true,2325.25,1674.18,10
pay-0013,comp-moonlight,2026-06-19,2026-07-02,2026-07-07,true,1698.66,1223.04,4
pay-0014,comp-moonlight,2026-07-05,2026-07-18,2026-07-23,true,4139.74,2980.61,7
pay-0015,comp-moonlight,2026-07-18,2026-07-31,2026-08-05,true,1993.99,1435.67,11
pay-0016,comp-moonlight,2026-08-01,2026-08-14,2026-08-19,true,2107.77,1517.59,4
pay-0017,comp-moonlight,2026-08-16,2026-08-29,2026-09-03,true,2127.22,1531.60,11
pay-0018,comp-moonlight,2026-08-30,2026-09-12,2026-09-17,true,1323.77,953.11,4
pay-0019,comp-moonlight,2026-09-11,2026-09-24,2026-09-29,true,2743.43,1975.27,5
pay-0020,comp-moonlight,2026-09-27,2026-10-10,2026-10-15,true,4019.30,2893.90,9
pay-0021,comp-moonlight,2026-10-10,2026-10-23,2026-10-28,true,2771.44,1995.44,12
pay-0022,comp-moonlight,2026-10-22,2026-11-04,2026-11-09,true,1240.90,893.45,8
pay-0023,comp-moonlight,2026-11-05,2026-11-18,2026-11-23,true,2735.57,1969.61,9
pay-0024,comp-moonlight,2026-11-20,2026-12-03,2026-12-08,true,2768.98,1993.67,11
pay-0025,comp-moonlight,2026-12-06,2026-12-19,2026-12-24,true,2952.19,2125.58,8
pay-0026,comp-moonlight,2026-12-16,2026-12-29,2027-01-03,true,3826.54,2755.11,11
pay-0027,comp-moonlight,2027-01-01,2027-01-14,2027-01-19,true,2537.50,1827.00,8
pay-0028,comp-moonlight,2027-01-14,2027-01-27,2027-02-01,true,2522.33,1816.08,5
pay-0029,comp-moonlight,2027-01-26,2027-02-08,2027-02-13,true,2983.25,2147.94,5
pay-0030,comp-moonlight,2027-02-09,2027-02-22,2027-02-27,true,3457.71,2489.55,6
pay-0031,comp-moonlight,2027-02-20,2027-03-05,2027-03-10,true,3730.69,2686.10,6
pay-0032,comp-moonlight,2027-03-05,2027-03-18,2027-03-23,true,3465.35,2495.05,11
pay-0033,comp-moonlight,2027-03-16,2027-03-29,2027-04-03,true,2085.36,1501.46,7
pay-0034,comp-moonlight,2027-03-28,2027-04-10,2027-04-15,true,3878.63,2792.61,8
pay-0035,comp-moonlight,2027-04-13,2027-04-26,2027-05-01,true,2705.35,1947.85,6
pay-0036,comp-moonlight,2027-04-28,2027-05-11,2027-05-16,true,3886.92,2798.58,11
pay-0037,comp-moonlight,2027-05-14,2027-05-27,2027-06-01,true,3549.70,2555.78,9
pay-0038,comp-moonlight,2027-05-26,2027-06-08,2027-06-13,true,1532.90,1103.69,5
pay-0039,comp-moonlight,2027-06-08,2027-06-21,2027-06-26,true,3474.30,2501.50,6
pay-0040,comp-moonlight,2027-06-20,2027-07-03,2027-07-08,true,1931.89,1390.96,4
pay-0041,comp-moonlight,2027-07-01,2027-07-14,2027-07-19,true,4130.04,2973.63,5
pay-0042,comp-moonlight,2027-07-15,2027-07-28,2027-08-02,true,1248.90,899.21,4
pay-0043,comp-moonlight,2027-07-28,2027-08-10,2027-08-15,true,1723.42,1240.86,7
pay-0044,comp-moonlight,2027-08-09,2027-08-22,2027-08-27,true,2940.66,2117.28,10
pay-0045,comp-moonlight,2027-08-20,2027-09-02,2027-09-07,true,2325.03,1674.02,6
pay-0046,comp-moonlight,2027-09-01,2027-09-14,2027-09-19,true,3937.82,2835.23,10
pay-0047,comp-moonlight,2027-09-17,2027-09-30,2027-10-05,true,3396.77,2445.67,8
pay-0048,comp-moonlight,2027-09-30,2027-10-13,2027-10-18,true,3328.50,2396.52,5
pay-0049,comp-moonlight,2027-10-15,2027-10-28,2027-11-02,true,3655.38,2631.87,6
pay-0050,comp-moonlight,2027-10-26,2027-11-08,2027-11-13,true,1476.59,1063.14,9
pay-0051,comp-moonlight,2027-11-11,2027-11-24,2027-11-29,true,2072.23,1492.01,12
pay-0052,comp-moonlight,2027-11-23,2027-12-06,2027-12-11,true,1575.89,1134.64,9
pay-0053,comp-moonlight,2027-12-03,2027-12-16,2027-12-21,true,2926.96,2107.41,9
pay-0054,comp-moonlight,2027-12-13,2027-12-26,2027-12-31,true,3098.78,2231.12,10
pay-0055,comp-moonlight,2027-12-27,2028-01-09,2028-01-14,true,2668.57,1921.37,11
pay-0056,comp-moonlight,2028-01-12,2028-01-25,2028-01-30,true,2852.91,2054.10,9
pay-0057,comp-moonlight,2028-01-24,2028-02-06,2028-02-11,true,4121.83,2967.72,5
pay-0058,comp-moonlight,2028-02-06,2028-02-19,2028-02-24,true,3903.75,2810.70,5
pay-0059,comp-moonlight,2028-02-17,2028-03-01,2028-03-06,true,1549.46,1115.61,9
pay-0060,comp-moonlight,2028-02-28,2028-03-12,2028-03-17,true,2750.69,1980.50,12
pay-0061,comp-moonlight,2028-03-11,2028-03-24,2028-03-29,true,2150.94,1548.68,10
pay-0062,comp-moonlight,2028-03-27,2028-04-09,2028-04-14,true,1261.73,908.45,11
pay-0063,comp-moonlight,2028-04-08,2028-04-21,2028-04-26,true,3024.75,2177.82,10
pay-0064,comp-moonlight,2028-04-18,2028-05-01,2028-05-06,true,3006.03,2164.34,11
pay-0065,comp-moonlight,2028-04-30,2028-05-13,2028-05-18,true,4097.59,2950.26,10
pay-0066,comp-moonlight,2028-05-14,2028-05-27,2028-06-01,true,3358.32,2417.99,11
pay-0067,comp-moonlight,2028-05-29,2028-06-11,2028-06-16,true,3247.34,2338.08,7
pay-0068,comp-moonlight,2028-06-10,2028-06-23,2028-06-28,true,2205.59,1588.02,6
pay-0069,comp-moonlight,2028-06-22,2028-07-05,2028-07-10,true,1398.15,1006.67,8
pay-0070,comp-moonlight,2028-07-06,2028-07-19,2028-07-24,true,2068.47,1489.30,8
pay-0071,comp-moonlight,2028-07-19,2028-08-01,2028-08-06,true,1611.01,1159.93,7
pay-0072,comp-moonlight,2028-08-02,2028-08-15,2028-08-20,true,2534.56,1824.88,6
pay-0073,comp-moonlight,2028-08-16,2028-08-29,2028-09-03,true,4002.29,2881.65,8
pay-0074,comp-moonlight,2028-08-28,2028-09-10,2028-09-15,true,2430.02,1749.61,8
pay-0075,comp-moonlight,2028-09-08,2028-09-21,2028-09-26,true,3535.87,2545.83,5
pay-0076,comp-moonlight,2028-09-20,2028-10-03,2028-10-08,true,2739.51,1972.45,8
pay-0077,comp-moonlight,2028-10-01,2028-10-14,2028-10-19,true,2515.20,1810.94,11
pay-0078,comp-moonlight,2028-10-11,2028-10-24,2028-10-29,true,1317.73,948.77,9
pay-0079,comp-moonlight,2028-10-24,2028-11-06,2028-11-11,true,1725.24,1242.17,6
pay-0080,comp-moonlight,2028-11-06,2028-11-19,2028-11-24,true,2308.99,1662.47,12
pay-0081,comp-moonlight,2028-11-17,2028-11-30,2028-12-05,true,4163.21,2997.51,6
pay-0082,comp-moonlight,2028-12-03,2028-12-16,2028-12-21,true,1440.55,1037.20,10
pay-0083,comp-moonlight,2028-12-14,2028-12-27,2029-01-01,true,2651.65,1909.19,3
