entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2027-01-15,Breakfast,1,Black Coffee,Folgers,12,oz,2,5,0,0,0,5,0,0,0,0
2,2027-01-15,Breakfast,2,Sausage Egg and Cheese Biscuit,Pilot Deli,1,sandwich,1,520,32,14,215,1280,38,1,4,22
3,2027-01-15,Lunch,3,Grilled Chicken Wrap,Subway,1,wrap,1,380,10,3,65,980,42,3,4,30
4,2027-01-15,Lunch,4,Baked Chips,Lay's,1,bag,1,130,3,0,0,200,23,2,2,2
5,2027-01-15,Lunch,5,Diet Coke,Coca-Cola,20,oz,1,0,0,0,0,40,0,0,0,0
6,2027-01-15,Dinner,6,Meatloaf Plate,Cracker Barrel,1,plate,1,620,32,14,120,1450,48,3,8,34
7,2027-01-15,Dinner,7,Sweet Tea,Restaurant,16,oz,1,120,0,0,0,10,32,0,30,0
8,2027-01-15,Snack,8,Beef Jerky,Jack Link's,2,oz,1,160,3,1,40,1120,6,0,5,26
9,2027-01-14,Breakfast,1,Black Coffee,Folgers,12,oz,2,5,0,0,0,5,0,0,0,0
10,2027-01-14,Breakfast,9,Oatmeal with Brown Sugar,Quaker,1,packet,1,210,3,1,0,220,42,4,12,5
11,2027-01-14,Breakfast,10,Banana,Generic,1,medium,1,105,0,0,0,1,27,3,14,1
12,2027-01-14,Lunch,11,Turkey Club Sandwich,Love's Deli,1,sandwich,1,480,20,6,75,1350,44,2,5,28
13,2027-01-14,Lunch,12,Apple,Generic,1,medium,1,95,0,0,0,2,25,4,19,0
14,2027-01-14,Lunch,13,Water,Generic,20,oz,2,0,0,0,0,0,0,0,0,0
15,2027-01-14,Dinner,14,Pulled Pork Plate,Jim N Nick's,1,plate,1,680,30,12,95,1580,52,2,14,38
16,2027-01-14,Dinner,15,Collard Greens,Jim N Nick's,1,side,1,120,8,3,10,620,8,4,1,4
17,2027-01-14,Dinner,16,Cornbread,Jim N Nick's,1,piece,1,210,10,4,35,380,28,1,8,3
18,2027-01-14,Snack,17,Peanut Butter Crackers,Lance,1,pack,1,200,10,2,0,350,22,1,5,5
19,2027-01-13,Breakfast,1,Black Coffee,Folgers,12,oz,2,5,0,0,0,5,0,0,0,0
20,2027-01-13,Breakfast,18,Egg White and Turkey Sausage Wrap,Pilot Deli,1,wrap,1,310,10,3,45,780,30,2,2,24
21,2027-01-13,Lunch,19,Grilled Chicken Sandwich,Wendy's,1,sandwich,1,370,10,2,70,900,36,2,6,34
22,2027-01-13,Lunch,20,Side Salad,Wendy's,1,salad,1,35,0,0,0,40,5,2,2,2
23,2027-01-13,Lunch,21,Ranch Dressing,Wendy's,1,packet,1,110,11,2,10,280,2,0,1,1
24,2027-01-13,Lunch,5,Diet Coke,Coca-Cola,20,oz,1,0,0,0,0,40,0,0,0,0
25,2027-01-13,Dinner,22,Chicken Fried Steak,Waffle House,1,plate,1,650,38,16,145,1680,42,1,3,28
26,2027-01-13,Dinner,23,Hash Browns Scattered Covered,Waffle House,1,order,1,340,24,10,30,780,26,3,1,5
27,2027-01-13,Snack,24,Trail Mix,Planters,0.25,cup,1,170,12,2,0,65,14,2,8,5
28,2027-01-12,Breakfast,1,Black Coffee,Folgers,12,oz,2,5,0,0,0,5,0,0,0,0
29,2027-01-12,Breakfast,25,Scrambled Eggs,Home,3,eggs,1,180,14,5,555,300,2,0,1,12
30,2027-01-12,Breakfast,26,Toast with Butter,Home,2,slices,1,165,8,4,15,230,20,1,2,3
31,2027-01-12,Lunch,27,Leftover Chili,Home,2,cups,1,350,16,6,55,820,28,6,5,22
32,2027-01-12,Lunch,28,Saltine Crackers,Premium,5,crackers,1,70,2,0,0,190,12,0,0,1
33,2027-01-12,Dinner,29,Grilled Pork Chop,Home,8,oz,1,280,16,6,85,380,0,0,0,32
34,2027-01-12,Dinner,30,Steamed Broccoli,Home,1,cup,1,55,0,0,0,50,10,5,2,4
35,2027-01-12,Dinner,31,Brown Rice,Home,1,cup,1,215,2,0,0,10,45,3,1,5
36,2027-01-12,Snack,32,String Cheese,Sargento,1,stick,1,80,6,4,20,200,1,0,0,6
