food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,Black Coffee,Folgers,12,oz,5,0,0,0,5,0,0,0,0,116,true
2,Sausage Egg and Cheese Biscuit,Pilot Deli,1,sandwich,520,32,14,215,1280,38,1,4,22,180,false
3,Grilled Chicken Wrap,Subway,1,wrap,380,10,3,65,980,42,3,4,30,290,true
4,Baked Chips,Lay's,1,bag,130,3,0,0,200,23,2,2,2,350,true
5,Diet Coke,Coca-Cola,20,oz,0,0,0,0,40,0,0,0,0,0,true
6,Meatloaf Plate,Cracker Barrel,1,plate,620,32,14,120,1450,48,3,8,34,520,false
7,Sweet Tea,Restaurant,16,oz,120,0,0,0,10,32,0,30,0,40,false
8,Beef Jerky,Jack Link's,2,oz,160,3,1,40,1120,6,0,5,26,280,true
9,Oatmeal with Brown Sugar,Quaker,1,packet,210,3,1,0,220,42,4,12,5,180,true
10,Banana,Generic,1,medium,105,0,0,0,1,27,3,14,1,422,true
11,Turkey Club Sandwich,Love's Deli,1,sandwich,480,20,6,75,1350,44,2,5,28,310,false
12,Apple,Generic,1,medium,95,0,0,0,2,25,4,19,0,195,true
13,Water,Generic,20,oz,0,0,0,0,0,0,0,0,0,0,true
14,Pulled Pork Plate,Jim N Nick's,1,plate,680,30,12,95,1580,52,2,14,38,480,false
15,Collard Greens,Jim N Nick's,1,side,120,8,3,10,620,8,4,1,4,220,false
16,Cornbread,Jim N Nick's,1,piece,210,10,4,35,380,28,1,8,3,90,false
17,Peanut Butter Crackers,Lance,1,pack,200,10,2,0,350,22,1,5,5,110,true
18,Egg White and Turkey Sausage Wrap,Pilot Deli,1,wrap,310,10,3,45,780,30,2,2,24,260,false
19,Grilled Chicken Sandwich,Wendy's,1,sandwich,370,10,2,70,900,36,2,6,34,340,true
20,Side Salad,Wendy's,1,salad,35,0,0,0,40,5,2,2,2,150,true
21,Ranch Dressing,Wendy's,1,packet,110,11,2,10,280,2,0,1,1,30,true
22,Chicken Fried Steak,Waffle House,1,plate,650,38,16,145,1680,42,1,3,28,380,false
23,Hash Browns Scattered Covered,Waffle House,1,order,340,24,10,30,780,26,3,1,5,460,false
24,Trail Mix,Planters,0.25,cup,170,12,2,0,65,14,2,8,5,190,true
25,Scrambled Eggs,Home,3,eggs,180,14,5,555,300,2,0,1,12,130,false
26,Toast with Butter,Home,2,slices,165,8,4,15,230,20,1,2,3,55,false
27,Leftover Chili,Home,2,cups,350,16,6,55,820,28,6,5,22,680,false
28,Saltine Crackers,Premium,5,crackers,70,2,0,0,190,12,0,0,1,20,true
29,Grilled Pork Chop,Home,8,oz,280,16,6,85,380,0,0,0,32,410,false
30,Steamed Broccoli,Home,1,cup,55,0,0,0,50,10,5,2,4,460,true
31,Brown Rice,Home,1,cup,215,2,0,0,10,45,3,1,5,84,true
32,String Cheese,Sargento,1,stick,80,6,4,20,200,1,0,0,6,20,true
