playlist	track	artist	mood
Work Day	Cowboy Take Me Away	Dixie Chicks	morning haul
Work Day	Rhinestone Cowboy	Glen Campbell	pulling wire
Work Day	Merry Go Round	Kacey Musgraves	slow afternoon
Garage Saturday	Truck Bed	HARDY	wrenching
Garage Saturday	Jolene	Dolly Parton	singing over the grinder
Garage Saturday	The Bones	Maren Morris	break time
Drive With Kyle	Cruel Summer	Taylor Swift	windows down
Drive With Kyle	Levitating	Dua Lipa	his pick
Drive With Kyle	Good 4 U	Olivia Rodrigo	loud
Sunday Slow	Crazy	Patsy Cline	mom called
Sunday Slow	Coat of Many Colors	Dolly Parton	winding down
