part	source	status	price_usd	date	notes
four-barrel carburetor rebuilt	a performance parts supplier	bookmarked	289.99	2026-02-10	deciding, over 75 so needs the nod
Carb rebuild kit	the auto parts store	in hand	34.49	2026-01-22	bought, body soaking
Intake manifold gasket set	the auto parts store	on order	28.75	2026-02-12	confirm bolt pattern w Jake
Low pressure fuel pump	a performance parts supplier	researching	62.00	2026-02-13	carb friendly 5 to 7 psi
Spark plugs set of 8	the general store	in hand	18.40	2026-01-30	OE-spec
Plug wires	the auto parts store	next	44.99	0	while top end is open
Starter motor	the auto parts store	planned	118.00	0	Oct garage day with Dad
Radiator hoses upper lower	the auto parts store	planned	36.50	0	check before refill
Intake bolts grade 8	the hardware store	in hand	9.25	2026-02-01
Carb to intake studs	an auto parts supplier	researching	14.00	0	maybe reuse old ones
