type	name	topic	why
video	a carb-build channel	carb and engine builds	good four-barrel carb teardown vids
video	a beginner-repair channel	beginner friendly repair	clean explanations for the swap
video	an old-truck revival channel	old square-body trucks revival	C10 era stuff, entertaining
video	a home-renovation channel	home renovation	for the someday house
forum	a square-body truck forum	square body and adjacent	parts fitment answers
forum	a carb-tuning forum	four-barrel carb tuning	float and jetting threads
bookmark	a performance parts supplier	parts	the rebuilt four-barrel carb is saved here
bookmark	an online parts site	parts	cross check prices vs the auto parts store
channel	college football recaps	Alabama	off week catch up
app	a music streaming app	music	on all day at work
