group_id,user_id
grp_all,okta_creed
grp_ti_team,okta_creed
grp_analysts_sr,okta_creed
grp_oncall_p1,okta_creed
grp_all,okta_jwu
grp_ti_team,okta_jwu
grp_analysts_sr,okta_jwu
grp_all,okta_priya
grp_managers,okta_priya
grp_de_team,okta_priya
grp_oncall_p1,okta_priya
grp_all,okta_yuki
grp_ti_team,okta_yuki
grp_de_team,okta_yuki
grp_all,okta_aisha
grp_de_team,okta_aisha
grp_ti_team,okta_aisha
grp_ir_team,okta_aisha
grp_all,okta_marcus
grp_analysts_sr,okta_marcus
grp_ti_team,okta_marcus
grp_all,okta_diego
grp_managers,okta_diego
grp_oncall_p1,okta_diego
grp_all,okta_sara
grp_managers,okta_sara
grp_all,okta_leo
grp_ir_team,okta_leo
grp_all,okta_monica
grp_managers,okta_monica
grp_ti_team,okta_monica
grp_f96e008d,okta_b3481c5f
grp_b8a4e913,okta_981de72c
grp_0d045517,okta_3612efea
grp_83069575,okta_7a75328e
grp_6e29cf89,okta_6b59d004
grp_d9e784be,okta_c2f6f33a
grp_9828ce8b,okta_d39ccab3
grp_42eeba62,okta_9b42c92f
grp_1e39760b,okta_4921eb37
grp_ba185f04,okta_fb9c487f
grp_24e1c86c,okta_981de72c
grp_ab7723c6,okta_a3bc3bb6
grp_5dd372c4,okta_c364637b
grp_8a8652f3,okta_ebf29c87
grp_92762095,okta_5d949201
grp_45c00861,okta_41c19cda
grp_ti_team,okta_fe86c5c6
grp_46add73b,okta_de7a1e43
grp_f1f0d8ef,okta_97310b4b
grp_87345e8e,okta_e6929d12
grp_05d028b7,okta_c3bc0887
grp_f905a7d6,okta_6afc8da1
grp_8d724203,okta_0361e040
grp_e85a8d36,okta_5d949201
grp_6bca93c6,okta_6afc8da1
grp_61ef8795,okta_67b1c0a0
grp_84eb0647,okta_7d566d65
grp_b066afb7,okta_eec692a7
grp_de3c3038,okta_5f95e310
grp_724b3da3,okta_1623a5b9
grp_192d10cd,okta_c87db652
grp_a8101dce,okta_988a8b47
grp_50d9a438,okta_33f2448c
grp_02364b57,okta_8773d0a4
grp_bc6dcbc3,okta_9c961f5d
grp_c29a2db5,okta_8577d49b
grp_d958b18c,okta_6d07e0f7
grp_42eeba62,okta_e9254ea4
grp_724b3da3,okta_bfa698b5
grp_e4e7f970,okta_9c961f5d
grp_61ef8795,okta_bf6c9414
grp_e85a8d36,okta_b3481c5f
grp_f2a79e3d,okta_361a8927
grp_84eb0647,okta_3fb163cd
grp_9ab34f40,okta_2ab0e76f
grp_2975111f,okta_417cb73d
grp_a5ef5bc9,okta_fe86c5c6
grp_1b7ca2af,okta_df484a7a
grp_oncall_p1,okta_fb9c487f
grp_684f9486,okta_86c9a322
grp_c150c9ea,okta_marcus
grp_all,okta_daf4b9ab
grp_56dba5a9,okta_693b7352
grp_51d878f3,okta_897eb9a0
grp_15bb4df4,okta_361a8927
grp_61a9e6fa,okta_1690785b
grp_192d10cd,okta_d8162823
