id,name,description,type,created
grp_all,Torchwood-All,All Torchwood employees,OKTA_GROUP,2018-01-01T09:00:00Z
grp_ti_team,Threat-Intel-Team,TI team,OKTA_GROUP,2018-01-01T09:00:00Z
grp_de_team,Detection-Engineering,DE team,OKTA_GROUP,2018-01-01T09:00:00Z
grp_ir_team,Incident-Response,IR team,OKTA_GROUP,2018-01-01T09:00:00Z
grp_analysts_sr,Analysts-Senior,Senior analyst group,OKTA_GROUP,2019-01-01T09:00:00Z
grp_managers,Managers,People managers,OKTA_GROUP,2018-01-01T09:00:00Z
grp_oncall_p1,On-call-P1,P1 rotation,OKTA_GROUP,2019-06-01T09:00:00Z
grp_9d63ea18,Torchwood-How-66,For reach discuss never go,OKTA_GROUP,2023-02-17T06:41:00Z
grp_05d028b7,Torchwood-Off-54,Turn wall myself decision laugh report,OKTA_GROUP,2021-12-24T13:08:00Z
grp_cae52dfd,Torchwood-Its-2,Prepare laugh rich college hot,OKTA_GROUP,2020-04-12T17:03:00Z
grp_84eb0647,Torchwood-Event-17,Matter money able drug everybody season,OKTA_GROUP,2025-06-06T21:53:00Z
grp_1e39760b,Torchwood-Phone-4,Strategy look people,OKTA_GROUP,2021-04-02T12:06:00Z
grp_1991fd71,Torchwood-Citizen-29,Or whom author,OKTA_GROUP,2025-12-31T18:08:00Z
grp_9e8e409a,Torchwood-Decision-80,Major look possible feel no,OKTA_GROUP,2022-07-06T06:07:00Z
grp_bf9dba39,Torchwood-Letter-42,Real democratic ago special major,OKTA_GROUP,2020-11-06T13:54:00Z
grp_93a859e1,Torchwood-Fill-98,Knowledge magazine others social begin,OKTA_GROUP,2021-07-10T08:08:00Z
grp_337531a7,Torchwood-Audience-29,Really recognize thousand debate,OKTA_GROUP,2019-01-06T08:29:00Z
grp_1e83a00f,Torchwood-Face-43,Standard ten shoulder under space able,OKTA_GROUP,2023-06-04T14:57:00Z
grp_f2a79e3d,Torchwood-Camera-60,Son development stand project,OKTA_GROUP,2024-06-16T16:01:00Z
grp_42eeba62,Torchwood-Court-37,And require friend hand,OKTA_GROUP,2020-05-08T16:30:00Z
grp_bcfb1868,Torchwood-Trade-54,Each onto perhaps,OKTA_GROUP,2021-10-14T20:05:00Z
grp_170bfe08,Torchwood-Position-69,Shoulder note long night,OKTA_GROUP,2022-02-26T08:30:00Z
grp_5ea36ae8,Torchwood-Push-88,Civil soon open hold information four,OKTA_GROUP,2024-11-21T15:44:00Z
grp_5cfd886a,Torchwood-Seven-90,Drop speak clear walk take,OKTA_GROUP,2018-12-27T16:17:00Z
grp_f1f0d8ef,Torchwood-Table-16,Age actually trial wrong change,OKTA_GROUP,2021-07-30T06:29:00Z
grp_b7ae83e3,Torchwood-His-88,Senior evidence himself start,OKTA_GROUP,2025-07-05T09:15:00Z
grp_f96e008d,Torchwood-Surface-47,Drop mother free music other thought,OKTA_GROUP,2018-07-03T17:54:00Z
grp_7322ae3f,Torchwood-Skin-17,Own charge set decision draw think,OKTA_GROUP,2023-06-07T18:37:00Z
grp_a3b7deba,Torchwood-Draw-35,Item beyond onto,OKTA_GROUP,2023-09-22T08:26:00Z
grp_832ee88b,Torchwood-Type-50,Group collection better analysis say similar,OKTA_GROUP,2022-08-21T18:53:00Z
grp_6484eb5b,Torchwood-Risk-41,Subject factor in world,OKTA_GROUP,2023-08-28T06:48:00Z
grp_9b358a50,Torchwood-Best-16,Which deal billion manage short whose,OKTA_GROUP,2023-02-23T18:05:00Z
grp_da90b332,Torchwood-Recognize-11,Scientist like almost market,OKTA_GROUP,2021-08-05T07:13:00Z
grp_724b3da3,Torchwood-Air-7,Mean prove key,OKTA_GROUP,2025-11-01T08:15:00Z
grp_8adb930d,Torchwood-Cut-48,Entire outside need try produce,OKTA_GROUP,2020-11-25T18:48:00Z
grp_6bca93c6,Torchwood-Grow-82,Receive choose animal former set blue,OKTA_GROUP,2024-05-09T22:49:00Z
grp_b5e266c7,Torchwood-Camera-43,Couple far good,OKTA_GROUP,2019-04-17T13:08:00Z
grp_0dea233b,Torchwood-East-31,Much think exist every degree,OKTA_GROUP,2020-08-05T08:53:00Z
grp_d958b18c,Torchwood-Break-23,Senior alone little,OKTA_GROUP,2023-03-19T10:05:00Z
grp_a5ef5bc9,Torchwood-General-29,Guess determine heavy fact,OKTA_GROUP,2024-09-11T06:23:00Z
grp_c8d3d08a,Torchwood-Prevent-1,Huge attack hear practice color,OKTA_GROUP,2024-11-27T19:31:00Z
grp_6e29cf89,Torchwood-Hospital-70,Eye rule something test east reduce,OKTA_GROUP,2022-01-12T15:45:00Z
grp_ea16c4bd,Torchwood-Maybe-72,Run again treat cold plant the,OKTA_GROUP,2023-03-26T17:39:00Z
grp_91130d9d,Torchwood-Unit-10,Attention land possible,OKTA_GROUP,2025-11-29T22:58:00Z
grp_ba185f04,Torchwood-Record-51,Blue money how,OKTA_GROUP,2020-02-04T11:58:00Z
grp_adec9d9f,Torchwood-Strong-11,Million change effort,OKTA_GROUP,2021-02-23T14:56:00Z
grp_486c5038,Torchwood-Change-33,Back box inside development,OKTA_GROUP,2021-02-07T11:36:00Z
grp_05532b48,Torchwood-Right-36,Site all there pattern former,OKTA_GROUP,2024-09-25T16:29:00Z
grp_1343e300,Torchwood-Bed-91,More toward beyond expect prepare fund,OKTA_GROUP,2020-07-08T08:02:00Z
grp_b066afb7,Torchwood-Agreement-38,Happen boy art,OKTA_GROUP,2023-01-15T10:09:00Z
grp_7057e5b5,Torchwood-Right-80,Special can office bed leg once,OKTA_GROUP,2020-02-17T12:41:00Z
grp_26600c50,Torchwood-Go-2,Crime itself role,OKTA_GROUP,2021-07-16T09:35:00Z
grp_5233e25a,Torchwood-Together-29,Bit if exist,OKTA_GROUP,2022-11-16T06:25:00Z
grp_80536b11,Torchwood-Business-38,Apply reveal after address officer their,OKTA_GROUP,2020-09-13T12:30:00Z
grp_4f296dad,Torchwood-Product-44,Yeah mission machine be oil,OKTA_GROUP,2022-12-08T08:06:00Z
grp_1718205e,Torchwood-Establish-23,Heavy win whom relate stock,OKTA_GROUP,2018-02-08T18:56:00Z
grp_24e1c86c,Torchwood-Into-25,Fine skill economic find,OKTA_GROUP,2021-03-31T20:28:00Z
