Runner	Aaron Delgado (handle: delgado_runs)
Game	Crystal Caverns (1991, retro platformer)
Category	Any%
Platform	Original hardware, capture with hand cam
Leaderboard rank	37th
Personal best	0:28:41
PB run date	2026-01-25

run_date	split_name	split_time	segment_time	best_segment	pb_delta	notes
2026-01-25	Cavern Gate	0:02:14	0:02:14	0:02:11	+0:03	Slightly slow on the first jump
2026-01-25	Underflow	0:05:02	0:02:48	0:02:45	+0:06	Missed the early skip, recovered
2026-01-25	Frost Hollow	0:08:19	0:03:17	0:03:12	+0:11	Clean, lost a beat on the spike room
2026-01-25	The Long Climb	0:12:48	0:04:29	0:04:24	+0:16	Good vertical movement
2026-01-25	Echo Shafts	0:16:33	0:03:45	0:03:39	+0:22	Nailed the wall clip
2026-01-25	Molten Run	0:20:57	0:04:24	0:04:20	+0:26	Lava cycle cooperated
2026-01-25	Glass Bridge	0:24:10	0:03:13	0:03:08	+0:31	Tight, almost fell at the gap
2026-01-25	Keeper's Vault	0:28:41	0:04:31	0:04:27	+0:38	New personal best by 9 seconds
2025-12-14	Full run (Any%)	0:28:50	0:28:50	0:00:00	+0:09	Previous PB, basement night run
2025-11-30	Full run (Any%)	0:29:36	0:29:36	0:00:00	+0:55	Solid pace, two small mistakes
2025-11-16	Full run (Any%)	0:30:12	0:30:12	0:00:00	+1:31	Practice run, testing the Echo Shafts skip
Sum of best segments	0:28:06
Theoretical best	0:28:06
Target next session	Sub 0:28:30, focus on Frost Hollow and Glass Bridge
