Anagama firing F-26-05				
Higashiyama Craft Collective wood kiln. Loaded 14 May, lit 15 May 2026.				
Stokers: M. Farmer, Mika Tanabe. Two more from the collective on rota.				
				
Timestamp	Front cone est	Firebox temp C	Stoke wood	Note
2026-05-15 06:00	-	180	kindling	Lit. Slow warm to drive off damp.
2026-05-15 12:00	-	420	pine offcuts	Steady climb. Damper half open.
2026-05-15 18:00	012	640	pine	Body reduction starting.
2026-05-16 00:00	08	910	pine + cedar	Night shift. Mika on stoke.
2026-05-16 06:00	06	1080	pine	Good ember bed. Ash starting to fly.
2026-05-16 12:00	04	1190	split pine	Front stack glowing even.
2026-05-16 18:00	02	1250	hard stoke	Pushing to temperature.
2026-05-17 00:00	10	1290	heavy stoke	Cone 10 front down. Hold for ash build.
2026-05-17 04:00	11	1300	ease off	Cone 11 soft. Stop stoking, clam up.
2026-05-17 04:30	11	1300	-	Bricked the firebox. Let it fall. 78 hours total.
				
Unload 21 May after slow cool. See firing log F-26-05 for results.				
