"section_id","board_id","name","pin_count"
"sec_0001","brd_0123","Valley Golf","32"
"sec_0002","brd_0126","Forest Charlie","12"
"sec_0003","brd_0022","Mountain Valley","43"
"sec_0004","brd_0042","Tower Bridge","3"
"sec_0005","brd_0079","Alpha Delta","43"
"sec_0006","brd_0072","Charlie Bridge","4"
"sec_0007","brd_0049","Echo Mountain","31"
"sec_0008","brd_0054","River Hotel","50"
"sec_0009","brd_0054","Hotel Alpha","4"
"sec_0010","brd_0033","Bravo Cloud","27"
"sec_0011","brd_0062","Market India","27"
"sec_0012","brd_0145","Foxtrot Ocean","27"
"sec_0013","brd_0087","Market Forest","20"
"sec_0014","brd_0019","Stone Juliet","45"
"sec_0015","brd_0083","Valley Charlie","15"
"sec_0016","brd_0080","Foxtrot Golf","21"
"sec_0017","brd_0064","Cloud River","32"
"sec_0018","brd_0128","Delta Valley","38"
"sec_0019","brd_0080","Valley Delta","14"
"sec_0020","brd_0023","Market Market","43"
"sec_0021","brd_0101","Charlie Tower","26"
"sec_0022","brd_0059","Echo Foxtrot","33"
"sec_0023","brd_0009","Stone Bravo","17"
"sec_0024","brd_0029","Hotel Delta","39"
"sec_0025","brd_0119","Juliet Ocean","44"
"sec_0026","brd_0067","Cloud Charlie","44"
"sec_0027","brd_0067","Valley Bridge","28"
"sec_0028","brd_0096","Stone Tower","26"
"sec_0029","brd_0091","Bravo Delta","28"
"sec_0030","brd_0124","Cloud Mountain","47"
"sec_0031","brd_0071","Tower Valley","30"
"sec_0032","brd_0092","Mountain Golf","13"
"sec_0033","brd_0132","Echo Bridge","27"
"sec_0034","brd_0043","Mountain Echo","20"
"sec_0035","brd_0084","India Golf","22"
"sec_0036","brd_0137","Delta Forest","14"
"sec_0037","brd_0014","River Tower","32"
"sec_0038","brd_0103","Alpha River","29"
"sec_0039","brd_0105","Tower Mountain","43"
"sec_0040","brd_0111","Bravo Foxtrot","36"
"sec_0041","brd_0056","Echo Bridge","17"
"sec_0042","brd_0025","Golf Juliet","38"
"sec_0043","brd_0099","River Forest","14"
"sec_0044","brd_0131","River Hotel","11"
"sec_0045","brd_0026","Mountain Stone","15"
"sec_0046","brd_0122","Tower Ocean","41"
"sec_0047","brd_0041","Stone Market","15"
"sec_0048","brd_0022","Ocean Bravo","26"
"sec_0049","brd_0132","India Cloud","17"
"sec_0050","brd_0115","Market India","34"
"sec_0051","brd_0116","Delta Alpha","5"
"sec_0052","brd_0137","Bravo Bravo","40"
"sec_0053","brd_0065","Foxtrot Charlie","36"
"sec_0054","brd_0037","Hotel Stone","43"
"sec_0055","brd_0022","Market Ocean","44"
"sec_0056","brd_0015","Forest Golf","47"
"sec_0057","brd_0147","River Juliet","2"
"sec_0058","brd_0090","Ocean Bravo","5"
"sec_0059","brd_0150","Mountain Ocean","38"
"sec_0060","brd_0077","Forest Cloud","35"
"sec_0061","brd_0082","Cloud Charlie","8"
