"ad_account_id","name","currency","country","status","created_at"
"ad_0001","Ad Account Foxtrot Juliet","GBP","IN","ACTIVE","2023-09-14T08:01:00Z"
"ad_0002","Ad Account Forest Bravo","GBP","FR","CLOSED","2023-03-09T01:02:00Z"
"ad_0003","Ad Account Foxtrot Delta","USD","IN","ACTIVE","2023-09-14T20:07:00Z"
"ad_0004","Ad Account Delta Juliet","CAD","JP","PAUSED","2023-12-05T14:32:00Z"
"ad_0005","Ad Account Echo Delta","USD","BR","ACTIVE","2023-11-02T23:17:00Z"
"ad_0006","Ad Account Bravo Stone","CAD","FR","ACTIVE","2023-04-20T15:26:00Z"
"ad_0007","Ad Account Valley Cloud","EUR","IN","ACTIVE","2023-06-05T23:41:00Z"
"ad_0008","Ad Account Charlie River","CAD","BR","CLOSED","2023-11-11T03:35:00Z"
"ad_0009","Ad Account Foxtrot Golf","GBP","US","CLOSED","2023-05-20T19:47:00Z"
"ad_0010","Ad Account India Echo","EUR","GB","CLOSED","2023-05-15T01:23:00Z"
"ad_0011","Ad Account Bridge Market","EUR","MX","ACTIVE","2023-12-22T08:03:00Z"
"ad_0012","Ad Account Bridge Bravo","CAD","FR","ACTIVE","2023-10-08T14:45:00Z"
"ad_0013","Ad Account Mountain Stone","CAD","CA","ACTIVE","2023-06-23T15:50:00Z"
"ad_0014","Ad Account Forest Forest","USD","CA","ACTIVE","2023-06-22T19:15:00Z"
"ad_0015","Ad Account Valley Mountain","GBP","CA","PAUSED","2023-03-28T11:17:00Z"
"ad_0016","Ad Account Valley Cloud","EUR","FR","CLOSED","2023-01-07T07:43:00Z"
"ad_0017","Ad Account Alpha River","GBP","FR","PAUSED","2023-08-08T15:28:00Z"
"ad_0018","Ad Account Charlie Stone","CAD","BR","CLOSED","2023-04-08T18:00:00Z"
"ad_0019","Ad Account Tower Golf","USD","JP","ACTIVE","2023-10-06T00:25:00Z"
"ad_0020","Ad Account India India","CAD","MX","PAUSED","2023-01-07T19:44:00Z"
"ad_0021","Ad Account River Valley","USD","BR","ACTIVE","2023-08-27T23:08:00Z"
"ad_0022","Ad Account Delta Tower","USD","BR","PAUSED","2023-05-21T17:00:00Z"
"ad_0023","Ad Account Echo Bravo","EUR","DE","PAUSED","2023-01-13T21:45:00Z"
"ad_0024","Ad Account Delta Bravo","EUR","JP","PAUSED","2023-01-10T21:53:00Z"
"ad_0025","Ad Account Golf Market","EUR","GB","CLOSED","2023-05-19T18:11:00Z"
"ad_0026","Ad Account Mountain Market","EUR","JP","ACTIVE","2023-12-30T04:08:00Z"
"ad_0027","Ad Account Mountain Echo","EUR","GB","ACTIVE","2023-12-06T15:49:00Z"
"ad_0028","Ad Account Golf Bridge","CAD","AU","PAUSED","2023-11-15T07:59:00Z"
"ad_0029","Ad Account Market Alpha","EUR","JP","ACTIVE","2023-08-31T00:42:00Z"
"ad_0030","Ad Account Bridge Mountain","GBP","FR","CLOSED","2023-12-24T03:31:00Z"
"ad_0031","Ad Account Hotel Delta","CAD","CA","PAUSED","2023-02-03T01:34:00Z"
"ad_0032","Ad Account Cloud Foxtrot","CAD","AU","CLOSED","2023-02-09T08:28:00Z"
"ad_0033","Ad Account Cloud Tower","USD","CA","PAUSED","2023-06-21T01:33:00Z"
"ad_0034","Ad Account Market Stone","CAD","FR","PAUSED","2023-09-16T10:12:00Z"
"ad_0035","Ad Account Valley River","CAD","IN","CLOSED","2023-02-11T13:45:00Z"
"ad_0036","Ad Account India Stone","CAD","FR","ACTIVE","2023-02-23T18:35:00Z"
"ad_0037","Ad Account Tower Valley","CAD","DE","CLOSED","2023-06-05T22:30:00Z"
"ad_0038","Ad Account Delta Delta","CAD","BR","CLOSED","2023-06-15T09:20:00Z"
"ad_0039","Ad Account Juliet Valley","CAD","US","PAUSED","2023-01-21T16:49:00Z"
"ad_0040","Ad Account Stone Golf","EUR","IN","CLOSED","2023-09-17T21:12:00Z"
"ad_0041","Ad Account Golf Ocean","CAD","DE","CLOSED","2023-04-29T05:54:00Z"
"ad_0042","Ad Account Juliet Hotel","USD","GB","CLOSED","2023-06-14T13:23:00Z"
"ad_0043","Ad Account Delta Juliet","USD","FR","PAUSED","2023-03-24T12:25:00Z"
"ad_0044","Ad Account Valley Stone","USD","IN","ACTIVE","2023-07-08T04:28:00Z"
"ad_0045","Ad Account Tower River","USD","US","CLOSED","2023-06-16T08:25:00Z"
"ad_0046","Ad Account Echo Charlie","EUR","JP","ACTIVE","2023-07-24T21:25:00Z"
"ad_0047","Ad Account Stone River","GBP","CA","ACTIVE","2023-09-06T10:21:00Z"
"ad_0048","Ad Account Cloud Market","GBP","AU","ACTIVE","2023-12-01T02:16:00Z"
"ad_0049","Ad Account River Cloud","EUR","DE","CLOSED","2023-06-16T18:43:00Z"
"ad_0050","Ad Account Delta Mountain","GBP","US","PAUSED","2023-08-08T13:20:00Z"
"ad_0051","Ad Account Echo Juliet","CAD","GB","ACTIVE","2023-10-18T00:01:00Z"
"ad_0052","Ad Account Delta Market","USD","US","ACTIVE","2023-01-11T06:57:00Z"
"ad_0053","Ad Account Delta India","CAD","GB","PAUSED","2023-10-15T00:32:00Z"
"ad_0054","Ad Account Forest Mountain","EUR","DE","CLOSED","2023-11-16T22:37:00Z"
"ad_0055","Ad Account Valley Hotel","GBP","BR","CLOSED","2023-09-06T13:22:00Z"
"ad_0056","Ad Account Alpha Valley","EUR","CA","PAUSED","2023-02-01T02:09:00Z"
"ad_0057","Ad Account Charlie Valley","USD","FR","ACTIVE","2023-07-08T06:29:00Z"
"ad_0058","Ad Account Golf River","GBP","BR","ACTIVE","2023-10-31T14:55:00Z"
"ad_0059","Ad Account Hotel Hotel","USD","JP","ACTIVE","2023-05-28T04:38:00Z"
"ad_0060","Ad Account Ocean Delta","USD","GB","CLOSED","2023-01-25T15:56:00Z"
"ad_0061","Ad Account Cloud Charlie","CAD","DE","PAUSED","2023-07-22T00:34:00Z"
"ad_0062","Ad Account Echo Tower","CAD","DE","CLOSED","2023-03-01T15:47:00Z"
"ad_0063","Ad Account Golf Juliet","GBP","GB","ACTIVE","2023-04-15T07:07:00Z"
"ad_0064","Ad Account Valley Valley","GBP","DE","CLOSED","2023-09-13T12:11:00Z"
"ad_0065","Ad Account Charlie Juliet","USD","US","CLOSED","2023-04-24T14:22:00Z"
"ad_0066","Ad Account Charlie Charlie","EUR","IN","CLOSED","2023-07-29T22:24:00Z"
"ad_0067","Ad Account Market River","GBP","AU","CLOSED","2023-08-21T21:55:00Z"
"ad_0068","Ad Account Valley Tower","GBP","BR","CLOSED","2023-07-21T01:10:00Z"
"ad_0069","Ad Account Mountain Foxtrot","CAD","AU","PAUSED","2023-07-07T11:41:00Z"
"ad_0070","Ad Account Cloud Alpha","GBP","GB","CLOSED","2023-11-04T21:51:00Z"
"ad_0071","Ad Account River Bravo","EUR","CA","PAUSED","2023-04-08T10:36:00Z"
"ad_0072","Ad Account Hotel Bridge","USD","MX","PAUSED","2023-07-06T08:36:00Z"
"ad_0073","Ad Account Forest Bravo","EUR","DE","PAUSED","2023-12-14T21:37:00Z"
"ad_0074","Ad Account River Foxtrot","GBP","GB","ACTIVE","2023-03-12T01:40:00Z"
"ad_0075","Ad Account Ocean Market","CAD","US","CLOSED","2023-08-20T02:15:00Z"
"ad_0076","Ad Account Mountain Stone","USD","DE","ACTIVE","2023-02-04T04:58:00Z"
"ad_0077","Ad Account Bravo Valley","USD","DE","PAUSED","2023-10-05T15:38:00Z"
"ad_0078","Ad Account Juliet Charlie","USD","US","CLOSED","2023-05-26T17:27:00Z"
"ad_0079","Ad Account Golf Delta","EUR","JP","CLOSED","2023-09-22T12:52:00Z"
"ad_0080","Ad Account Charlie Delta","USD","FR","PAUSED","2023-05-26T03:29:00Z"
"ad_0081","Ad Account Bravo Golf","CAD","BR","ACTIVE","2023-11-04T23:09:00Z"
"ad_0082","Ad Account Stone Cloud","CAD","MX","ACTIVE","2023-08-27T00:53:00Z"
"ad_0083","Ad Account Hotel Cloud","CAD","CA","CLOSED","2023-05-04T10:48:00Z"
"ad_0084","Ad Account Market Ocean","GBP","IN","CLOSED","2023-10-22T21:56:00Z"
"ad_0085","Ad Account Cloud Golf","CAD","FR","CLOSED","2023-03-13T01:19:00Z"
"ad_0086","Ad Account Juliet Alpha","EUR","IN","ACTIVE","2023-12-24T00:43:00Z"
"ad_0087","Ad Account Bridge Hotel","CAD","AU","ACTIVE","2023-07-05T10:13:00Z"
"ad_0088","Ad Account Market Juliet","EUR","AU","CLOSED","2023-04-30T04:44:00Z"
"ad_0089","Ad Account Mountain Ocean","GBP","CA","PAUSED","2023-01-30T13:55:00Z"
"ad_0090","Ad Account Ocean Golf","GBP","BR","ACTIVE","2023-12-15T23:08:00Z"
