id,name,id_card,id_board,items
tr_chk_0001,Standard SOP,tr_crd_0001,tr_brd_001,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0002,Standard SOP,tr_crd_0002,tr_brd_001,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0003,Standard SOP,tr_crd_0003,tr_brd_001,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0004,Standard SOP,tr_crd_0004,tr_brd_001,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0005,Standard SOP,tr_crd_0005,tr_brd_001,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0006,Standard SOP,tr_crd_0006,tr_brd_001,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0007,Standard SOP,tr_crd_0007,tr_brd_001,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0008,Standard SOP,tr_crd_0008,tr_brd_001,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0009,Standard SOP,tr_crd_0009,tr_brd_001,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0010,Standard SOP,tr_crd_0010,tr_brd_001,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0011,Standard SOP,tr_crd_0011,tr_brd_001,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0012,Standard SOP,tr_crd_0012,tr_brd_002,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0013,Standard SOP,tr_crd_0013,tr_brd_002,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0014,Standard SOP,tr_crd_0014,tr_brd_002,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0015,Standard SOP,tr_crd_0015,tr_brd_002,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
tr_chk_0016,Standard SOP,tr_crd_0016,tr_brd_002,Draft outline:incomplete;Peer review pass:incomplete;Merge comments:incomplete;Final sign-off:incomplete
tr_chk_0017,Standard SOP,tr_crd_0017,tr_brd_002,Collect gloves+bags:incomplete;Label vials:incomplete;GPS-tag site:incomplete;Return to cold room:incomplete
tr_chk_0018,Standard SOP,tr_crd_0018,tr_brd_002,Reagent quality check:incomplete;Positive control:incomplete;Negative control:incomplete;Result upload:incomplete
tr_chk_0019,Standard SOP,tr_crd_0019,tr_brd_002,Weekly reminder:incomplete;Attendance log:incomplete;Action items:incomplete;Follow-up email:incomplete
