id,name,id_card,id_board,items
chk_001,Snow tire steps,crd_q4_002,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_002,Section 12,crd_gre_001,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0001,Haul prep,crd_auto_0084,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0002,Haul prep,crd_auto_0127,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0003,Vet kit restock,crd_auto_0169,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0004,Test day,crd_auto_0015,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0005,Section 12,crd_auto_0017,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0006,Test day,crd_auto_0144,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0007,Vet kit restock,crd_auto_0187,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0008,Vet kit restock,crd_auto_0060,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0009,Haul prep,crd_auto_0141,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0010,Vet kit restock,crd_auto_0014,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0011,Snow tire steps,crd_auto_0168,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0012,Snow tire steps,crd_auto_0138,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0013,Snow tire steps,crd_auto_0180,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0014,Section 12,crd_auto_0157,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0015,Race day,crd_auto_0131,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0016,Test day,crd_auto_0020,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0017,Section 12,crd_auto_0046,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0018,Test day,crd_auto_0058,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0019,Section 12,crd_auto_0058,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0020,Test day,crd_auto_0097,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0021,Test day,crd_auto_0107,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0022,Test day,crd_auto_0168,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0023,Section 12,crd_auto_0091,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0024,Test day,crd_auto_0174,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0025,Test day,crd_auto_0091,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0026,Race day,crd_auto_0108,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0027,Test day,crd_auto_0121,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0028,Snow tire steps,crd_auto_0079,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0029,Snow tire steps,crd_auto_0013,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0030,Haul prep,crd_auto_0125,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0031,Vet kit restock,crd_auto_0039,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0032,Haul prep,crd_auto_0162,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0033,Race day,crd_auto_0147,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0034,Test day,crd_auto_0071,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0035,Haul prep,crd_auto_0101,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0036,Section 12,crd_auto_0113,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0037,Vet kit restock,crd_auto_0042,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0038,Race day,crd_auto_0072,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0039,Race day,crd_auto_0176,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0040,Haul prep,crd_auto_0098,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0041,Vet kit restock,crd_auto_0031,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0042,Test day,crd_auto_0162,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0043,Race day,crd_auto_0002,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0044,Haul prep,crd_auto_0045,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0045,Vet kit restock,crd_auto_0161,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0046,Test day,crd_auto_0054,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0047,Snow tire steps,crd_auto_0064,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0048,Snow tire steps,crd_auto_0174,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0049,Haul prep,crd_auto_0177,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0050,Haul prep,crd_auto_0028,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0051,Test day,crd_auto_0100,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0052,Snow tire steps,crd_auto_0050,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0053,Test day,crd_auto_0163,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0054,Snow tire steps,crd_auto_0118,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0055,Haul prep,crd_auto_0168,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0056,Race day,crd_auto_0011,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0057,Vet kit restock,crd_auto_0064,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0058,Vet kit restock,crd_auto_0083,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0059,Section 12,crd_auto_0042,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0060,Vet kit restock,crd_auto_0087,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0061,Snow tire steps,crd_auto_0015,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0062,Test day,crd_auto_0062,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0063,Test day,crd_auto_0018,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0064,Haul prep,crd_auto_0173,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0065,Section 12,crd_auto_0152,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0066,Race day,crd_auto_0002,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0067,Snow tire steps,crd_auto_0191,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0068,Section 12,crd_auto_0148,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0069,Test day,crd_auto_0187,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0070,Snow tire steps,crd_auto_0104,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0071,Snow tire steps,crd_auto_0190,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0072,Section 12,crd_auto_0018,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0073,Test day,crd_auto_0014,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0074,Haul prep,crd_auto_0170,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0075,Haul prep,crd_auto_0013,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0076,Section 12,crd_auto_0033,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0077,Vet kit restock,crd_auto_0033,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0078,Race day,crd_auto_0079,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0079,Snow tire steps,crd_auto_0141,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0080,Snow tire steps,crd_auto_0074,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0081,Vet kit restock,crd_auto_0040,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0082,Race day,crd_auto_0032,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0083,Vet kit restock,crd_auto_0191,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0084,Test day,crd_auto_0125,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0085,Haul prep,crd_auto_0158,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0086,Vet kit restock,crd_auto_0010,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0087,Haul prep,crd_auto_0008,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0088,Snow tire steps,crd_auto_0091,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0089,Vet kit restock,crd_auto_0200,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0090,Vet kit restock,crd_auto_0109,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0091,Haul prep,crd_auto_0037,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0092,Snow tire steps,crd_auto_0182,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0093,Vet kit restock,crd_auto_0146,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0094,Vet kit restock,crd_auto_0160,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0095,Test day,crd_auto_0082,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0096,Section 12,crd_auto_0192,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0097,Test day,crd_auto_0006,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0098,Snow tire steps,crd_auto_0131,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0099,Test day,crd_auto_0026,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0100,Vet kit restock,crd_auto_0165,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0101,Vet kit restock,crd_auto_0087,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0102,Test day,crd_auto_0198,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0103,Section 12,crd_auto_0030,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0104,Haul prep,crd_auto_0076,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0105,Haul prep,crd_auto_0092,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0106,Section 12,crd_auto_0017,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0107,Vet kit restock,crd_auto_0176,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0108,Section 12,crd_auto_0002,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0109,Vet kit restock,crd_auto_0183,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0110,Haul prep,crd_auto_0106,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0111,Haul prep,crd_auto_0179,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0112,Vet kit restock,crd_auto_0069,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0113,Test day,crd_auto_0059,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0114,Test day,crd_auto_0011,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0115,Race day,crd_auto_0172,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0116,Test day,crd_auto_0064,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0117,Vet kit restock,crd_auto_0087,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0118,Race day,crd_auto_0107,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0119,Race day,crd_auto_0148,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0120,Test day,crd_auto_0131,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0121,Snow tire steps,crd_auto_0035,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0122,Vet kit restock,crd_auto_0026,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0123,Vet kit restock,crd_auto_0037,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0124,Race day,crd_auto_0138,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0125,Race day,crd_auto_0051,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0126,Vet kit restock,crd_auto_0100,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0127,Vet kit restock,crd_auto_0180,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0128,Test day,crd_auto_0150,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0129,Haul prep,crd_auto_0172,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0130,Snow tire steps,crd_auto_0160,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0131,Haul prep,crd_auto_0044,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0132,Vet kit restock,crd_auto_0010,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0133,Section 12,crd_auto_0163,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0134,Test day,crd_auto_0048,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0135,Section 12,crd_auto_0061,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0136,Vet kit restock,crd_auto_0053,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0137,Vet kit restock,crd_auto_0130,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0138,Haul prep,crd_auto_0130,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0139,Snow tire steps,crd_auto_0096,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0140,Haul prep,crd_auto_0031,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0141,Test day,crd_auto_0176,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0142,Snow tire steps,crd_auto_0139,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0143,Haul prep,crd_auto_0178,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0144,Vet kit restock,crd_auto_0009,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0145,Haul prep,crd_auto_0076,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0146,Test day,crd_auto_0151,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0147,Snow tire steps,crd_auto_0061,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0148,Haul prep,crd_auto_0116,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0149,Snow tire steps,crd_auto_0119,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0150,Race day,crd_auto_0115,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0151,Vet kit restock,crd_auto_0149,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0152,Haul prep,crd_auto_0045,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0153,Snow tire steps,crd_auto_0014,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0154,Test day,crd_auto_0022,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0155,Vet kit restock,crd_auto_0047,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0156,Race day,crd_auto_0153,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0157,Vet kit restock,crd_auto_0190,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0158,Race day,crd_auto_0055,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0159,Haul prep,crd_auto_0162,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0160,Race day,crd_auto_0067,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0161,Section 12,crd_auto_0074,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0162,Snow tire steps,crd_auto_0125,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0163,Haul prep,crd_auto_0080,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0164,Race day,crd_auto_0054,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0165,Snow tire steps,crd_auto_0074,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0166,Section 12,crd_auto_0149,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0167,Vet kit restock,crd_auto_0079,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0168,Race day,crd_auto_0154,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0169,Snow tire steps,crd_auto_0189,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0170,Race day,crd_auto_0040,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0171,Vet kit restock,crd_auto_0021,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0172,Test day,crd_auto_0079,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0173,Snow tire steps,crd_auto_0184,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0174,Section 12,crd_auto_0068,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0175,Section 12,crd_auto_0140,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0176,Test day,crd_auto_0013,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0177,Test day,crd_auto_0157,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0178,Haul prep,crd_auto_0045,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0179,Test day,crd_auto_0001,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0180,Vet kit restock,crd_auto_0022,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0181,Section 12,crd_auto_0035,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0182,Vet kit restock,crd_auto_0005,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0183,Snow tire steps,crd_auto_0002,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0184,Test day,crd_auto_0109,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0185,Snow tire steps,crd_auto_0138,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0186,Race day,crd_auto_0200,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0187,Race day,crd_auto_0186,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0188,Vet kit restock,crd_auto_0101,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0189,Section 12,crd_auto_0001,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0190,Snow tire steps,crd_auto_0155,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0191,Race day,crd_auto_0146,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0192,Vet kit restock,crd_auto_0095,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0193,Haul prep,crd_auto_0175,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0194,Test day,crd_auto_0040,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0195,Race day,crd_auto_0067,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0196,Race day,crd_auto_0102,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0197,Race day,crd_auto_0184,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0198,Vet kit restock,crd_auto_0192,brd_gre_27,boluses;syringes;gloves;dewormer
chk_auto_0199,Section 12,crd_auto_0153,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0200,Vet kit restock,crd_auto_0069,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0201,Haul prep,crd_auto_0060,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0202,Snow tire steps,crd_auto_0167,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0203,Section 12,crd_auto_0171,brd_gre_27,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0204,Race day,crd_auto_0178,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0205,Haul prep,crd_auto_0104,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0206,Snow tire steps,crd_auto_0082,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0207,Haul prep,crd_auto_0069,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0208,Snow tire steps,crd_auto_0151,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0209,Race day,crd_auto_0119,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0210,Test day,crd_auto_0089,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0211,Race day,crd_auto_0183,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0212,Haul prep,crd_auto_0131,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0213,Vet kit restock,crd_auto_0010,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0214,Haul prep,crd_auto_0194,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0215,Haul prep,crd_auto_0070,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0216,Section 12,crd_auto_0031,brd_personal_q4,12.1 ratios;12.2 percentages;12.3 averages;12.4 exponents
chk_auto_0217,Snow tire steps,crd_auto_0049,brd_personal_q4,call Robberson;confirm appt;move trailer
chk_auto_0218,Race day,crd_auto_0049,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0219,Race day,crd_auto_0010,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0220,Haul prep,crd_auto_0123,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0221,Snow tire steps,crd_auto_0094,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0222,Test day,crd_auto_0098,brd_gre_27,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0223,Haul prep,crd_auto_0199,brd_gre_27,load tack;hay nets;water buckets;trailer tires
chk_auto_0224,Race day,crd_auto_0199,brd_personal_q4,warm-up pen;check pattern;number on;cool-down
chk_auto_0225,Vet kit restock,crd_auto_0200,brd_personal_q4,boluses;syringes;gloves;dewormer
chk_auto_0226,Race day,crd_auto_0047,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0227,Race day,crd_auto_0031,brd_gre_27,warm-up pen;check pattern;number on;cool-down
chk_auto_0228,Haul prep,crd_auto_0059,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0229,Haul prep,crd_auto_0014,brd_personal_q4,load tack;hay nets;water buckets;trailer tires
chk_auto_0230,Test day,crd_auto_0047,brd_personal_q4,ID;snacks;scratch paper;arrive 30 min early
chk_auto_0231,Snow tire steps,crd_auto_0016,brd_gre_27,call Robberson;confirm appt;move trailer
chk_auto_0232,Snow tire steps,crd_auto_0057,brd_gre_27,call Robberson;confirm appt;move trailer
