id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
cust_001,database,db_crm_customers,Thomas Chen,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_002,database,db_crm_customers,Patricia Moore,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_003,database,db_crm_customers,David Kim,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_004,database,db_crm_customers,Anthony Reeves,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_005,database,db_crm_customers,Sandra Williams,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_006,database,db_crm_customers,Michael Torres,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_007,database,db_crm_customers,Rachel Green,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_008,database,db_crm_customers,James Park,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_009,database,db_crm_customers,Maria Rodriguez,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_010,database,db_crm_customers,Robert Santos,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_011,database,db_crm_customers,Anisha Patel,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_012,database,db_crm_customers,Marcus Webb,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_013,database,db_crm_customers,Luis Martinez,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_014,database,db_crm_customers,Karen Wu,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
cust_015,database,db_crm_customers,Nina Shah,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
ep_sep02,database,db_radio_shows,Back to School Special,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
ep_sep09,database,db_radio_shows,Local Business Spotlight,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
ep_sep16,database,db_radio_shows,NJ Car Culture,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
ep_sep23,database,db_radio_shows,Rutgers South Asian Student Association,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
ep_sep30,database,db_radio_shows,Navratri and Fall Festivals,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_001,database,db_work_orders,WO-2026-142,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_002,database,db_work_orders,WO-2026-145,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_003,database,db_work_orders,WO-2026-148,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_004,database,db_work_orders,WO-2026-150,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_005,database,db_work_orders,WO-2026-152,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_006,database,db_work_orders,WO-2026-147,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_007,database,db_work_orders,WO-2026-149,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
wo_008,database,db_work_orders,WO-2026-151,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
page_runsheet_sep28,workspace,ws_hari_autobody,Desi Vibes - Sep 28 Episode Run Sheet,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
page_diwali_template,workspace,ws_hari_autobody,Diwali Episode Template,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
page_q3_review,workspace,ws_hari_autobody,Q3 Business Review Notes,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
page_bbq_planning,workspace,ws_hari_autobody,BBQ Planning Checklist,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
page_staff_training,workspace,ws_hari_autobody,Staff Training Schedule - Fall 2026,2026-09-01T10:00:00.000Z,2026-10-01T07:00:00.000Z,user-hari,false,,
