id,application_id,candidate_id,interviewer,stage,overall_recommendation,rating,submitted_at,notes
sc-330,app-4002,cand-1062,Greg Howard,Onsite,no_hire,3,2026-11-05,Panel scorecard filed by Greg Howard.
sc-341,app-4003,cand-1078,Greg Howard,Onsite,yes,4,2026-11-05,Panel scorecard filed by Greg Howard.
sc-500,app-4017,cand-2105,Karen Whitfield,Phone Screen,strong_yes,2,2026-11-10,Interview feedback.
sc-501,app-4054,cand-2146,Panelist D,Phone Screen,yes,3,2026-11-09,Interview feedback.
sc-502,app-4279,cand-2064,Panelist D,Onsite,no_hire,2,2026-11-02,Interview feedback.
sc-503,app-4169,cand-2005,Sarah Mitchell,Phone Screen,no_hire,4,2026-11-05,Interview feedback.
sc-504,app-4339,cand-2081,Karen Whitfield,Phone Screen,no_hire,3,2026-11-07,Interview feedback.
sc-505,app-4342,cand-2023,Panelist D,Onsite,yes,5,2026-11-05,Interview feedback.
sc-506,app-4382,cand-2058,Sarah Mitchell,Onsite,yes,5,2026-11-10,Interview feedback.
sc-507,app-4327,cand-2227,Karen Whitfield,Onsite,no_hire,2,2026-11-05,Interview feedback.
sc-508,app-4155,cand-2155,Karen Whitfield,Onsite,yes,2,2026-11-07,Interview feedback.
sc-509,app-4262,cand-2061,Karen Whitfield,Phone Screen,strong_yes,5,2026-11-03,Interview feedback.
sc-510,app-4168,cand-2167,Karen Whitfield,Phone Screen,strong_yes,4,2026-11-01,Interview feedback.
sc-511,app-4150,cand-2141,Sarah Mitchell,Phone Screen,strong_yes,4,2026-11-03,Interview feedback.
sc-512,app-4184,cand-2127,Karen Whitfield,Phone Screen,yes,5,2026-11-02,Interview feedback.
sc-513,app-4322,cand-2066,Sarah Mitchell,Onsite,yes,2,2026-11-03,Interview feedback.
sc-514,app-4177,cand-2100,Panelist D,Phone Screen,strong_yes,2,2026-11-06,Interview feedback.
sc-515,app-4172,cand-2088,Karen Whitfield,Phone Screen,no_hire,4,2026-11-02,Interview feedback.
sc-516,app-4356,cand-2080,Karen Whitfield,Onsite,no_hire,2,2026-11-10,Interview feedback.
sc-517,app-4163,cand-2196,Sarah Mitchell,Phone Screen,yes,3,2026-11-04,Interview feedback.
sc-518,app-4142,cand-2124,Sarah Mitchell,Onsite,strong_yes,5,2026-11-07,Interview feedback.
sc-519,app-4151,cand-2050,Karen Whitfield,Onsite,no_hire,5,2026-11-10,Interview feedback.
sc-520,app-4321,cand-2005,Sarah Mitchell,Phone Screen,no_hire,2,2026-11-07,Interview feedback.
sc-521,app-4164,cand-2033,Panelist D,Onsite,strong_yes,4,2026-11-05,Interview feedback.
sc-522,app-4331,cand-2154,Panelist D,Phone Screen,strong_yes,5,2026-11-04,Interview feedback.
sc-523,app-4365,cand-2113,Panelist D,Phone Screen,yes,2,2026-11-02,Interview feedback.
sc-524,app-4339,cand-2019,Sarah Mitchell,Onsite,yes,5,2026-11-10,Interview feedback.
sc-525,app-4260,cand-2189,Panelist D,Phone Screen,no_hire,5,2026-11-05,Interview feedback.
sc-526,app-4346,cand-2095,Sarah Mitchell,Phone Screen,strong_yes,3,2026-11-07,Interview feedback.
sc-527,app-4051,cand-2007,Karen Whitfield,Onsite,no_hire,2,2026-11-07,Interview feedback.
sc-528,app-4113,cand-2059,Panelist D,Phone Screen,yes,3,2026-11-06,Interview feedback.
sc-529,app-4296,cand-2195,Sarah Mitchell,Onsite,strong_yes,5,2026-11-05,Interview feedback.
sc-530,app-4108,cand-2018,Panelist D,Onsite,strong_yes,5,2026-11-01,Interview feedback.
sc-531,app-4281,cand-2237,Karen Whitfield,Phone Screen,no_hire,3,2026-11-04,Interview feedback.
sc-532,app-4098,cand-2039,Sarah Mitchell,Onsite,strong_yes,2,2026-11-07,Interview feedback.
