Item	Category	Quantity	Estimated Cost USD
Chicken breast	Protein	8 lb	23.92
Ground turkey	Protein	3 lb	14.97
Salmon fillet	Protein	2 lb	19.98
Eggs	Protein	2 dozen	7.98
Jasmine rice	Grains	1 ten pound bag	14.99
Sweet potatoes	Produce	5 lb	6.45
Broccoli	Produce	4 lb	7.96
Spinach	Produce	2 bags	5.98
Bananas	Produce	3 lb	1.77
Bell peppers	Produce	6 each	8.94
Almond butter	Pantry	1 jar	8.49
Whey protein	Pantry	1 tub	44.99
Oat milk dairy free	Dairy alternative	3 cartons	11.97
Chicken nuggets	Frozen	2 bags	13.98
Mixed berries	Frozen	2 bags	9.98
Total	Weekly groceries	15 items	202.35
