Herb	Common Use	Preparation Method	Typical Quantity (per dose)	How Administered	Cautions and Contraindications	Notes from Practice
Lavender (Lavandula angustifolia)	Anxiety, sleep support, mild headache, skin calm	Dried flowers steeped 10 min in hot water; or essential oil diluted 2-3% in carrier oil for topical	1 tablespoon dried flowers per cup for tea; 3-4 drops EO per tablespoon carrier oil	Tea; aromatherapy; topical	Avoid undiluted essential oil on skin. Not recommended internally during pregnancy. May potentiate sedatives.	Grows in bed A1. One of the most useful and versatile herbs in the apothecary. Clients respond well.
Chamomile (Matricaria chamomilla)	Sleep, digestive calm, anxiety, mild anti-inflammatory	Dried flowers steeped 5-10 min, covered to retain volatile oils	1-2 heaping teaspoons dried per cup; 2-3 cups daily for therapeutic use	Tea; steam inhalation for sinus	Avoid in anyone with ragweed or daisy-family allergy (cross-reactivity possible). Do not use with blood-thinning medications without physician clearance.	Annual in bed A2. Grows abundantly. One of the first herbs Nana Ruth taught me.
Echinacea (Echinacea purpurea)	Immune support, prevention of upper respiratory illness	Aerial parts (flower and leaf) tinctured in 60% ethanol for 4-6 weeks; or dried herb steeped for tea	Tincture: 1-2 ml three times daily for 10 days at onset; tea: 1 teaspoon dried per cup, 3 cups daily	Tincture (alcohol); tea	Not recommended for use longer than 10-14 consecutive days. Avoid in autoimmune conditions. Theoretical interaction with immunosuppressants.	Perennial in bed B1. Do not harvest root until year four or later. Aerial parts harvested August.
Sage (Salvia officinalis)	Sore throat, hot flashes, mild antimicrobial for mouth and throat, culinary	Leaves steeped 10 min for tea or gargle; or fresh or dried for cooking	1 tablespoon fresh or 1 teaspoon dried per cup; gargle and spit for throat	Tea; gargle; steam; culinary	Avoid therapeutic quantities during pregnancy (uterine stimulant). Culinary quantities safe. Do not use strong sage tea with epilepsy medications.	Perennial in bed B2. Needs dividing in spring 2026. Excellent sage year in 2025.
Thyme (Thymus vulgaris)	Cough, upper respiratory, antimicrobial, culinary	Leaves steeped 10 min for tea; or fresh for cooking	1 teaspoon fresh or half teaspoon dried per cup of tea	Tea; steam inhalation; culinary	Generally safe at culinary and medicinal quantities. Avoid very large therapeutic doses in pregnancy.	Perennial in bed C1. Moved one cutting inside for winter use. Strong antimicrobial properties appreciated in winter.
Rosemary (Rosmarinus officinalis)	Circulation, memory and concentration support, muscle pain (topical), culinary	Tea from leaves; or infused in olive oil for topical use	1 teaspoon dried per cup for tea; infused oil massaged into sore muscles	Tea; topical oil; culinary; aromatherapy	May potentiate blood-thinning medications. Do not use in high quantities during pregnancy. Avoid concentrated rosemary oil near face with seizure history.	Perennial in bed C2. Mulched for winter. Infused olive oil from 2025 harvest is in amber bottle on shelf.
Mint, Spearmint (Mentha spicata)	Digestive calm, nausea, headache (topical temples), energy, culinary	Fresh or dried steeped 5 min; peppermint for stronger effect; topical diluted for headache	1-2 teaspoons dried per cup; fresh: small handful	Tea; topical diluted oil; culinary	Avoid strong peppermint in children under two. Do not apply peppermint oil near nostrils of infants. May relax lower esophageal sphincter -- avoid with GERD.	Spearmint in bed D1. Very vigorous. Three harvests in 2025. Fresh mint water served to clients in summer.
Comfrey (Symphytum officinale)	Bruising, sprains, joint pain (topical only)	Fresh or dried leaf made into poultice; or infused in oil for topical salve	Poultice: enough to cover area, wrapped and held 20-30 min; salve applied to skin	Topical only	NEVER administer internally. Contains pyrrolizidine alkaloids -- liver toxic if ingested. External use only, on unbroken skin, for short periods. Warn every client clearly.	Perennial in bed D2. The strongest topical anti-inflammatory in my apothecary. Always reviewed cautions with B.W. before each visit.
Valerian (Valeriana officinalis)	Sleep, anxiety	Root tinctured or dried root capsule; or tea (taste is challenging)	Tincture: 1-2 ml 30-60 min before bed; tea: 1 teaspoon root per cup	Tincture; capsule; tea (rarely due to taste)	May cause drowsiness; do not drive after use. May potentiate sedatives and anti-anxiety medications. Use cautiously with liver disease. Not for long-term use without professional guidance.	Purchased root tincture from Mountain Rose Herbs; do not grow on premises. Prepared custom blend for M.C. with passionflower.
Passionflower (Passiflora incarnata)	Anxiety, sleep, nervous tension	Aerial parts steeped for tea; or tincture	Tea: 1 tablespoon dried per cup; tincture: 1 ml	Tea; tincture	May potentiate sedatives and anti-anxiety medications. Avoid during pregnancy. Do not drive after use.	Combined with valerian for M.C.'s sleep blend. Works well together.
