Date	Session	Split	MainLifts	CardioMin	CardioType	Notes
2026-01-05	AM	Upper push	bench, incline DB, dips	20	incline walk	5 AM start
2026-01-06	AM	Lower	squat, RDL, leg press	18	row erg	back felt tight
2026-01-08	AM	Upper pull	row, pulldown, curls	20	bike	good energy
2026-01-12	AM	Lower	deadlift, lunge, calf	15	incline walk	deload
2026-01-14	AM	Upper push	OHP, bench, lateral	22	row erg	
2026-01-19	AM	Upper pull	pullup, row, face pull	20	bike	layover skipped Fri
2026-01-26	AM	Lower	squat, RDL, hip thrust	18	incline walk	182 lb bodyweight
2026-02-02	AM	Upper push	bench, incline, triceps	20	row erg	
2026-02-09	AM	Lower	front squat, RDL, calf	16	bike	sleep 6 hr
2026-02-16	AM	Upper pull	row, pulldown, curl	21	incline walk	strong
2026-02-23	AM	Lower	deadlift, split squat	15	row erg	stretch focus
