path,title,size_bytes,modified_at,tags
Voices of the Past/voices_of_past_oral_history_field_notes_ruthie.md,Voices of the Past: Oral history field notes on Ruthie Mae Mitchell,5349,2026-09-15T22:14:00Z,field-notes;ruthie;voices-of-past;private
Voices of the Past/voices_of_past_interview_index.md,Voices of the Past interview index,249,2026-09-28T09:00:00Z,field-notes;voices-of-past
Voices of the Past/voices_of_past_session_log.md,Session log,317,2026-09-20T10:00:00Z,field-notes
Voices of the Past/voices_of_past_consent_form_notes.md,Consent form notes,158,2026-09-22T11:30:00Z,field-notes;consent
Daily/2026-09-25.md,2026-09-25 Daily,142,2026-09-25T22:30:00Z,daily;journal
Daily/2026-09-26.md,2026-09-26 Daily,179,2026-09-26T22:00:00Z,daily;journal
Daily/2026-09-27.md,2026-09-27 Daily,126,2026-09-27T21:00:00Z,daily;journal
Daily/2026-09-28.md,2026-09-28 Daily,185,2026-09-28T22:15:00Z,daily;journal
Daily/2026-09-29.md,2026-09-29 Daily,135,2026-09-29T22:00:00Z,daily;journal
Daily/2026-09-30.md,2026-09-30 Daily,142,2026-09-30T22:00:00Z,daily;journal
Daily/2026-10-01.md,2026-10-01 Daily,243,2026-10-01T22:30:00Z,daily;journal
Choir/alto_section_practice_notes.md,Alto section practice notes,204,2026-09-30T20:00:00Z,choir
Choir/atlanta_block_notes.md,Atlanta block notes,212,2026-09-30T20:05:00Z,choir
Choir/competition_repertoire.md,Competition repertoire,158,2026-09-25T20:00:00Z,choir
Curatorial/voices_of_past_curatorial_thesis.md,Voices of the Past curatorial thesis,215,2026-09-10T11:00:00Z,curatorial
Curatorial/station_program_brief.md,Station program brief,262,2026-09-12T11:00:00Z,curatorial
Curatorial/object_loan_notes.md,Object loan notes,198,2026-10-01T19:00:00Z,curatorial
Curatorial/labels_and_wayfinding.md,Labels and wayfinding,172,2026-09-22T16:00:00Z,curatorial
Personal/morning_walk_route.md,Morning walk route,158,2026-06-12T05:45:00Z,personal
Personal/reading_notes_hammer_and_hoe.md,Reading notes: Hammer and Hoe,189,2026-08-18T22:00:00Z,personal;reading
Personal/journal_index.md,Journal index,148,2026-09-25T22:30:00Z,personal
Personal/health_log_notes.md,Health log notes,124,2026-09-26T07:10:00Z,personal;private
Family/derrick_schedule_notes.md,Derrick schedule notes,188,2026-09-22T20:30:00Z,family
Family/naomi_school_decision.md,Naomi school decision,166,2026-09-26T22:30:00Z,family
Family/marcus_reading_plan.md,Marcus reading plan,133,2026-09-29T22:30:00Z,family
Family/gwendolyn_logistics.md,Gwendolyn logistics,122,2026-09-25T19:00:00Z,family
Field/voices_of_past_open_threads.md,Open threads,209,2026-10-01T22:40:00Z,field-notes
Field/voices_of_past_terminology.md,Terminology,149,2026-09-08T11:00:00Z,field-notes
