Date	Location	PlayersPresent	Result	Notes
2025-12-07	Briarwood Park	12	6 to 5	Cold start, good turnout
2025-12-14	Briarwood Park	9	4 to 4	Short on numbers, played small sided
2025-12-21	Briarwood Park	0	Cancelled	Rain, rescheduled by group chat
2026-01-04	Briarwood Park	14	7 to 6	Full field, knee held up fine
2026-01-11	Briarwood Park	11	5 to 3	Wore the brace, no trouble
2026-01-18	Briarwood Park	13	8 to 7	Long game, great pace
2026-01-25	Briarwood Park	10	3 to 3	Windy, low scoring
2026-02-01	Briarwood Park	12	6 to 4	Good group, stayed for coffee after
2026-02-08	Briarwood Park	8	Scrimmage	Light numbers, kept it friendly
2026-02-15	Briarwood Park	13	7 to 5	Strong week, felt sharp
