identifier,image,caption,date,centroid_lat,centroid_lon
epic_000000,2026-10-09T20:47:36Z,Caption 0,-17.1752,-168.1106,https://epic.gsfc.nasa.gov/0
epic_000001,2026-01-01T04:49:53Z,Caption 1,3.697,77.9811,https://epic.gsfc.nasa.gov/1
epic_000002,2026-06-09T18:16:43Z,Caption 2,7.7026,100.9463,https://epic.gsfc.nasa.gov/2
epic_000003,2026-07-08T16:06:07Z,Caption 3,70.2709,85.3217,https://epic.gsfc.nasa.gov/3
epic_000004,2026-09-17T09:21:55Z,Caption 4,-75.2952,2.1894,https://epic.gsfc.nasa.gov/4
epic_000005,2026-02-26T19:14:07Z,Caption 5,4.694,88.8936,https://epic.gsfc.nasa.gov/5
epic_000006,2026-03-06T10:40:49Z,Caption 6,58.319,160.9134,https://epic.gsfc.nasa.gov/6
epic_000007,2026-06-19T17:49:47Z,Caption 7,-20.2037,-55.3571,https://epic.gsfc.nasa.gov/7
epic_000008,2026-05-03T20:09:28Z,Caption 8,-38.6058,-35.3847,https://epic.gsfc.nasa.gov/8
epic_000009,2026-04-30T07:11:49Z,Caption 9,-54.1728,76.6703,https://epic.gsfc.nasa.gov/9
epic_000010,2026-09-02T19:34:16Z,Caption 10,9.536,97.311,https://epic.gsfc.nasa.gov/10
epic_000011,2026-03-09T21:24:33Z,Caption 11,36.0467,-18.8934,https://epic.gsfc.nasa.gov/11
epic_000012,2026-07-24T23:19:34Z,Caption 12,-39.2347,122.887,https://epic.gsfc.nasa.gov/12
epic_000013,2026-09-09T00:20:45Z,Caption 13,83.3448,95.0807,https://epic.gsfc.nasa.gov/13
epic_000014,2026-06-14T05:31:03Z,Caption 14,66.97,-173.868,https://epic.gsfc.nasa.gov/14
epic_000015,2026-04-24T00:29:58Z,Caption 15,9.5599,24.6916,https://epic.gsfc.nasa.gov/15
epic_000016,2026-07-26T13:47:17Z,Caption 16,68.164,168.2516,https://epic.gsfc.nasa.gov/16
epic_000017,2026-01-09T04:05:34Z,Caption 17,-59.8068,-22.9339,https://epic.gsfc.nasa.gov/17
epic_000018,2026-08-22T18:08:45Z,Caption 18,82.1031,97.89,https://epic.gsfc.nasa.gov/18
epic_000019,2026-01-04T04:15:53Z,Caption 19,-82.1194,37.5454,https://epic.gsfc.nasa.gov/19
epic_000020,2026-08-01T10:33:52Z,Caption 20,72.272,133.4762,https://epic.gsfc.nasa.gov/20
epic_000021,2026-04-21T14:39:54Z,Caption 21,25.7037,19.1325,https://epic.gsfc.nasa.gov/21
epic_000022,2026-03-09T21:31:46Z,Caption 22,-3.4606,-122.8727,https://epic.gsfc.nasa.gov/22
epic_000023,2026-09-24T17:30:03Z,Caption 23,49.6655,-70.5676,https://epic.gsfc.nasa.gov/23
epic_000024,2026-02-18T02:30:55Z,Caption 24,-13.6415,-155.9083,https://epic.gsfc.nasa.gov/24
epic_000025,2026-03-24T15:15:15Z,Caption 25,37.9803,-159.6986,https://epic.gsfc.nasa.gov/25
epic_000026,2026-06-05T05:29:32Z,Caption 26,-51.1028,-33.0902,https://epic.gsfc.nasa.gov/26
epic_000027,2026-06-21T06:23:06Z,Caption 27,-66.896,-160.9414,https://epic.gsfc.nasa.gov/27
epic_000028,2026-03-10T15:45:11Z,Caption 28,-15.625,165.9831,https://epic.gsfc.nasa.gov/28
epic_000029,2026-01-05T14:37:11Z,Caption 29,-41.7749,159.4689,https://epic.gsfc.nasa.gov/29
epic_000030,2026-07-25T17:49:20Z,Caption 30,-14.9774,-82.8882,https://epic.gsfc.nasa.gov/30
epic_000031,2026-05-08T23:39:16Z,Caption 31,51.0752,-113.8521,https://epic.gsfc.nasa.gov/31
epic_000032,2026-02-21T04:45:13Z,Caption 32,-78.9581,-58.7364,https://epic.gsfc.nasa.gov/32
