id,rover,sol,camera,camera_full_name,img_src,earth_date
rp_0000,2509,MAST,Camera Full Name,2026-06-25,https://mars.nasa.gov/0.jpg,Curiosity
rp_0001,49,FHAZ,Camera Full Name,2022-03-08,https://mars.nasa.gov/1.jpg,Curiosity
rp_0002,2391,RHAZ,Camera Full Name,2020-10-12,https://mars.nasa.gov/2.jpg,Curiosity
rp_0003,1673,FHAZ,Camera Full Name,2023-08-20,https://mars.nasa.gov/3.jpg,Perseverance
rp_0004,990,MAST,Camera Full Name,2026-01-13,https://mars.nasa.gov/4.jpg,Curiosity
rp_0005,1096,CHEMCAM,Camera Full Name,2026-04-30,https://mars.nasa.gov/5.jpg,Curiosity
rp_0006,1416,NAVCAM,Camera Full Name,2021-04-26,https://mars.nasa.gov/6.jpg,Curiosity
rp_0007,857,RHAZ,Camera Full Name,2025-05-16,https://mars.nasa.gov/7.jpg,Curiosity
rp_0008,88,FHAZ,Camera Full Name,2024-05-08,https://mars.nasa.gov/8.jpg,Curiosity
rp_0009,782,MAST,Camera Full Name,2024-11-26,https://mars.nasa.gov/9.jpg,Curiosity
rp_0010,2989,NAVCAM,Camera Full Name,2022-10-16,https://mars.nasa.gov/10.jpg,Perseverance
rp_0011,2748,RHAZ,Camera Full Name,2020-10-23,https://mars.nasa.gov/11.jpg,Perseverance
rp_0012,1597,NAVCAM,Camera Full Name,2020-05-17,https://mars.nasa.gov/12.jpg,Curiosity
rp_0013,878,CHEMCAM,Camera Full Name,2025-04-03,https://mars.nasa.gov/13.jpg,Curiosity
rp_0014,457,RHAZ,Camera Full Name,2022-04-23,https://mars.nasa.gov/14.jpg,Perseverance
rp_0015,1874,CHEMCAM,Camera Full Name,2022-11-29,https://mars.nasa.gov/15.jpg,Curiosity
rp_0016,2119,MAST,Camera Full Name,2023-07-22,https://mars.nasa.gov/16.jpg,Curiosity
rp_0017,224,NAVCAM,Camera Full Name,2024-08-01,https://mars.nasa.gov/17.jpg,Perseverance
rp_0018,848,FHAZ,Camera Full Name,2024-11-10,https://mars.nasa.gov/18.jpg,Curiosity
rp_0019,2472,NAVCAM,Camera Full Name,2020-10-17,https://mars.nasa.gov/19.jpg,Curiosity
rp_0020,506,CHEMCAM,Camera Full Name,2023-04-11,https://mars.nasa.gov/20.jpg,Curiosity
rp_0021,1789,RHAZ,Camera Full Name,2024-08-28,https://mars.nasa.gov/21.jpg,Perseverance
rp_0022,735,RHAZ,Camera Full Name,2023-12-05,https://mars.nasa.gov/22.jpg,Perseverance
rp_0023,2697,NAVCAM,Camera Full Name,2023-02-11,https://mars.nasa.gov/23.jpg,Perseverance
rp_0024,583,MAST,Camera Full Name,2020-10-07,https://mars.nasa.gov/24.jpg,Perseverance
rp_0025,901,FHAZ,Camera Full Name,2024-07-08,https://mars.nasa.gov/25.jpg,Curiosity
rp_0026,680,MAST,Camera Full Name,2023-09-04,https://mars.nasa.gov/26.jpg,Curiosity
rp_0027,2461,CHEMCAM,Camera Full Name,2022-05-19,https://mars.nasa.gov/27.jpg,Perseverance
rp_0028,1453,RHAZ,Camera Full Name,2024-10-23,https://mars.nasa.gov/28.jpg,Curiosity
rp_0029,1176,MAST,Camera Full Name,2020-10-03,https://mars.nasa.gov/29.jpg,Curiosity
rp_0030,1964,CHEMCAM,Camera Full Name,2022-03-09,https://mars.nasa.gov/30.jpg,Perseverance
rp_0031,2437,NAVCAM,Camera Full Name,2021-07-20,https://mars.nasa.gov/31.jpg,Curiosity
