id,name,close_approach_date,absolute_magnitude_h,est_diameter_min_km,est_diameter_max_km,is_potentially_hazardous,miss_distance_km,relative_velocity_kph,orbiting_body
neo_0000,NEO 0,0.8577,8.6293,false,2026-06-27,59015.84,0.21877,https://nasa.gov/neo/0,
neo_0001,NEO 1,0.8494,6.0424,false,2026-08-08,72010.67,0.247469,https://nasa.gov/neo/1,
neo_0002,NEO 2,0.9858,3.913,false,2026-04-24,99463.75,0.416522,https://nasa.gov/neo/2,
neo_0003,NEO 3,0.9692,3.6154,false,2026-08-17,74989.62,0.379118,https://nasa.gov/neo/3,
neo_0004,NEO 4,0.3332,9.972,true,2026-10-10,63858.82,0.02755,https://nasa.gov/neo/4,
neo_0005,NEO 5,0.547,6.6547,false,2026-02-25,77165.47,0.281349,https://nasa.gov/neo/5,
neo_0006,NEO 6,0.3977,3.4652,true,2026-04-23,71385.43,0.015654,https://nasa.gov/neo/6,
neo_0007,NEO 7,0.3573,2.4712,true,2026-01-03,88021.12,0.406717,https://nasa.gov/neo/7,
neo_0008,NEO 8,0.692,0.1864,true,2026-02-06,67374.42,0.402199,https://nasa.gov/neo/8,
neo_0009,NEO 9,0.9246,9.5862,false,2026-05-27,51118.99,0.02418,https://nasa.gov/neo/9,
neo_0010,NEO 10,0.4244,1.9036,false,2026-06-03,24217.71,0.447255,https://nasa.gov/neo/10,
neo_0011,NEO 11,0.2308,1.5835,true,2026-09-23,14690.03,0.418317,https://nasa.gov/neo/11,
neo_0012,NEO 12,0.2007,4.0024,false,2026-09-20,88263.66,0.275796,https://nasa.gov/neo/12,
neo_0013,NEO 13,0.8785,9.0453,true,2026-10-08,55711.16,0.068246,https://nasa.gov/neo/13,
neo_0014,NEO 14,0.2496,7.7968,false,2026-05-21,40460.83,0.138291,https://nasa.gov/neo/14,
neo_0015,NEO 15,0.3698,5.82,true,2026-04-02,58251.63,0.29564,https://nasa.gov/neo/15,
neo_0016,NEO 16,0.3457,0.6184,true,2026-01-28,25082.97,0.258591,https://nasa.gov/neo/16,
neo_0017,NEO 17,0.8113,0.5452,true,2026-07-26,95839.68,0.098178,https://nasa.gov/neo/17,
neo_0018,NEO 18,0.7955,9.6036,true,2026-06-12,83483.7,0.379,https://nasa.gov/neo/18,
neo_0019,NEO 19,0.2517,5.2067,false,2026-05-27,50104.39,0.208164,https://nasa.gov/neo/19,
neo_0020,NEO 20,0.7613,6.6218,true,2026-01-01,66843.13,0.317757,https://nasa.gov/neo/20,
neo_0021,NEO 21,0.3804,6.4891,true,2026-03-31,57602.93,0.239848,https://nasa.gov/neo/21,
neo_0022,NEO 22,0.9699,5.5596,false,2026-09-08,94020.39,0.291992,https://nasa.gov/neo/22,
neo_0023,NEO 23,0.3751,7.8915,true,2026-06-06,83325.05,0.432276,https://nasa.gov/neo/23,
neo_0024,NEO 24,0.6245,7.1994,false,2026-03-18,65279.3,0.099646,https://nasa.gov/neo/24,
neo_0025,NEO 25,0.143,4.4456,true,2026-02-18,74548.35,0.334601,https://nasa.gov/neo/25,
neo_0026,NEO 26,0.4358,9.0449,true,2026-03-08,90327.13,0.394375,https://nasa.gov/neo/26,
neo_0027,NEO 27,0.0807,4.8422,true,2026-02-04,54904.21,0.202486,https://nasa.gov/neo/27,
neo_0028,NEO 28,0.8844,7.7698,false,2026-04-15,28007.13,0.463435,https://nasa.gov/neo/28,
neo_0029,NEO 29,0.1403,1.7391,true,2026-03-24,97805.54,0.31534,https://nasa.gov/neo/29,
neo_0030,NEO 30,0.4084,6.1509,false,2026-02-28,55144.46,0.250516,https://nasa.gov/neo/30,
neo_0031,NEO 31,0.5122,0.5837,false,2026-01-22,55340.58,0.319446,https://nasa.gov/neo/31,
neo_0032,NEO 32,0.5091,2.3798,false,2026-06-05,98425.59,0.405585,https://nasa.gov/neo/32,
neo_0033,NEO 33,0.2601,2.6326,false,2026-01-22,76009.06,0.088121,https://nasa.gov/neo/33,
neo_0034,NEO 34,0.7885,8.4832,true,2026-01-03,45712.68,0.283764,https://nasa.gov/neo/34,
neo_0035,NEO 35,0.4227,9.8036,false,2026-01-23,78292.18,0.085465,https://nasa.gov/neo/35,
neo_0036,NEO 36,0.9843,2.5428,true,2026-04-15,16659.99,0.09641,https://nasa.gov/neo/36,
neo_0037,NEO 37,0.6182,8.5833,false,2026-05-09,86916.28,0.225533,https://nasa.gov/neo/37,
neo_0038,NEO 38,0.9892,9.1284,false,2026-07-23,87376.1,0.292759,https://nasa.gov/neo/38,
neo_0039,NEO 39,0.9839,3.4202,false,2026-06-23,91513.91,0.42763,https://nasa.gov/neo/39,
neo_0040,NEO 40,0.6289,8.2768,false,2026-01-09,29810.32,0.112743,https://nasa.gov/neo/40,
neo_0041,NEO 41,0.2579,6.3932,false,2026-01-27,46413.05,0.110439,https://nasa.gov/neo/41,
neo_0042,NEO 42,0.4995,3.4271,true,2026-08-03,61819.46,0.244234,https://nasa.gov/neo/42,
neo_0043,NEO 43,0.6791,9.7167,true,2026-01-09,39466.56,0.473527,https://nasa.gov/neo/43,
neo_0044,NEO 44,0.9453,2.8348,false,2026-02-24,63107.85,0.028442,https://nasa.gov/neo/44,
neo_0045,NEO 45,0.0945,3.3168,false,2026-02-09,51491.18,0.137345,https://nasa.gov/neo/45,
neo_0046,NEO 46,0.6336,2.5102,false,2026-09-26,44575.84,0.210568,https://nasa.gov/neo/46,
neo_0047,NEO 47,0.8696,8.2412,false,2026-05-14,78109.53,0.15708,https://nasa.gov/neo/47,
neo_0048,NEO 48,0.4682,2.0575,true,2026-04-06,72984.96,0.187721,https://nasa.gov/neo/48,
neo_0049,NEO 49,0.9059,3.1382,false,2026-02-24,39582.21,0.404622,https://nasa.gov/neo/49,
neo_0050,NEO 50,0.5325,0.2504,true,2026-09-16,68805.37,0.328495,https://nasa.gov/neo/50,
neo_0051,NEO 51,0.4611,5.1568,true,2026-05-10,39146.23,0.015965,https://nasa.gov/neo/51,
neo_0052,NEO 52,0.6418,8.9253,true,2026-09-09,38478.02,0.267343,https://nasa.gov/neo/52,
neo_0053,NEO 53,0.5687,7.7554,true,2026-06-23,28246.67,0.353041,https://nasa.gov/neo/53,
neo_0054,NEO 54,0.8848,8.3757,true,2026-04-15,81611.79,0.302862,https://nasa.gov/neo/54,
neo_0055,NEO 55,0.673,5.9213,true,2026-02-27,76470.28,0.040525,https://nasa.gov/neo/55,
neo_0056,NEO 56,0.5492,3.4894,true,2026-02-06,45848.74,0.350844,https://nasa.gov/neo/56,
neo_0057,NEO 57,0.9445,1.2665,true,2026-02-05,73615.91,0.178317,https://nasa.gov/neo/57,
neo_0058,NEO 58,0.5883,5.5104,false,2026-06-03,65745.82,0.120778,https://nasa.gov/neo/58,
neo_0059,NEO 59,0.0483,0.2432,false,2026-02-27,67776.01,0.14236,https://nasa.gov/neo/59,
neo_0060,NEO 60,0.9688,4.0876,false,2026-04-22,15077.82,0.031688,https://nasa.gov/neo/60,
neo_0061,NEO 61,0.9541,4.6591,true,2026-09-02,79845.02,0.111866,https://nasa.gov/neo/61,
neo_0062,NEO 62,0.664,8.8408,false,2026-07-14,35056.63,0.121263,https://nasa.gov/neo/62,
neo_0063,NEO 63,0.6767,8.4033,true,2026-02-04,40184.31,0.462108,https://nasa.gov/neo/63,
neo_0064,NEO 64,0.944,9.9112,false,2026-03-31,78802.84,0.393287,https://nasa.gov/neo/64,
neo_0065,NEO 65,0.3692,3.7723,false,2026-06-24,96931.8,0.462953,https://nasa.gov/neo/65,
neo_0066,NEO 66,0.3834,4.8285,true,2026-06-25,66635.82,0.369269,https://nasa.gov/neo/66,
neo_0067,NEO 67,0.6346,4.6509,true,2026-08-30,12053.61,0.449822,https://nasa.gov/neo/67,
neo_0068,NEO 68,0.5125,7.3556,false,2026-04-11,57629.8,0.23923,https://nasa.gov/neo/68,
neo_0069,NEO 69,0.0797,5.121,false,2026-03-19,90427.97,0.225522,https://nasa.gov/neo/69,
neo_0070,NEO 70,0.5622,4.2199,false,2026-03-19,22081.62,0.457787,https://nasa.gov/neo/70,
neo_0071,NEO 71,0.9514,6.2162,false,2026-02-03,54876.02,0.369556,https://nasa.gov/neo/71,
neo_0072,NEO 72,0.1748,7.0971,false,2026-01-29,56243.03,0.452109,https://nasa.gov/neo/72,
neo_0073,NEO 73,0.366,5.7474,true,2026-07-01,56496.59,0.126234,https://nasa.gov/neo/73,
neo_0074,NEO 74,0.6286,3.3127,true,2026-03-03,68669.56,0.39273,https://nasa.gov/neo/74,
neo_0075,NEO 75,0.5584,8.0497,true,2026-10-01,31613.31,0.140725,https://nasa.gov/neo/75,
neo_0076,NEO 76,0.048,7.0676,false,2026-06-08,21497.59,0.360527,https://nasa.gov/neo/76,
neo_0077,NEO 77,0.141,9.9488,false,2026-03-02,24029.87,0.373359,https://nasa.gov/neo/77,
neo_0078,NEO 78,0.2004,0.6596,false,2026-07-06,68317.77,0.315945,https://nasa.gov/neo/78,
neo_0079,NEO 79,0.6623,3.2579,true,2026-07-10,12231.45,0.341586,https://nasa.gov/neo/79,
neo_0080,NEO 80,0.9898,0.4842,true,2026-04-01,54023.65,0.283479,https://nasa.gov/neo/80,
neo_0081,NEO 81,0.9709,3.9023,true,2026-04-16,57628.27,0.466609,https://nasa.gov/neo/81,
neo_0082,NEO 82,0.3742,3.8207,true,2026-08-14,11930.98,0.031163,https://nasa.gov/neo/82,
neo_0083,NEO 83,0.705,6.7507,false,2026-01-21,27715.14,0.114139,https://nasa.gov/neo/83,
neo_0084,NEO 84,0.1421,5.864,true,2026-02-08,65502.1,0.082827,https://nasa.gov/neo/84,
neo_0085,NEO 85,0.1684,7.3467,true,2026-04-13,84706.72,0.102814,https://nasa.gov/neo/85,
neo_0086,NEO 86,0.3794,0.5108,true,2026-10-09,34502.14,0.251688,https://nasa.gov/neo/86,
neo_0087,NEO 87,0.7673,1.296,true,2026-08-05,11430.47,0.034457,https://nasa.gov/neo/87,
neo_0088,NEO 88,0.6425,0.9134,true,2026-07-16,80200.14,0.219756,https://nasa.gov/neo/88,
neo_0089,NEO 89,0.2419,0.629,true,2026-07-23,70366.44,0.178124,https://nasa.gov/neo/89,
neo_0090,NEO 90,0.7664,3.204,false,2026-06-28,92368.9,0.494165,https://nasa.gov/neo/90,
neo_0091,NEO 91,0.7713,8.2445,false,2026-07-09,83599.72,0.394267,https://nasa.gov/neo/91,
neo_0092,NEO 92,0.5987,1.3255,false,2026-07-04,52597.5,0.051106,https://nasa.gov/neo/92,
neo_0093,NEO 93,0.4439,8.5909,true,2026-08-16,33412.69,0.014016,https://nasa.gov/neo/93,
neo_0094,NEO 94,0.8021,5.2542,false,2026-01-08,86054.71,0.272073,https://nasa.gov/neo/94,
neo_0095,NEO 95,0.9765,4.0755,true,2026-06-23,88323.42,0.270508,https://nasa.gov/neo/95,
neo_0096,NEO 96,0.0826,1.0274,false,2026-02-24,28266.07,0.392803,https://nasa.gov/neo/96,
neo_0097,NEO 97,0.1582,7.4312,true,2026-02-21,65079.51,0.064264,https://nasa.gov/neo/97,
neo_0098,NEO 98,0.6519,3.4727,false,2026-01-11,98873.07,0.069608,https://nasa.gov/neo/98,
neo_0099,NEO 99,0.1902,8.3869,false,2026-02-08,74077.51,0.306943,https://nasa.gov/neo/99,
neo_0100,NEO 100,0.3182,9.0748,true,2026-04-30,64903.89,0.143413,https://nasa.gov/neo/100,
neo_0101,NEO 101,0.6423,1.927,true,2026-02-23,53055.9,0.346501,https://nasa.gov/neo/101,
neo_0102,NEO 102,0.1327,9.1268,true,2026-01-23,23138.3,0.246939,https://nasa.gov/neo/102,
neo_0103,NEO 103,0.1404,1.0661,false,2026-04-07,21609.7,0.493805,https://nasa.gov/neo/103,
neo_0104,NEO 104,0.5289,1.9094,true,2026-01-05,59712.46,0.382118,https://nasa.gov/neo/104,
