objectID,title,body,section,tags
SR-0001,Advent Devotional Week One 2025,Pastor James Whitlow | /sermons/sr-0001 | 2025-11-30,sermon,sermon;devotional;advent_devotional
SR-0002,Advent Devotional Week Two 2025,Pastor James Whitlow | /sermons/sr-0002 | 2025-12-07,sermon,sermon;devotional;advent_devotional
SR-0003,Advent Devotional Week Three 2025,Pastor James Whitlow | /sermons/sr-0003 | 2025-12-14,sermon,sermon;devotional;advent_devotional
SR-0004,Advent Devotional Week Four 2025,Pastor James Whitlow | /sermons/sr-0004 | 2025-12-21,sermon,sermon;devotional;advent_devotional
SR-0005,A New Year in the Lord's Hands,Pastor James Whitlow | /sermons/sr-0005 | 2026-01-04,sermon,sermon;sunday
SR-0006,The Steady Faith of Simeon,Pastor James Whitlow | /sermons/sr-0006 | 2026-01-11,sermon,sermon;sunday
SR-0007,Salt of the Earth,Pastor James Whitlow | /sermons/sr-0007 | 2026-01-18,sermon,sermon;sunday
SR-0008,The Weight of Small Kindnesses,Pastor James Whitlow | /sermons/sr-0008 | 2026-01-25,sermon,sermon;sunday
SR-0009,Endurance Under Winter Skies,Pastor James Whitlow | /sermons/sr-0009 | 2026-02-01,sermon,sermon;sunday
SR-0010,Return of the Prodigal,Pastor James Whitlow | /sermons/sr-0010 | 2026-02-08,sermon,sermon;sunday
SR-0011,Ash Wednesday Reflection,Pastor James Whitlow | /sermons/sr-0011 | 2026-02-15,sermon,sermon;sunday
SR-0012,A House Built on Rock,Pastor James Whitlow | /sermons/sr-0012 | 2026-02-22,sermon,sermon;sunday
SR-0013,The Long Walk of Lent,Pastor James Whitlow | /sermons/sr-0013 | 2026-03-01,sermon,sermon;sunday
SR-0014,Midweek Prayer Lenten Reflection,Elder Bud Osteen |  | 2026-03-04,sermon,midweek;audio_only
SR-0015,Palm Sunday and the Coming King,Pastor James Whitlow | /sermons/sr-0015 | 2026-03-08,sermon,sermon;sunday
SR-0016,Good Friday Silence,Guest Preacher Rev. Alton Kirkpatrick | /sermons/sr-0016 | 2026-03-15,sermon,sermon;sunday
SR-0017,Easter Sunday Rising,Pastor James Whitlow | /sermons/sr-0017 | 2026-03-22,sermon,sermon;sunday
SR-0018,The Road to Emmaus,Pastor James Whitlow | /sermons/sr-0018 | 2026-03-29,sermon,sermon;sunday
SR-0019,Midweek Prayer Easter Vigil,Elder Bud Osteen |  | 2026-04-01,sermon,midweek;audio_only
SR-0020,Peter and the Charcoal Fire,Pastor James Whitlow | /sermons/sr-0020 | 2026-04-05,sermon,sermon;sunday
SR-0021,What the Vine Requires,Pastor James Whitlow | /sermons/sr-0021 | 2026-04-12,sermon,sermon;sunday
SR-0022,Pentecost and the Rushing Wind,Pastor James Whitlow | /sermons/sr-0022 | 2026-04-19,sermon,sermon;sunday
SR-0023,Trinity Sunday,Pastor James Whitlow | /sermons/sr-0023 | 2026-04-26,sermon,sermon;sunday
SR-0024,On Grace and Grit,Pastor James Whitlow | /sermons/sr-0024 | 2026-05-03,sermon,sermon;sunday
SR-0025,Fatherhood According to Joseph,Pastor James Whitlow | /sermons/sr-0025 | 2026-05-10,sermon,sermon;sunday
SR-0026,Kingdom Small as a Seed,Pastor James Whitlow | /sermons/sr-0026 | 2026-05-17,sermon,sermon;sunday
SR-0027,Independence and Repentance,Pastor James Whitlow | /sermons/sr-0027 | 2026-05-31,sermon,sermon;sunday
SR-0028,Loaves and Fishes,Pastor James Whitlow | /sermons/sr-0028 | 2026-06-07,sermon,sermon;sunday
SR-0029,The Bread of Life,Pastor James Whitlow | /sermons/sr-0029 | 2026-06-14,sermon,sermon;sunday
