Item	Project	Room	Quantity	Vendor	Unit Price	Status	Requested By	Priority
Brass cabinet pulls	Hendricks SI-2024-H01	Kitchen	24	Copperline Lighting	38	Ordered	Sophie Chen	High
Linen sheers	Martin Condo SI-2025-M02	Living	6 panels	Verde Window Co	145	Sourcing	Sophie Chen	Medium
Ceramic vessels	Desert Vista SI-2025-DV3	Staging	18	Cholla Ceramics	42	Ordered	Natalie Reeves	Medium
Throw pillows, mixed	Spec Home SI-2025-SP4	Living	12	Artisan Loom Textiles	65	Sourcing	Sophie Chen	Low
Bar stools, leather	Hendricks SI-2024-H01	Kitchen	4	Highland House Trade	420	Quote requested	Jessica Spencer	High
Coffee table books	Desert Vista SI-2025-DV3	Staging	20	Local supplier	28	Received	Natalie Reeves	Low
Bath hardware set	Hendricks SI-2024-H01	Primary bath	1	Canyon Stone Atelier	1180	Ordered	Jessica Spencer	High
Dining pendant	Martin Condo SI-2025-M02	Dining	1	Copperline Lighting	680	Sourcing	Sophie Chen	Medium
Outdoor lounge set	Spec Home SI-2025-SP4	Patio	1	Highland House Trade	2950	Quote requested	Jessica Spencer	Medium
Faux olive trees	Desert Vista SI-2025-DV3	Staging	6	Local supplier	115	Received	Natalie Reeves	Low
Console table	Spec Home SI-2025-SP4	Entry	1	Desert Modern Casegoods	1240	Sourcing	Sophie Chen	Medium
