id,contact_id,state,title,created_at,updated_at,assignee_id,open
conv-77,ic-101,open,Appeal ZD-4488 continuation,2026-11-05,2026-11-12,ic-greg,True
conv-200,ic-300,open,Chat 0,2026-11-01,2026-11-10,ic-agent2,True
conv-201,ic-301,snoozed,Chat 1,2026-11-01,2026-11-10,ic-greg,True
conv-202,ic-302,closed,Chat 2,2026-11-01,2026-11-10,ic-greg,False
conv-203,ic-303,open,Chat 3,2026-11-01,2026-11-10,ic-greg,False
conv-204,ic-304,closed,Chat 4,2026-11-01,2026-11-10,ic-greg,True
conv-205,ic-305,closed,Chat 5,2026-11-01,2026-11-10,ic-greg,True
conv-206,ic-306,snoozed,Chat 6,2026-11-01,2026-11-10,ic-greg,False
conv-207,ic-307,closed,Chat 7,2026-11-01,2026-11-10,ic-greg,False
conv-208,ic-308,closed,Chat 8,2026-11-01,2026-11-10,ic-agent2,False
conv-209,ic-309,closed,Chat 9,2026-11-01,2026-11-10,ic-agent2,False
conv-210,ic-310,closed,Chat 10,2026-11-01,2026-11-10,ic-greg,True
conv-211,ic-311,closed,Chat 11,2026-11-01,2026-11-10,ic-agent2,False
conv-212,ic-312,open,Chat 12,2026-11-01,2026-11-10,ic-greg,False
conv-213,ic-313,closed,Chat 13,2026-11-01,2026-11-10,ic-greg,False
conv-214,ic-314,closed,Chat 14,2026-11-01,2026-11-10,ic-greg,False
conv-215,ic-315,snoozed,Chat 15,2026-11-01,2026-11-10,ic-greg,False
conv-216,ic-316,snoozed,Chat 16,2026-11-01,2026-11-10,ic-greg,False
conv-217,ic-317,snoozed,Chat 17,2026-11-01,2026-11-10,ic-greg,True
conv-218,ic-318,open,Chat 18,2026-11-01,2026-11-10,ic-greg,True
conv-219,ic-319,snoozed,Chat 19,2026-11-01,2026-11-10,ic-agent2,False
conv-220,ic-320,snoozed,Chat 20,2026-11-01,2026-11-10,ic-agent2,True
conv-221,ic-321,open,Chat 21,2026-11-01,2026-11-10,ic-agent2,False
conv-222,ic-322,snoozed,Chat 22,2026-11-01,2026-11-10,ic-agent2,True
conv-223,ic-323,snoozed,Chat 23,2026-11-01,2026-11-10,ic-agent2,True
conv-224,ic-324,open,Chat 24,2026-11-01,2026-11-10,ic-agent2,True
conv-225,ic-325,snoozed,Chat 25,2026-11-01,2026-11-10,ic-agent2,True
conv-226,ic-326,closed,Chat 26,2026-11-01,2026-11-10,ic-greg,True
conv-227,ic-327,closed,Chat 27,2026-11-01,2026-11-10,ic-agent2,True
conv-228,ic-328,open,Chat 28,2026-11-01,2026-11-10,ic-agent2,False
conv-229,ic-329,snoozed,Chat 29,2026-11-01,2026-11-10,ic-agent2,True
conv-230,ic-330,snoozed,Chat 30,2026-11-01,2026-11-10,ic-greg,False
conv-231,ic-331,closed,Chat 31,2026-11-01,2026-11-10,ic-greg,False
conv-232,ic-332,snoozed,Chat 32,2026-11-01,2026-11-10,ic-agent2,True
conv-233,ic-333,closed,Chat 33,2026-11-01,2026-11-10,ic-greg,False
conv-234,ic-334,closed,Chat 34,2026-11-01,2026-11-10,ic-agent2,True
conv-235,ic-335,closed,Chat 35,2026-11-01,2026-11-10,ic-greg,True
conv-236,ic-336,closed,Chat 36,2026-11-01,2026-11-10,ic-agent2,True
conv-237,ic-337,open,Chat 37,2026-11-01,2026-11-10,ic-greg,True
conv-238,ic-338,snoozed,Chat 38,2026-11-01,2026-11-10,ic-greg,False
conv-239,ic-339,open,Chat 39,2026-11-01,2026-11-10,ic-greg,True
conv-240,ic-340,open,Chat 40,2026-11-01,2026-11-10,ic-greg,True
conv-241,ic-341,snoozed,Chat 41,2026-11-01,2026-11-10,ic-greg,False
conv-242,ic-342,snoozed,Chat 42,2026-11-01,2026-11-10,ic-greg,True
conv-243,ic-343,closed,Chat 43,2026-11-01,2026-11-10,ic-greg,False
conv-244,ic-344,closed,Chat 44,2026-11-01,2026-11-10,ic-agent2,False
conv-245,ic-345,open,Chat 45,2026-11-01,2026-11-10,ic-agent2,True
conv-246,ic-346,snoozed,Chat 46,2026-11-01,2026-11-10,ic-agent2,False
conv-247,ic-347,snoozed,Chat 47,2026-11-01,2026-11-10,ic-greg,True
