id,company_id,name,plan,monthly_spend,user_count,industry,created_at
icc-1,icc-1,Payer A,enterprise,0,50,Insurance,2020-01-01
icc-2,icc-2,Payer B,enterprise,0,19,Insurance,2020-01-01
icc-3,icc-3,Payer C,enterprise,0,75,Insurance,2020-01-01
icc-4,icc-4,Payer D,enterprise,0,45,Insurance,2020-01-01
icc-5,icc-5,Payer E,enterprise,0,76,Insurance,2020-01-01
icc-6,icc-6,Payer F,enterprise,0,28,Insurance,2020-01-01
icc-7,icc-7,Payer G,enterprise,0,48,Insurance,2020-01-01
icc-8,icc-8,Payer H,enterprise,0,68,Insurance,2020-01-01
icc-9,icc-9,Payer I,enterprise,0,35,Insurance,2020-01-01
icc-10,icc-10,Payer J,enterprise,0,26,Insurance,2020-01-01
icc-11,icc-11,Payer K,enterprise,0,49,Insurance,2020-01-01
icc-12,icc-12,Payer L,enterprise,0,7,Insurance,2020-01-01
icc-13,icc-13,Payer M,enterprise,0,75,Insurance,2020-01-01
icc-14,icc-14,Payer N,enterprise,0,62,Insurance,2020-01-01
icc-15,icc-15,Payer O,enterprise,0,26,Insurance,2020-01-01
icc-16,icc-16,Payer P,enterprise,0,42,Insurance,2020-01-01
icc-17,icc-17,Payer Q,enterprise,0,24,Insurance,2020-01-01
icc-18,icc-18,Payer R,enterprise,0,58,Insurance,2020-01-01
icc-19,icc-19,Payer S,enterprise,0,77,Insurance,2020-01-01
icc-20,icc-20,Payer T,enterprise,0,21,Insurance,2020-01-01
icc-21,icc-21,Payer U,enterprise,0,67,Insurance,2020-01-01
icc-22,icc-22,Payer B,enterprise,0,22,Insurance,2020-01-01
icc-23,icc-23,Payer C,enterprise,0,65,Insurance,2020-01-01
icc-24,icc-24,Payer D,enterprise,0,54,Insurance,2020-01-01
icc-25,icc-25,Payer E,enterprise,0,53,Insurance,2020-01-01
icc-26,icc-26,Payer F,enterprise,0,33,Insurance,2020-01-01
icc-27,icc-27,Payer G,enterprise,0,23,Insurance,2020-01-01
icc-28,icc-28,Payer H,enterprise,0,57,Insurance,2020-01-01
icc-29,icc-29,Payer I,enterprise,0,57,Insurance,2020-01-01
icc-30,icc-30,Payer J,enterprise,0,28,Insurance,2020-01-01
icc-31,icc-31,Payer K,enterprise,0,27,Insurance,2020-01-01
