id,conversation_id,part_type,author_type,author_id,body,created_at
icp-1,conv-77,comment,admin,ic-greg,Continuing the ZD-4488 appeal discussion here.,2026-11-05
icp-2,conv-0,comment,user,ic-0,Follow-up note on appeal thread.,2026-11-01
icp-3,conv-1,comment,admin,ic-1,Follow-up note on appeal thread.,2026-11-02
icp-4,conv-2,comment,user,ic-2,Follow-up note on appeal thread.,2026-11-03
icp-5,conv-3,comment,user,ic-3,Follow-up note on appeal thread.,2026-11-04
icp-6,conv-4,comment,admin,ic-4,Follow-up note on appeal thread.,2026-11-05
icp-7,conv-5,comment,user,ic-5,Follow-up note on appeal thread.,2026-11-06
icp-8,conv-6,comment,admin,ic-6,Follow-up note on appeal thread.,2026-11-07
icp-9,conv-7,comment,admin,ic-7,Follow-up note on appeal thread.,2026-11-08
icp-10,conv-8,comment,admin,ic-8,Follow-up note on appeal thread.,2026-11-09
icp-11,conv-9,comment,user,ic-9,Follow-up note on appeal thread.,2026-11-10
icp-12,conv-10,comment,user,ic-10,Follow-up note on appeal thread.,2026-11-11
icp-13,conv-11,comment,user,ic-11,Follow-up note on appeal thread.,2026-11-12
icp-14,conv-12,comment,admin,ic-12,Follow-up note on appeal thread.,2026-11-13
icp-15,conv-13,comment,user,ic-13,Follow-up note on appeal thread.,2026-11-14
icp-16,conv-14,comment,user,ic-14,Follow-up note on appeal thread.,2026-11-15
icp-17,conv-15,comment,user,ic-15,Follow-up note on appeal thread.,2026-11-16
icp-18,conv-16,comment,admin,ic-16,Follow-up note on appeal thread.,2026-11-17
icp-19,conv-17,comment,user,ic-17,Follow-up note on appeal thread.,2026-11-18
icp-20,conv-18,comment,admin,ic-18,Follow-up note on appeal thread.,2026-11-19
icp-21,conv-19,comment,user,ic-19,Follow-up note on appeal thread.,2026-11-20
icp-22,conv-20,comment,user,ic-20,Follow-up note on appeal thread.,2026-11-21
icp-23,conv-21,comment,user,ic-21,Follow-up note on appeal thread.,2026-11-22
icp-24,conv-22,comment,user,ic-22,Follow-up note on appeal thread.,2026-11-23
icp-25,conv-23,comment,admin,ic-23,Follow-up note on appeal thread.,2026-11-24
icp-26,conv-24,comment,admin,ic-24,Follow-up note on appeal thread.,2026-11-25
icp-27,conv-25,comment,admin,ic-25,Follow-up note on appeal thread.,2026-11-26
icp-28,conv-26,comment,user,ic-26,Follow-up note on appeal thread.,2026-11-27
icp-29,conv-27,comment,admin,ic-27,Follow-up note on appeal thread.,2026-11-01
icp-30,conv-28,comment,admin,ic-28,Follow-up note on appeal thread.,2026-11-02
icp-31,conv-29,comment,admin,ic-29,Follow-up note on appeal thread.,2026-11-03
icp-32,conv-30,comment,user,ic-30,Follow-up note on appeal thread.,2026-11-04
icp-33,conv-31,comment,admin,ic-31,Follow-up note on appeal thread.,2026-11-05
icp-34,conv-32,comment,user,ic-32,Follow-up note on appeal thread.,2026-11-06
icp-35,conv-33,comment,admin,ic-33,Follow-up note on appeal thread.,2026-11-07
icp-36,conv-34,comment,admin,ic-34,Follow-up note on appeal thread.,2026-11-08
icp-37,conv-35,comment,admin,ic-35,Follow-up note on appeal thread.,2026-11-09
icp-38,conv-36,comment,user,ic-36,Follow-up note on appeal thread.,2026-11-10
icp-39,conv-37,comment,user,ic-37,Follow-up note on appeal thread.,2026-11-11
icp-40,conv-38,comment,user,ic-38,Follow-up note on appeal thread.,2026-11-12
icp-41,conv-39,comment,admin,ic-39,Follow-up note on appeal thread.,2026-11-13
icp-42,conv-40,comment,user,ic-40,Follow-up note on appeal thread.,2026-11-14
