id,name,primary,type,currency_code,currency_name,balance_amount,native_balance_amount,native_currency,created_at,updated_at
cb_acc_btc,BTC Wallet,true,wallet,BTC,Bitcoin,0.0284,2400.00,USD,2022-04-11T18:00:00Z,2026-12-19T09:20:00Z
cb_acc_eth,ETH Wallet,false,wallet,ETH,Ethereum,0.291,980.00,USD,2022-05-02T10:00:00Z,2026-12-19T09:20:00Z
cb_acc_usdc,USDC Wallet,false,wallet,USDC,USD Coin,500.00,500.00,USD,2023-01-15T08:00:00Z,2026-12-19T09:20:00Z
cb_acc_usd,USD Cash,false,fiat,USD,US Dollar,84.22,84.22,USD,2022-04-11T18:00:00Z,2026-12-19T09:20:00Z
cb_acc_efd421d04a,LINK Wallet,false,wallet,LINK,LINK,3.002898,456.04,USD,2023-06-03T14:26:00Z,2026-12-19T09:20:00Z
cb_acc_fa4226066b,LINK Wallet,false,wallet,LINK,LINK,8.849323,155.65,USD,2023-10-14T11:17:00Z,2026-12-19T09:20:00Z
cb_acc_3442b1dcac,ALGO Wallet,false,wallet,ALGO,ALGO,2.583175,136.19,USD,2022-08-20T20:39:00Z,2026-12-19T09:20:00Z
cb_acc_dcd01430b7,ADA Wallet,false,wallet,ADA,ADA,2.626462,200.47,USD,2024-06-03T10:12:00Z,2026-12-19T09:20:00Z
cb_acc_10f6990ce2,MATIC Wallet,false,wallet,MATIC,MATIC,3.305136,367.90,USD,2023-11-16T15:11:00Z,2026-12-19T09:20:00Z
cb_acc_46cd72a864,XLM Wallet,false,wallet,XLM,XLM,9.370076,253.22,USD,2024-01-01T14:50:00Z,2026-12-19T09:20:00Z
cb_acc_82153120a2,LTC Wallet,false,wallet,LTC,LTC,0.415130,480.49,USD,2023-08-23T10:40:00Z,2026-12-19T09:20:00Z
cb_acc_8092a941a2,LTC Wallet,false,wallet,LTC,LTC,8.927069,200.37,USD,2024-11-12T08:03:00Z,2026-12-19T09:20:00Z
cb_acc_5c3ec28a6e,MATIC Wallet,false,wallet,MATIC,MATIC,8.369100,150.79,USD,2024-01-27T11:10:00Z,2026-12-19T09:20:00Z
cb_acc_a130ed8386,ATOM Wallet,false,wallet,ATOM,ATOM,8.827043,442.53,USD,2022-11-09T12:18:00Z,2026-12-19T09:20:00Z
cb_acc_65496f7e33,DOT Wallet,false,wallet,DOT,DOT,2.060710,322.94,USD,2024-04-13T10:33:00Z,2026-12-19T09:20:00Z
cb_acc_6b12c183b5,LTC Wallet,false,wallet,LTC,LTC,4.354059,350.26,USD,2023-11-06T15:29:00Z,2026-12-19T09:20:00Z
cb_acc_18e4457016,BCH Wallet,false,wallet,BCH,BCH,2.774807,473.16,USD,2024-10-04T12:52:00Z,2026-12-19T09:20:00Z
cb_acc_ab8947f7b9,LINK Wallet,false,wallet,LINK,LINK,0.750442,355.03,USD,2022-08-08T10:18:00Z,2026-12-19T09:20:00Z
cb_acc_46a4c00c62,SOL Wallet,false,wallet,SOL,SOL,8.379225,344.14,USD,2023-09-01T13:50:00Z,2026-12-19T09:20:00Z
cb_acc_6d043a0dd5,LINK Wallet,false,wallet,LINK,LINK,6.613084,222.70,USD,2024-11-03T17:59:00Z,2026-12-19T09:20:00Z
cb_acc_63a123e694,BCH Wallet,false,wallet,BCH,BCH,7.643323,449.94,USD,2024-10-18T21:31:00Z,2026-12-19T09:20:00Z
cb_acc_b0e2cf099e,DOGE Wallet,false,wallet,DOGE,DOGE,4.235872,145.22,USD,2022-11-17T07:42:00Z,2026-12-19T09:20:00Z
cb_acc_12d1ec0575,AVAX Wallet,false,wallet,AVAX,AVAX,7.069725,322.00,USD,2023-01-18T18:43:00Z,2026-12-19T09:20:00Z
cb_acc_e3ff342b5b,SOL Wallet,false,wallet,SOL,SOL,6.568691,305.67,USD,2022-12-11T15:04:00Z,2026-12-19T09:20:00Z
cb_acc_2a87612bf9,LTC Wallet,false,wallet,LTC,LTC,5.276935,54.59,USD,2024-01-10T11:07:00Z,2026-12-19T09:20:00Z
cb_acc_588772d616,DOGE Wallet,false,wallet,DOGE,DOGE,9.365695,45.09,USD,2023-04-11T10:53:00Z,2026-12-19T09:20:00Z
cb_acc_110c098ba7,XLM Wallet,false,wallet,XLM,XLM,2.164820,97.12,USD,2024-08-30T15:14:00Z,2026-12-19T09:20:00Z
cb_acc_7ef0c66473,AVAX Wallet,false,wallet,AVAX,AVAX,1.096869,332.73,USD,2023-02-15T12:40:00Z,2026-12-19T09:20:00Z
cb_acc_b767f536a5,LINK Wallet,false,wallet,LINK,LINK,0.603661,403.01,USD,2023-10-02T21:00:00Z,2026-12-19T09:20:00Z
cb_acc_dba69417b8,ADA Wallet,false,wallet,ADA,ADA,4.017116,222.35,USD,2023-08-05T12:07:00Z,2026-12-19T09:20:00Z
cb_acc_3eed82aa42,LINK Wallet,false,wallet,LINK,LINK,7.561904,491.64,USD,2022-02-09T19:47:00Z,2026-12-19T09:20:00Z
cb_acc_9b22d57e4a,ATOM Wallet,false,wallet,ATOM,ATOM,8.753156,84.27,USD,2023-01-08T11:06:00Z,2026-12-19T09:20:00Z
cb_acc_feaad9f58d,DOGE Wallet,false,wallet,DOGE,DOGE,7.253869,320.21,USD,2024-04-07T21:42:00Z,2026-12-19T09:20:00Z
cb_acc_fd29d7e19a,BCH Wallet,false,wallet,BCH,BCH,4.839019,120.43,USD,2023-02-23T08:52:00Z,2026-12-19T09:20:00Z
cb_acc_48c7c69e9b,XLM Wallet,false,wallet,XLM,XLM,1.386061,40.79,USD,2023-05-14T21:49:00Z,2026-12-19T09:20:00Z
cb_acc_654ae64e90,XRP Wallet,false,wallet,XRP,XRP,5.815092,339.95,USD,2023-11-10T11:42:00Z,2026-12-19T09:20:00Z
cb_acc_b07db8d9bb,ALGO Wallet,false,wallet,ALGO,ALGO,4.025767,383.81,USD,2024-06-23T18:17:00Z,2026-12-19T09:20:00Z
cb_acc_422071c7d8,BCH Wallet,false,wallet,BCH,BCH,4.384023,309.12,USD,2023-02-12T09:43:00Z,2026-12-19T09:20:00Z
cb_acc_9706178b8d,XRP Wallet,false,wallet,XRP,XRP,0.943369,304.24,USD,2022-03-22T06:04:00Z,2026-12-19T09:20:00Z
cb_acc_4721766070,LINK Wallet,false,wallet,LINK,LINK,0.710981,450.88,USD,2024-04-15T15:01:00Z,2026-12-19T09:20:00Z
cb_acc_7ecc1ea121,ALGO Wallet,false,wallet,ALGO,ALGO,5.372809,432.97,USD,2024-09-25T14:45:00Z,2026-12-19T09:20:00Z
cb_acc_afb4fe6dc6,DOGE Wallet,false,wallet,DOGE,DOGE,7.044296,325.51,USD,2024-04-09T22:31:00Z,2026-12-19T09:20:00Z
cb_acc_64d7d5c892,ADA Wallet,false,wallet,ADA,ADA,2.080727,485.52,USD,2023-05-10T12:51:00Z,2026-12-19T09:20:00Z
cb_acc_1b4b3b46f4,DOT Wallet,false,wallet,DOT,DOT,2.365012,212.22,USD,2022-12-29T22:52:00Z,2026-12-19T09:20:00Z
cb_acc_fc678748f7,BCH Wallet,false,wallet,BCH,BCH,2.523410,337.03,USD,2023-06-03T12:22:00Z,2026-12-19T09:20:00Z
cb_acc_f50e61340f,XLM Wallet,false,wallet,XLM,XLM,3.099005,449.89,USD,2022-09-18T08:39:00Z,2026-12-19T09:20:00Z
cb_acc_386831826e,XLM Wallet,false,wallet,XLM,XLM,1.209352,237.99,USD,2022-10-12T10:58:00Z,2026-12-19T09:20:00Z
cb_acc_7802bfca26,XRP Wallet,false,wallet,XRP,XRP,2.875204,462.95,USD,2024-12-22T15:32:00Z,2026-12-19T09:20:00Z
cb_acc_cffb2cd0eb,AVAX Wallet,false,wallet,AVAX,AVAX,5.456767,230.48,USD,2022-08-18T09:17:00Z,2026-12-19T09:20:00Z
cb_acc_efc51ee97e,ALGO Wallet,false,wallet,ALGO,ALGO,9.358560,458.60,USD,2022-01-07T17:58:00Z,2026-12-19T09:20:00Z
