"pair","base","currency","amount"
"BTC-USD","BTC","USD","84500.0000"
"ETH-USD","ETH","USD","3370.0000"
"USDC-USD","USDC","USD","1.0000"
"SOL-USD","SOL","USD","188.0000"
"MATIC-USD","MATIC","USD","0.4200"
"LINK-USD","LINK","USD","14.2000"
"AVAX-USD","AVAX","USD","29.8000"
"ADA-USD","ADA","USD","0.3800"
"DOT-USD","DOT","USD","5.1000"
"ATOM-USD","ATOM","USD","5.9000"
"LTC-USD","LTC","USD","78.0000"
"XRP-USD","XRP","USD","0.5200"
"DOGE-USD","DOGE","USD","0.1400"
"BCH-USD","BCH","USD","340.0000"
"XLM-USD","XLM","USD","0.1300"
"ALGO-USD","ALGO","USD","0.1700"
"IMP-USD","IMP","USD","760.8717"
"DJF-USD","DJF","USD","878.3670"
"LSL-USD","LSL","USD","119.5355"
"MZN-USD","MZN","USD","660.6107"
"BAM-USD","BAM","USD","70.7717"
"KYD-USD","KYD","USD","642.0189"
"NAD-USD","NAD","USD","250.0535"
"JOD-USD","JOD","USD","830.7430"
"AZN-USD","AZN","USD","557.8457"
"ILS-USD","ILS","USD","455.3316"
"BDT-USD","BDT","USD","836.3006"
"QAR-USD","QAR","USD","586.8807"
"NPR-USD","NPR","USD","224.5465"
"CUC-USD","CUC","USD","896.1788"
"GTQ-USD","GTQ","USD","231.3513"
"HNL-USD","HNL","USD","46.7245"
"BHD-USD","BHD","USD","243.5495"
"LBP-USD","LBP","USD","68.3286"
"BTN-USD","BTN","USD","351.7941"
"UGX-USD","UGX","USD","92.3580"
"BMD-USD","BMD","USD","370.1456"
"NZD-USD","NZD","USD","984.6045"
"JEP-USD","JEP","USD","93.7191"
"KRW-USD","KRW","USD","316.3068"
"ETB-USD","ETB","USD","293.8373"
"TMT-USD","TMT","USD","235.5620"
"IQD-USD","IQD","USD","177.8944"
"PLN-USD","PLN","USD","453.0425"
"INR-USD","INR","USD","754.6683"
"NGN-USD","NGN","USD","627.2875"
"BRL-USD","BRL","USD","307.3636"
"AUD-USD","AUD","USD","851.6908"
"LYD-USD","LYD","USD","20.1796"
"GBP-USD","GBP","USD","409.4375"
"IRR-USD","IRR","USD","991.0068"
"TVD-USD","TVD","USD","234.4910"
"RUB-USD","RUB","USD","6.9307"
"FKP-USD","FKP","USD","475.2126"
"HUF-USD","HUF","USD","640.7325"
"GHS-USD","GHS","USD","184.4750"
"MMK-USD","MMK","USD","725.0188"
"XOF-USD","XOF","USD","718.0434"
"SVC-USD","SVC","USD","244.0154"
"PGK-USD","PGK","USD","211.0750"
"SAR-USD","SAR","USD","555.3745"
"MKD-USD","MKD","USD","860.1482"
"PHP-USD","PHP","USD","777.9056"
"STD-USD","STD","USD","80.1432"
"KHR-USD","KHR","USD","135.3841"
"EGP-USD","EGP","USD","989.6992"
"SRD-USD","SRD","USD","854.5089"
"SDG-USD","SDG","USD","301.7635"
"XCD-USD","XCD","USD","310.0247"
"SZL-USD","SZL","USD","578.2817"
"MXN-USD","MXN","USD","957.8572"
"YER-USD","YER","USD","180.8817"
"KPW-USD","KPW","USD","231.4232"
"ISK-USD","ISK","USD","414.3904"
"MRO-USD","MRO","USD","954.2826"
"CHF-USD","CHF","USD","360.2125"
"SCR-USD","SCR","USD","132.2565"
"ANG-USD","ANG","USD","245.5624"
"RON-USD","RON","USD","960.4772"
"MYR-USD","MYR","USD","612.3059"
"DOP-USD","DOP","USD","464.3802"
"ERN-USD","ERN","USD","490.4968"
"MNT-USD","MNT","USD","391.6670"
"GIP-USD","GIP","USD","834.5497"
"ZWD-USD","ZWD","USD","336.6086"
"COP-USD","COP","USD","875.5007"
"VEF-USD","VEF","USD","13.8971"
"VUV-USD","VUV","USD","11.6585"
"KES-USD","KES","USD","729.2421"
"JPY-USD","JPY","USD","464.8614"
"MAD-USD","MAD","USD","884.1597"
"MOP-USD","MOP","USD","728.1181"
"SPL-USD","SPL","USD","613.1091"
"KMF-USD","KMF","USD","93.2089"
"SEK-USD","SEK","USD","955.0110"
"SOS-USD","SOS","USD","324.9289"
"MVR-USD","MVR","USD","763.1626"
"MUR-USD","MUR","USD","65.7134"
"GYD-USD","GYD","USD","94.6453"
"TOP-USD","TOP","USD","380.2751"
"ZAR-USD","ZAR","USD","532.3690"
"PEN-USD","PEN","USD","852.9375"
"NOK-USD","NOK","USD","58.0380"
"SLL-USD","SLL","USD","754.4636"
"HTG-USD","HTG","USD","881.5686"
"PKR-USD","PKR","USD","4.4846"
"FJD-USD","FJD","USD","308.5997"
"KZT-USD","KZT","USD","571.4111"
"KWD-USD","KWD","USD","197.8315"
"TZS-USD","TZS","USD","308.0452"
"OMR-USD","OMR","USD","732.6192"
"WST-USD","WST","USD","298.7854"
"GEL-USD","GEL","USD","329.7594"
"GGP-USD","GGP","USD","155.9572"
"AFN-USD","AFN","USD","518.3323"
"NIO-USD","NIO","USD","611.2795"
"BZD-USD","BZD","USD","277.0550"
"BWP-USD","BWP","USD","770.2074"
"MWK-USD","MWK","USD","483.5132"
"LTL-USD","LTL","USD","2.1268"
"ZMW-USD","ZMW","USD","579.7418"
"GMD-USD","GMD","USD","943.2905"
"SYN001-USD","SYN001","USD","4293.44"
"SYN002-USD","SYN002","USD","3267.86"
"SYN003-USD","SYN003","USD","2664.96"
"SYN004-USD","SYN004","USD","2967.91"
"SYN005-USD","SYN005","USD","3380.54"
"SYN006-USD","SYN006","USD","4116.76"
"SYN007-USD","SYN007","USD","4457.98"
"SYN008-USD","SYN008","USD","33.76"
"SYN009-USD","SYN009","USD","1960.71"
"SYN010-USD","SYN010","USD","1222.32"
"SYN011-USD","SYN011","USD","4168.72"
"SYN012-USD","SYN012","USD","2631.01"
"SYN013-USD","SYN013","USD","3192.21"
"SYN014-USD","SYN014","USD","3636.82"
"SYN015-USD","SYN015","USD","3942.66"
"SYN016-USD","SYN016","USD","2589.02"
"SYN017-USD","SYN017","USD","4475.46"
"SYN018-USD","SYN018","USD","3882.59"
"SYN019-USD","SYN019","USD","3188.77"
"SYN020-USD","SYN020","USD","4220.33"
"SYN021-USD","SYN021","USD","333"
"SYN022-USD","SYN022","USD","1775.69"
"SYN023-USD","SYN023","USD","4263.99"
"SYN024-USD","SYN024","USD","887.2"
"SYN025-USD","SYN025","USD","755.85"
"SYN026-USD","SYN026","USD","2609.22"
"SYN027-USD","SYN027","USD","3087.27"
"SYN028-USD","SYN028","USD","4035.65"
"SYN029-USD","SYN029","USD","4401.74"
"SYN030-USD","SYN030","USD","1953.08"
"SYN031-USD","SYN031","USD","2764.08"
"SYN032-USD","SYN032","USD","3583.58"
"SYN033-USD","SYN033","USD","3469.72"
"SYN034-USD","SYN034","USD","2235.97"
"SYN035-USD","SYN035","USD","3610.01"
"SYN036-USD","SYN036","USD","4927.91"
"SYN037-USD","SYN037","USD","4207.76"
"SYN038-USD","SYN038","USD","2967.58"
"SYN039-USD","SYN039","USD","551.34"
"SYN040-USD","SYN040","USD","3370.98"
"SYN041-USD","SYN041","USD","3026.41"
"SYN042-USD","SYN042","USD","3912.92"
"SYN043-USD","SYN043","USD","1928.03"
"SYN044-USD","SYN044","USD","3009.99"
"SYN045-USD","SYN045","USD","1418.61"
"SYN046-USD","SYN046","USD","4061.44"
"SYN047-USD","SYN047","USD","3015.07"
"SYN048-USD","SYN048","USD","914.46"
"SYN049-USD","SYN049","USD","3782.5"
"SYN050-USD","SYN050","USD","2940.41"
"SYN051-USD","SYN051","USD","1005.29"
"SYN052-USD","SYN052","USD","147.17"
"SYN053-USD","SYN053","USD","3057.34"
"SYN054-USD","SYN054","USD","1950.02"
"SYN055-USD","SYN055","USD","2565.01"
"SYN056-USD","SYN056","USD","3803.45"
