response_id,date,program_theme,rating_1to5,write_in
F001,2026-07-03,Trail of the Cedars walk,3,Too long
F002,2026-08-09,Night sky / dark-sky,5,Perfect length
F003,2026-07-08,Wildflower ID,2,More night sky please
F004,2026-06-20,Trail of the Cedars walk,3,Bring back in winter
F005,2026-09-12,Valley geology (long),1,
F006,2026-07-20,Winter wildlife tracking,5,Too long
F007,2026-10-05,Wildflower ID,4,Loved the tracking walk
F008,2026-06-25,Night sky / dark-sky,5,Too long
F009,2026-07-09,Night sky / dark-sky,5,History felt rushed
F010,2026-09-25,Winter wildlife tracking,5,
F011,2026-10-14,Fire ecology,5,Bring back in winter
F012,2026-09-12,Night sky / dark-sky,5,History felt rushed
F013,2026-08-06,Winter wildlife tracking,5,More night sky please
F014,2026-06-17,Trail of the Cedars walk,3,Perfect length
F015,2026-09-18,Avalanche awareness,5,Loved the tracking walk
F016,2026-06-13,Night sky / dark-sky,5,Great safety tips
F017,2026-08-26,Wildflower ID,3,Too long
F018,2026-09-10,Night sky / dark-sky,5,History felt rushed
F019,2026-08-07,Night sky / dark-sky,4,
F020,2026-06-01,Trail of the Cedars walk,4,Perfect length
F021,2026-08-23,Winter wildlife tracking,5,Loved the tracking walk
F022,2026-09-14,Night sky / dark-sky,4,Perfect length
F023,2026-08-24,Trail of the Cedars walk,3,More night sky please
F024,2026-07-13,Winter wildlife tracking,4,Loved the tracking walk
F025,2026-06-12,Avalanche awareness,5,Wanted more stars
F026,2026-06-10,Winter wildlife tracking,5,
F027,2026-10-27,Avalanche awareness,5,History felt rushed
F028,2026-10-12,Trail of the Cedars walk,3,Loved the tracking walk
F029,2026-07-10,General park history,2,History felt rushed
F030,2026-08-22,Trail of the Cedars walk,4,Wanted more stars
F031,2026-08-19,Avalanche awareness,4,More night sky please
F032,2026-09-20,Winter wildlife tracking,5,
F033,2026-08-10,Night sky / dark-sky,5,Wanted more stars
F034,2026-09-03,Winter wildlife tracking,5,
F035,2026-10-24,Wildflower ID,4,More night sky please
F036,2026-06-19,Winter wildlife tracking,5,History felt rushed
F037,2026-07-09,Trail of the Cedars walk,4,
F038,2026-10-18,Avalanche awareness,4,Perfect length
F039,2026-10-07,Trail of the Cedars walk,3,Great safety tips
F040,2026-06-12,Valley geology (long),2,More night sky please
