donor_name,donor_type,gift_usd,paypal_invoice,first_year_giving,years_with_gearup,relationship
Corktown Auto Group,corporate,500.00,GEARUP-1000,2016,11,Founding sponsor since year one
Rosedale Neighbourhood Fund,community,750.00,GEARUP-1001,2017,10,Backed us since the second cohort
Woodward Machine Works,corporate,1000.00,GEARUP-1002,2016,11,Provides tools and the biggest annual gift
Eastside Family Foundation,foundation,250.00,GEARUP-1003,2024,3,Newer grant partner
Cass Corridor Motors,corporate,150.00,GEARUP-1004,2025,2,New local sponsor this year
Midtown Lions Club,community,300.00,GEARUP-1005,2018,9,Long service club supporter
Great Lakes Fabrication,corporate,800.00,GEARUP-1006,2019,8,Ray Parker connection and welding donations
Palmer Park Rotary,community,450.00,GEARUP-1007,2026,1,First gift this year
Livernois Tire and Service,corporate,200.00,GEARUP-1008,2025,2,New trade sponsor
Belle Isle Youth Trust,foundation,350.00,GEARUP-1009,2023,4,Grant renewed twice
