part_number,description,category,vendor,unit_price_usd,in_stock,note
DS-OIL-5W30,Full synthetic oil 5W-30 (quart),Fluids,NAPA Detroit,7.20,48,fast mover
DS-OIL-0W20,Full synthetic oil 0W-20 (quart),Fluids,NAPA Detroit,7.60,36,fast mover
DS-FLT-A101,Engine air filter standard,Filters,AutoZone Pro,12.40,22,seasonal
DS-FLT-C220,Cabin air filter carbon,Filters,AutoZone Pro,16.90,15,seasonal
DS-BRK-P330,Ceramic brake pad set front,Brakes,NAPA Detroit,41.50,12,climbs in fall
DS-BRK-R331,Brake rotor coated front,Brakes,NAPA Detroit,58.00,8,climbs in fall
DS-BAT-H6,AGM battery group H6,Electrical,AutoZone Pro,164.99,6,cold season demand
DS-WPR-22,Wiper blade 22 inch beam,Wipers,NAPA Detroit,14.25,30,counter add-on
DS-WPR-18,Wiper blade 18 inch beam,Wipers,NAPA Detroit,13.75,28,counter add-on
DS-SPK-IR4,Iridium spark plug,Ignition,NAPA Detroit,9.80,44,tune-up staple
DS-BELT-S6,Serpentine belt 6 rib,Belts,AutoZone Pro,28.60,10,check with water pump jobs
DS-WSH-GAL,Washer fluid winter blend (gallon),Fluids,NAPA Detroit,4.10,40,pull-through item
