Date	Activity_Type	Title	Distance_mi	Moving_Time_min	Avg_Pace_per_mi	Elevation_ft	Calories	Avg_HR	Notes
2025-01-01	Run	Wednesday Easy Run	3.73	37	10:11	71	338	141	Midweek aerobic base run
2025-01-02	Run	Thursday Speed Work	4.12	31	7:46	97	435	159	Interval workout 8x400m at tempo pace
2025-01-04	Run	Saturday Long Run	6.07	61	10:05	261	661	143	Olentangy Trail long run felt strong
2025-01-06	Run	Monday Easy Run	4.26	43	10:07	67	420	147	Easy recovery run
2025-01-08	Run	Wednesday Easy Run	3.57	37	10:24	82	337	151	Midweek aerobic base run
2025-01-11	Run	Saturday Long Run	6.31	68	10:52	166	645	148	Fueled at mile 6 with gel
2025-01-15	Run	Wednesday Easy Run	4.35	44	10:09	91	424	151	Midweek aerobic base run
2025-01-16	Run	Thursday Speed Work	4.93	39	7:59	128	545	162	Interval workout 8x400m at tempo pace
2025-01-18	Run	Saturday Long Run	6.18	66	10:49	182	628	151	Ran with Rachel Torres first 5 miles
2025-01-20	Run	Monday Easy Run	4.46	43	9:48	137	407	139	Easy recovery run
2025-01-29	Run	Wednesday Easy Run	4.01	42	10:29	127	386	139	Midweek aerobic base run
2025-01-30	Run	Thursday Speed Work	4.16	32	7:47	143	487	172	Interval workout 8x400m at tempo pace
2025-02-01	Run	Saturday Long Run	7.34	76	10:22	272	803	156	Olentangy Trail long run felt strong
2025-02-03	Run	Monday Easy Run	4.89	48	10:00	68	447	149	Easy recovery run
2025-02-05	Run	Wednesday Easy Run	4.99	51	10:22	122	472	150	Midweek aerobic base run
2025-02-06	Run	Thursday Speed Work	4.69	37	8:00	129	517	160	Interval workout 8x400m at tempo pace
2025-02-08	Run	Saturday Long Run	7.49	76	10:13	193	772	149	Good long run solid aerobic base
2025-02-10	Run	Monday Easy Run	4.74	45	9:35	81	458	144	Easy recovery run
2025-02-12	Run	Wednesday Easy Run	4.73	49	10:25	135	446	151	Midweek aerobic base run
2025-02-13	Run	Thursday Speed Work	5.37	41	7:42	99	579	159	Interval workout 8x400m at tempo pace
2025-02-15	Run	Saturday Long Run	7.23	73	10:14	123	791	147	Trail surface on Olentangy mixed gravel and asphalt
2025-02-17	Run	Monday Easy Run	3.29	33	10:04	107	331	147	Easy recovery run
2025-02-19	Run	Wednesday Easy Run	4.79	50	10:30	144	438	152	Midweek aerobic base run
2025-02-20	Run	Thursday Speed Work	5.56	44	7:57	157	626	164	Interval workout 8x400m at tempo pace
2025-02-22	Run	Saturday Long Run	7.39	77	10:30	222	752	148	Olentangy Trail long run felt strong
2025-02-24	Run	Monday Easy Run	3.88	37	9:37	103	386	138	Easy recovery run
2025-02-26	Run	Wednesday Easy Run	4.30	45	10:30	111	427	138	Midweek aerobic base run
2025-03-01	Run	Saturday Long Run	7.38	78	10:40	184	788	153	Ran with Rachel Torres first 5 miles
2025-03-05	Run	Wednesday Easy Run	4.99	49	9:59	126	484	147	Midweek aerobic base run
2025-03-08	Run	Saturday Long Run	7.34	75	10:16	242	760	158	Long run Whetstone Park and Clintonville loop
2025-03-10	Run	Monday Easy Run	4.90	48	9:53	78	479	152	Legs felt heavy from weekend long run
2025-03-12	Run	Wednesday Easy Run	4.97	51	10:25	76	468	149	Midweek aerobic base run
2025-03-13	Run	Thursday Speed Work	4.71	35	7:37	138	532	170	Interval workout 8x400m at tempo pace
2025-03-15	Run	Saturday Long Run	7.64	81	10:39	169	802	154	Whetstone Park to Antrim loop
2025-03-17	Run	Monday Easy Run	3.99	40	10:16	63	360	150	Easy recovery run
2025-03-19	Run	Wednesday Easy Run	4.54	44	9:52	122	433	149	Midweek aerobic base run
2025-03-22	Run	Saturday Long Run	7.47	77	10:21	172	815	142	Ran with Rachel Torres first 5 miles
2025-03-24	Run	Monday Easy Run	3.69	37	10:11	70	337	152	Easy recovery run
2025-03-26	Run	Wednesday Easy Run	3.80	39	10:26	87	368	148	Midweek aerobic base run
2025-03-29	Run	Saturday Long Run	7.72	80	10:29	222	790	147	Long run route through Clintonville north loop
2025-03-31	Run	Monday Easy Run	3.06	30	10:07	119	279	147	Easy recovery run
2025-04-02	Run	Wednesday Easy Run	4.49	44	9:52	84	441	142	Midweek aerobic base run
2025-04-05	Run	Saturday Long Run	8.73	88	10:06	254	903	155	Whetstone Park to Antrim loop
2025-04-07	Run	Monday Easy Run	3.42	33	9:46	87	322	146	Easy recovery run
2025-04-09	Run	Wednesday Easy Run	3.89	38	9:56	81	352	149	Midweek aerobic base run
2025-04-10	Run	Thursday Speed Work	5.32	42	7:56	136	591	171	Interval workout 8x400m at tempo pace
2025-04-12	Run	Saturday Long Run	8.50	89	10:34	158	929	158	Long run Whetstone Park and Clintonville loop
2025-04-14	Run	Monday Easy Run	4.55	46	10:08	60	421	140	Easy recovery run
2025-04-23	Run	Wednesday Easy Run	3.68	35	9:33	106	362	153	Midweek aerobic base run
2025-04-24	Run	Thursday Speed Work	4.21	32	7:47	77	458	161	Interval workout 8x400m at tempo pace
2025-04-26	Run	Saturday Long Run	8.77	92	10:32	235	893	144	Ran with Rachel Torres first 5 miles
2025-04-28	Run	Monday Easy Run	4.95	50	10:08	125	462	149	Easy recovery run
2025-04-30	Run	Wednesday Easy Run	4.71	47	10:02	96	460	146	Midweek aerobic base run
2025-05-01	Run	Thursday Speed Work	5.79	44	7:36	127	624	164	Left hamstring tightness noted post-run
2025-05-03	Run	Saturday Long Run	9.07	92	10:15	229	931	148	Trail surface on Olentangy mixed gravel and asphalt
