gid,name,project_gid,created_at
asn-sec-001,Concept,asn-prj-museum,2026-06-01T09:00:00Z
asn-sec-002,Trial firings,asn-prj-museum,2026-06-01T09:00:00Z
asn-sec-003,Amendment paperwork,asn-prj-museum,2026-06-01T09:00:00Z
asn-sec-004,Loan rider,asn-prj-museum,2026-06-01T09:00:00Z
asn-sec-005,Final firing anagama,asn-prj-museum,2026-06-01T09:00:00Z
asn-sec-006,Delivery to museum,asn-prj-museum,2026-06-01T09:00:00Z
asn-sec-007,Selection,asn-prj-terre,2026-06-01T09:00:00Z
asn-sec-008,Crating,asn-prj-terre,2026-06-01T09:00:00Z
asn-sec-009,Insurance,asn-prj-terre,2026-06-01T09:00:00Z
asn-sec-010,FedEx routing,asn-prj-terre,2026-06-01T09:00:00Z
asn-sec-011,Opening prep,asn-prj-terre,2026-06-01T09:00:00Z
asn-sec-012,Production,asn-prj-shibui,2026-06-01T09:00:00Z
asn-sec-013,Bisque,asn-prj-shibui,2026-06-01T09:00:00Z
asn-sec-014,Glaze,asn-prj-shibui,2026-06-01T09:00:00Z
asn-sec-015,Photography,asn-prj-shibui,2026-06-01T09:00:00Z
asn-sec-016,Opening prep,asn-prj-shibui,2026-06-01T09:00:00Z
asn-sec-017,Segmentation,asn-prj-openstudio,2026-06-01T09:00:00Z
asn-sec-018,Draft invitations,asn-prj-openstudio,2026-06-01T09:00:00Z
asn-sec-019,Studio prep,asn-prj-openstudio,2026-06-01T09:00:00Z
asn-sec-020,Sales day,asn-prj-openstudio,2026-06-01T09:00:00Z
