id,title,description,layout_type,author,widget_count,is_read_only,created,modified
dash_001,Front Desk Overview,Dashboard for Front Desk Overview,ordered,amy.fields@hawthornegrand.internal,6,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_002,Concierge Terminal Health,Dashboard for Concierge Terminal Health,ordered,amy.fields@hawthornegrand.internal,7,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_003,PMS Reservation Rate,Dashboard for PMS Reservation Rate,ordered,amy.fields@hawthornegrand.internal,8,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_004,POS Restaurant Rate,Dashboard for POS Restaurant Rate,ordered,amy.fields@hawthornegrand.internal,9,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_005,Wi-Fi Client Trend,Dashboard for Wi-Fi Client Trend,ordered,amy.fields@hawthornegrand.internal,10,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_006,HVAC Comfort North,Dashboard for HVAC Comfort North,ordered,amy.fields@hawthornegrand.internal,11,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_007,HVAC Comfort South,Dashboard for HVAC Comfort South,ordered,amy.fields@hawthornegrand.internal,12,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_008,Key Encoder Reliability,Dashboard for Key Encoder Reliability,ordered,amy.fields@hawthornegrand.internal,13,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_009,Elevator Wait Times,Dashboard for Elevator Wait Times,ordered,amy.fields@hawthornegrand.internal,14,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
dash_010,Fire Panel Status,Dashboard for Fire Panel Status,ordered,amy.fields@hawthornegrand.internal,15,True,2024-05-01T00:00:00Z,2026-10-01T00:00:00Z
