name,up,apps,sources,cpu_pct,mem_pct,last_reported
hg-front-desk-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",12,45,2026-11-01T12:00:00Z
hg-front-desk-02,True,"opera-pms,ms-office,ms-teams","system,network,agent",15,52,2026-11-02T12:00:00Z
hg-front-desk-03,True,"opera-pms,ms-office,ms-teams","system,network,agent",18,59,2026-11-03T12:00:00Z
hg-concierge-terminal-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",21,66,2026-11-04T12:00:00Z
hg-concierge-terminal-02,True,"opera-pms,ms-office,ms-teams","system,network,agent",24,73,2026-11-05T12:00:00Z
hg-reservations-server-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",27,80,2026-11-06T12:00:00Z
hg-pms-primary,True,"opera-pms,ms-office,ms-teams","system,network,agent",30,47,2026-11-07T12:00:00Z
hg-pms-standby,True,"opera-pms,ms-office,ms-teams","system,network,agent",33,54,2026-11-08T12:00:00Z
hg-pos-restaurant-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",36,61,2026-11-09T12:00:00Z
hg-pos-restaurant-02,True,"opera-pms,ms-office,ms-teams","system,network,agent",39,68,2026-11-10T12:00:00Z
hg-key-encoder-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",12,75,2026-11-11T12:00:00Z
hg-key-encoder-02,True,"opera-pms,ms-office,ms-teams","system,network,agent",15,82,2026-11-12T12:00:00Z
hg-wifi-controller-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",18,49,2026-11-13T12:00:00Z
hg-wifi-controller-02,True,"opera-pms,ms-office,ms-teams","system,network,agent",21,56,2026-11-14T12:00:00Z
hg-cctv-nvr-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",24,63,2026-11-15T12:00:00Z
hg-cctv-nvr-02,True,"opera-pms,ms-office,ms-teams","system,network,agent",27,70,2026-11-16T12:00:00Z
hg-fire-panel-01,True,"opera-pms,ms-office,ms-teams","system,network,agent",30,77,2026-11-17T12:00:00Z
hg-elevator-controller,True,"opera-pms,ms-office,ms-teams","system,network,agent",33,84,2026-11-18T12:00:00Z
hg-hvac-controller-north,True,"opera-pms,ms-office,ms-teams","system,network,agent",36,51,2026-11-19T12:00:00Z
hg-hvac-controller-south,True,"opera-pms,ms-office,ms-teams","system,network,agent",39,58,2026-11-20T12:00:00Z
