metric,scope,base_value,amplitude,unit
cpu.utilization.host_hg_front_desk_01,host:hg-front-desk-01,55,21,percent
cpu.utilization.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,72,22,percent
cpu.utilization.host_hg_pms_primary,host:hg-pms-primary,62,10,percent
cpu.utilization.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,65,10,percent
memory.utilization.host_hg_front_desk_01,host:hg-front-desk-01,75,21,percent
memory.utilization.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,88,22,percent
memory.utilization.host_hg_pms_primary,host:hg-pms-primary,79,10,percent
memory.utilization.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,75,10,percent
disk.utilization.host_hg_front_desk_01,host:hg-front-desk-01,61,21,percent
disk.utilization.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,57,22,percent
disk.utilization.host_hg_pms_primary,host:hg-pms-primary,75,10,percent
disk.utilization.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,73,10,percent
network.in.host_hg_front_desk_01,host:hg-front-desk-01,50,21,count
network.in.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,81,22,count
network.in.host_hg_pms_primary,host:hg-pms-primary,61,10,count
network.in.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,82,10,count
network.out.host_hg_front_desk_01,host:hg-front-desk-01,63,21,count
network.out.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,53,22,count
network.out.host_hg_pms_primary,host:hg-pms-primary,85,10,count
network.out.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,52,10,count
process.count.host_hg_front_desk_01,host:hg-front-desk-01,59,21,count
process.count.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,86,22,count
process.count.host_hg_pms_primary,host:hg-pms-primary,50,10,count
process.count.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,52,10,count
system.load.5min.host_hg_front_desk_01,host:hg-front-desk-01,50,21,count
system.load.5min.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,51,22,count
system.load.5min.host_hg_pms_primary,host:hg-pms-primary,72,10,count
system.load.5min.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,89,10,count
opera_pms.reservation.count.host_hg_front_desk_01,host:hg-front-desk-01,69,21,count
opera_pms.reservation.count.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,51,22,count
opera_pms.reservation.count.host_hg_pms_primary,host:hg-pms-primary,80,10,count
opera_pms.reservation.count.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,52,10,count
opera_pms.checkin.rate.host_hg_front_desk_01,host:hg-front-desk-01,73,21,count
opera_pms.checkin.rate.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,87,22,count
opera_pms.checkin.rate.host_hg_pms_primary,host:hg-pms-primary,66,10,count
opera_pms.checkin.rate.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,58,10,count
opera_pms.checkout.rate.host_hg_front_desk_01,host:hg-front-desk-01,57,21,count
opera_pms.checkout.rate.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,81,22,count
opera_pms.checkout.rate.host_hg_pms_primary,host:hg-pms-primary,80,10,count
opera_pms.checkout.rate.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,66,10,count
wifi.clients.count.host_hg_front_desk_01,host:hg-front-desk-01,82,21,count
wifi.clients.count.host_hg_concierge_terminal_01,host:hg-concierge-terminal-01,64,22,count
wifi.clients.count.host_hg_pms_primary,host:hg-pms-primary,79,10,count
wifi.clients.count.host_hg_pos_restaurant_01,host:hg-pos-restaurant-01,81,10,count
wifi.bandwidth.usage.host_hg_front_desk_01,host:hg-front-desk-01,53,21,count
