id,createdTime,OrderNumber,Vendor,Item,Quantity,UnitPrice,TotalPrice,Status
po_sep_089,2026-09-10T09:00:00-04:00,PO-SEP-089,AutoZone Pro,Brake Rotor - Standard 12in,20,45.99,919.80,fulfilled
po_sep_103,2026-09-18T14:00:00-04:00,PO-SEP-103,LKQ Corp,Aftermarket Fender Set - 2018 Nissan Altima,1,1240.00,1240.00,unfulfilled
po_sep_095,2026-09-12T13:00:00-04:00,PO-SEP-095,LKQ Corp,OEM Hood Panel - 2020 Toyota Camry,1,610.00,610.00,fulfilled
po_sep_101,2026-09-15T10:30:00-04:00,PO-SEP-101,NAPA Auto Parts,Wiper Blade Set - Assorted,12,18.75,225.00,fulfilled
po_sep_108,2026-09-20T15:00:00-04:00,PO-SEP-108,Keystone Automotive,Side Mirror Housing - 2019 Ford Fusion,2,94.00,188.00,fulfilled
po_sep_072,2026-09-08T10:00:00-04:00,PO-SEP-072,PPG Industries,PPG Envirobase HP Basecoat - White,3,389.00,1757.00,fulfilled
po_sep_075,2026-09-10T11:00:00-04:00,PO-SEP-075,3M,3M Cubitron II Sanding Disc 6in P80,5,42.50,298.00,fulfilled
po_aug_058,2026-08-15T09:30:00-04:00,PO-AUG-058,AutoZone Pro,Brake Rotor - Premium 12in,6,62.99,377.94,fulfilled
po_aug_045,2026-08-08T14:00:00-04:00,PO-AUG-045,Evercoat,Body Filler - Lightweight 1gal,4,34.99,139.96,fulfilled
po_sep_080,2026-09-15T10:00:00-04:00,PO-SEP-080,3M,3M Green Masking Tape 2in x 60yd,24,8.99,215.76,fulfilled
po_sep_085,2026-09-20T09:00:00-04:00,PO-SEP-085,PPG Industries,2K Urethane Primer - Gray 1gal,2,125.00,250.00,fulfilled
po_jul_032,2026-07-12T11:00:00-04:00,PO-JUL-032,LKQ Corp,OEM Front Bumper Cover - 2019 Honda Civic,1,485.00,485.00,fulfilled
po_aug_052,2026-08-22T10:00:00-04:00,PO-AUG-052,AutoZone Pro,Headlight Assembly - 2020 Toyota RAV4,1,178.00,178.00,fulfilled
recO0100,2026-07-26T09:00:00-04:00,PO-BG-100,Advance Auto Parts,wheel bearings,22,76.47,1682.34,backordered
recO0101,2026-07-17T09:00:00-04:00,PO-BG-101,Sherwin-Williams Automotive,body filler,5,87.88,439.4,backordered
recO0102,2026-07-16T09:00:00-04:00,PO-BG-102,Sherwin-Williams Automotive,tail light,3,50.62,151.86,received
recO0103,2026-08-04T09:00:00-04:00,PO-BG-103,Advance Auto Parts,paint primer,32,131.17,4197.44,ordered
recO0104,2026-07-12T09:00:00-04:00,PO-BG-104,AutoZone,clearcoat gallon,3,78.75,236.25,received
recO0105,2026-06-18T09:00:00-04:00,PO-BG-105,Advance Auto Parts,side mirror,17,13.94,236.98,backordered
recO0106,2026-09-27T09:00:00-04:00,PO-BG-106,Advance Auto Parts,body filler,23,135.18,3109.14,received
recO0107,2026-08-18T09:00:00-04:00,PO-BG-107,PPG Industries,wheel bearings,7,135.56,948.92,received
recO0108,2026-06-13T09:00:00-04:00,PO-BG-108,Keystone Automotive,paint primer,13,127.34,1655.42,received
recO0109,2026-06-26T09:00:00-04:00,PO-BG-109,AutoZone,masking film,35,107.13,3749.55,received
recO0110,2026-06-25T09:00:00-04:00,PO-BG-110,Keystone Automotive,clearcoat gallon,26,60.75,1579.5,backordered
recO0111,2026-08-10T09:00:00-04:00,PO-BG-111,Advance Auto Parts,brake rotors,27,83.42,2252.34,ordered
recO0112,2026-06-07T09:00:00-04:00,PO-BG-112,Keystone Automotive,paint primer,6,16.17,97.02,ordered
recO0113,2026-09-19T09:00:00-04:00,PO-BG-113,LKQ Corporation,body filler,6,122.25,733.5,ordered
recO0114,2026-07-07T09:00:00-04:00,PO-BG-114,O'Reilly Auto Parts,tail light,6,15.95,95.7,ordered
recO0115,2026-07-15T09:00:00-04:00,PO-BG-115,Dent Fix Equipment,brake rotors,16,97.61,1561.76,ordered
recO0116,2026-06-22T09:00:00-04:00,PO-BG-116,NAPA Auto Parts,masking film,14,23.78,332.92,ordered
recO0117,2026-09-23T09:00:00-04:00,PO-BG-117,NAPA Auto Parts,side mirror,37,100.24,3708.88,ordered
recO0118,2026-06-05T09:00:00-04:00,PO-BG-118,PPG Industries,brake rotors,26,30.95,804.7,ordered
recO0119,2026-06-14T09:00:00-04:00,PO-BG-119,Sherwin-Williams Automotive,bumper cover,26,126.98,3301.48,backordered
recO0120,2026-08-28T09:00:00-04:00,PO-BG-120,Keystone Automotive,body filler,28,110.81,3102.68,backordered
recO0121,2026-09-16T09:00:00-04:00,PO-BG-121,NAPA Auto Parts,body filler,2,103.08,206.16,ordered
recO0122,2026-07-24T09:00:00-04:00,PO-BG-122,PPG Industries,side mirror,20,31.1,622.0,received
recO0123,2026-06-25T09:00:00-04:00,PO-BG-123,PPG Industries,side mirror,19,125.55,2385.45,received
recO0124,2026-09-23T09:00:00-04:00,PO-BG-124,Dent Fix Equipment,brake pads,15,22.89,343.35,ordered
recO0125,2026-07-09T09:00:00-04:00,PO-BG-125,3M Automotive,masking film,15,121.26,1818.9,received
recO0126,2026-07-19T09:00:00-04:00,PO-BG-126,Sherwin-Williams Automotive,sandpaper 400-grit,10,62.81,628.1,received
recO0127,2026-06-06T09:00:00-04:00,PO-BG-127,NAPA Auto Parts,weatherstrip,28,118.8,3326.4,backordered
recO0128,2026-09-28T09:00:00-04:00,PO-BG-128,Sherwin-Williams Automotive,side mirror,5,46.2,231.0,received
recO0129,2026-06-18T09:00:00-04:00,PO-BG-129,Advance Auto Parts,masking film,19,40.27,765.13,received
recO0130,2026-06-21T09:00:00-04:00,PO-BG-130,Dent Fix Equipment,tail light,14,100.97,1413.58,backordered
recO0131,2026-06-16T09:00:00-04:00,PO-BG-131,Advance Auto Parts,bumper cover,3,31.01,93.03,ordered
recO0132,2026-06-14T09:00:00-04:00,PO-BG-132,LKQ Corporation,brake pads,13,89.42,1162.46,ordered
recO0133,2026-06-11T09:00:00-04:00,PO-BG-133,NAPA Auto Parts,bumper cover,26,10.12,263.12,ordered
recO0134,2026-07-21T09:00:00-04:00,PO-BG-134,Advance Auto Parts,door handle,36,27.26,981.36,ordered
recO0135,2026-09-04T09:00:00-04:00,PO-BG-135,Dent Fix Equipment,door handle,9,9.89,89.01,ordered
recO0136,2026-06-17T09:00:00-04:00,PO-BG-136,Sherwin-Williams Automotive,sandpaper 400-grit,40,66.71,2668.4,backordered
recO0137,2026-08-09T09:00:00-04:00,PO-BG-137,Dent Fix Equipment,side mirror,31,112.98,3502.38,ordered
recO0138,2026-09-13T09:00:00-04:00,PO-BG-138,Dent Fix Equipment,side mirror,16,115.9,1854.4,backordered
recO0139,2026-06-26T09:00:00-04:00,PO-BG-139,LKQ Corporation,brake rotors,39,123.52,4817.28,received
recO0140,2026-06-27T09:00:00-04:00,PO-BG-140,LKQ Corporation,paint primer,17,8.68,147.56,backordered
recO0141,2026-08-08T09:00:00-04:00,PO-BG-141,LKQ Corporation,paint primer,32,116.71,3734.72,received
recO0142,2026-09-27T09:00:00-04:00,PO-BG-142,Advance Auto Parts,clearcoat gallon,21,52.64,1105.44,received
recO0143,2026-09-28T09:00:00-04:00,PO-BG-143,O'Reilly Auto Parts,tail light,9,63.05,567.45,received
recO0144,2026-06-25T09:00:00-04:00,PO-BG-144,NAPA Auto Parts,clearcoat gallon,20,102.15,2043.0,ordered
recO0145,2026-09-12T09:00:00-04:00,PO-BG-145,Sherwin-Williams Automotive,wheel bearings,17,54.69,929.73,backordered
recO0146,2026-09-18T09:00:00-04:00,PO-BG-146,PPG Industries,wheel bearings,34,55.7,1893.8,ordered
recO0147,2026-07-10T09:00:00-04:00,PO-BG-147,PPG Industries,weatherstrip,7,124.11,868.77,received
recO0148,2026-09-15T09:00:00-04:00,PO-BG-148,LKQ Corporation,body filler,31,132.98,4122.38,received
recO0149,2026-08-25T09:00:00-04:00,PO-BG-149,Sherwin-Williams Automotive,paint primer,26,119.53,3107.78,ordered
recO0150,2026-09-12T09:00:00-04:00,PO-BG-150,Advance Auto Parts,paint primer,9,61.19,550.71,backordered
recO0151,2026-09-05T09:00:00-04:00,PO-BG-151,AutoZone,brake rotors,38,34.83,1323.54,received
recO0152,2026-08-13T09:00:00-04:00,PO-BG-152,PPG Industries,fender panel,40,19.81,792.4,received
recO0153,2026-09-16T09:00:00-04:00,PO-BG-153,Advance Auto Parts,fender panel,25,111.83,2795.75,backordered
recO0154,2026-06-11T09:00:00-04:00,PO-BG-154,O'Reilly Auto Parts,tail light,7,15.12,105.84,ordered
recO0155,2026-07-07T09:00:00-04:00,PO-BG-155,Keystone Automotive,bumper cover,4,56.7,226.8,backordered
recO0156,2026-08-28T09:00:00-04:00,PO-BG-156,3M Automotive,clearcoat gallon,5,36.55,182.75,ordered
recO0157,2026-06-26T09:00:00-04:00,PO-BG-157,3M Automotive,bumper cover,40,115.58,4623.2,received
recO0158,2026-08-01T09:00:00-04:00,PO-BG-158,Keystone Automotive,headlight assembly,3,24.11,72.33,ordered
recO0159,2026-09-11T09:00:00-04:00,PO-BG-159,Advance Auto Parts,fender panel,4,44.7,178.8,received
recO0160,2026-07-10T09:00:00-04:00,PO-BG-160,Advance Auto Parts,wheel bearings,22,120.49,2650.78,backordered
recO0161,2026-07-01T09:00:00-04:00,PO-BG-161,3M Automotive,masking film,8,67.44,539.52,ordered
recO0162,2026-08-28T09:00:00-04:00,PO-BG-162,O'Reilly Auto Parts,wheel bearings,34,92.58,3147.72,backordered
recO0163,2026-09-20T09:00:00-04:00,PO-BG-163,Advance Auto Parts,brake rotors,40,75.38,3015.2,backordered
recO0164,2026-09-12T09:00:00-04:00,PO-BG-164,LKQ Corporation,body filler,27,75.11,2027.97,backordered
recO0165,2026-07-13T09:00:00-04:00,PO-BG-165,NAPA Auto Parts,door handle,30,46.7,1401.0,received
recO0166,2026-07-26T09:00:00-04:00,PO-BG-166,PPG Industries,wheel bearings,16,110.71,1771.36,ordered
recO0167,2026-07-08T09:00:00-04:00,PO-BG-167,Sherwin-Williams Automotive,tail light,26,44.64,1160.64,ordered
recO0168,2026-09-05T09:00:00-04:00,PO-BG-168,3M Automotive,side mirror,20,138.16,2763.2,backordered
recO0169,2026-07-10T09:00:00-04:00,PO-BG-169,Advance Auto Parts,clearcoat gallon,19,119.36,2267.84,backordered
recO0170,2026-06-21T09:00:00-04:00,PO-BG-170,Advance Auto Parts,paint primer,28,79.66,2230.48,received
recO0171,2026-07-25T09:00:00-04:00,PO-BG-171,Sherwin-Williams Automotive,clearcoat gallon,2,51.81,103.62,received
recO0172,2026-07-03T09:00:00-04:00,PO-BG-172,Keystone Automotive,clearcoat gallon,2,33.13,66.26,backordered
recO0173,2026-06-24T09:00:00-04:00,PO-BG-173,Dent Fix Equipment,wheel bearings,7,64.63,452.41,backordered
recO0174,2026-06-18T09:00:00-04:00,PO-BG-174,AutoZone,body filler,16,23.66,378.56,ordered
recO0175,2026-07-13T09:00:00-04:00,PO-BG-175,3M Automotive,weatherstrip,40,98.65,3946.0,received
recO0176,2026-07-23T09:00:00-04:00,PO-BG-176,Advance Auto Parts,wheel bearings,11,40.37,444.07,backordered
