id,createdTime,SKU,Title,Price,Inventory,Vendor,ProductType
prod_001,2026-01-01T00:00:00Z,BRK-RTR-12S,Brake Rotor - Standard 12in,45.99,35,AutoZone Pro,Brake Parts
prod_002,2026-01-01T00:00:00Z,BRK-RTR-12P,Brake Rotor - Premium 12in,62.99,12,AutoZone Pro,Brake Parts
prod_003,2026-01-01T00:00:00Z,FND-ALT-18,Aftermarket Fender Set - Nissan Altima 2016-2020,1240.00,0,LKQ Corp,Body Panels
prod_004,2026-01-01T00:00:00Z,PPG-EB-WHT,PPG Envirobase HP Basecoat - White,389.00,3,PPG Industries,Paint
prod_005,2026-01-01T00:00:00Z,PPG-EB-CLR,PPG Envirobase HP Clearcoat,295.00,5,PPG Industries,Paint
prod_006,2026-01-01T00:00:00Z,3M-CB2-6-80,3M Cubitron II Sanding Disc 6in P80,42.50,20,3M,Abrasives
prod_007,2026-01-01T00:00:00Z,EC-BF-1G,Body Filler - Lightweight 1gal,34.99,8,Evercoat,Body Repair
prod_008,2026-01-01T00:00:00Z,PPG-PR-GRY,2K Urethane Primer - Gray 1gal,125.00,4,PPG Industries,Primer
prod_009,2026-01-01T00:00:00Z,3M-MT-2-60,3M Green Masking Tape 2in x 60yd,8.99,48,3M,Masking
prod_010,2026-01-01T00:00:00Z,3M-DAPK-AST,DA Sanding Pad Kit - Assorted Grit,28.50,15,3M,Abrasives
recP0100,2026-01-15T09:00:00-04:00,SKU-1000,Paint Primer,153.98,31,PPG Industries,Tools
recP0101,2026-06-23T09:00:00-04:00,SKU-1001,Bumper Cover,242.35,40,Sherwin-Williams Automotive,Tools
recP0102,2026-09-12T09:00:00-04:00,SKU-1002,Sandpaper 400-Grit,196.65,29,Sherwin-Williams Automotive,Parts
recP0103,2026-04-26T09:00:00-04:00,SKU-1003,Masking Film,51.63,27,LKQ Corporation,Parts
recP0104,2026-05-08T09:00:00-04:00,SKU-1004,Headlight Assembly,81.91,51,Sherwin-Williams Automotive,Paint
recP0105,2026-06-02T09:00:00-04:00,SKU-1005,Bumper Cover,216.68,22,LKQ Corporation,Tools
recP0106,2026-09-09T09:00:00-04:00,SKU-1006,Sandpaper 400-Grit,112.18,19,PPG Industries,Tools
recP0107,2026-08-13T09:00:00-04:00,SKU-1007,Paint Primer,35.2,38,3M Automotive,Tools
recP0108,2026-03-20T09:00:00-04:00,SKU-1008,Bumper Cover,109.33,51,LKQ Corporation,Tools
recP0109,2026-03-12T09:00:00-04:00,SKU-1009,Bumper Cover,242.6,27,AutoZone,Supplies
recP0110,2026-07-09T09:00:00-04:00,SKU-1010,Door Handle,203.08,45,NAPA Auto Parts,Supplies
recP0111,2026-06-23T09:00:00-04:00,SKU-1011,Headlight Assembly,243.98,18,Sherwin-Williams Automotive,Tools
recP0112,2026-06-13T09:00:00-04:00,SKU-1012,Headlight Assembly,22.01,2,Dent Fix Equipment,Supplies
recP0113,2026-05-05T09:00:00-04:00,SKU-1013,Sandpaper 400-Grit,186.1,76,LKQ Corporation,Paint
recP0114,2026-08-28T09:00:00-04:00,SKU-1014,Tail Light,189.73,30,AutoZone,Tools
recP0115,2026-08-14T09:00:00-04:00,SKU-1015,Weatherstrip,221.99,14,O'Reilly Auto Parts,Tools
recP0116,2026-02-07T09:00:00-04:00,SKU-1016,Paint Primer,69.13,64,Dent Fix Equipment,Parts
recP0117,2026-01-18T09:00:00-04:00,SKU-1017,Sandpaper 400-Grit,118.32,58,O'Reilly Auto Parts,Parts
recP0118,2026-07-24T09:00:00-04:00,SKU-1018,Clearcoat Gallon,46.28,29,3M Automotive,Paint
recP0119,2026-04-01T09:00:00-04:00,SKU-1019,Clearcoat Gallon,19.26,74,NAPA Auto Parts,Supplies
recP0120,2026-03-03T09:00:00-04:00,SKU-1020,Headlight Assembly,244.31,76,LKQ Corporation,Paint
recP0121,2026-03-17T09:00:00-04:00,SKU-1021,Door Handle,217.52,45,AutoZone,Supplies
recP0122,2026-06-23T09:00:00-04:00,SKU-1022,Brake Rotors,77.22,71,Advance Auto Parts,Tools
recP0123,2026-07-12T09:00:00-04:00,SKU-1023,Weatherstrip,131.5,8,AutoZone,Paint
recP0124,2026-04-01T09:00:00-04:00,SKU-1024,Tail Light,79.0,15,Advance Auto Parts,Paint
recP0125,2026-03-03T09:00:00-04:00,SKU-1025,Paint Primer,249.94,14,NAPA Auto Parts,Tools
recP0126,2026-02-21T09:00:00-04:00,SKU-1026,Weatherstrip,54.86,5,Dent Fix Equipment,Tools
recP0127,2026-06-03T09:00:00-04:00,SKU-1027,Tail Light,111.97,13,Sherwin-Williams Automotive,Paint
recP0128,2026-01-12T09:00:00-04:00,SKU-1028,Brake Rotors,227.18,76,Dent Fix Equipment,Tools
recP0129,2026-05-14T09:00:00-04:00,SKU-1029,Masking Film,179.88,35,PPG Industries,Supplies
recP0130,2026-01-27T09:00:00-04:00,SKU-1030,Brake Rotors,241.63,9,3M Automotive,Tools
recP0131,2026-01-26T09:00:00-04:00,SKU-1031,Brake Rotors,95.41,19,Keystone Automotive,Supplies
recP0132,2026-08-13T09:00:00-04:00,SKU-1032,Wheel Bearings,45.34,2,Keystone Automotive,Parts
recP0133,2026-04-25T09:00:00-04:00,SKU-1033,Paint Primer,88.7,8,Keystone Automotive,Tools
recP0134,2026-06-22T09:00:00-04:00,SKU-1034,Clearcoat Gallon,119.02,56,NAPA Auto Parts,Paint
recP0135,2026-09-08T09:00:00-04:00,SKU-1035,Paint Primer,57.92,36,Advance Auto Parts,Parts
recP0136,2026-03-06T09:00:00-04:00,SKU-1036,Paint Primer,195.42,3,Keystone Automotive,Tools
recP0137,2026-03-24T09:00:00-04:00,SKU-1037,Paint Primer,45.37,3,Dent Fix Equipment,Paint
recP0138,2026-08-02T09:00:00-04:00,SKU-1038,Masking Film,53.14,64,O'Reilly Auto Parts,Tools
recP0139,2026-05-25T09:00:00-04:00,SKU-1039,Body Filler,199.75,52,Keystone Automotive,Tools
recP0140,2026-05-14T09:00:00-04:00,SKU-1040,Weatherstrip,185.04,50,3M Automotive,Parts
recP0141,2026-08-27T09:00:00-04:00,SKU-1041,Headlight Assembly,227.71,52,Advance Auto Parts,Tools
recP0142,2026-09-26T09:00:00-04:00,SKU-1042,Bumper Cover,237.72,33,LKQ Corporation,Parts
recP0143,2026-02-04T09:00:00-04:00,SKU-1043,Wheel Bearings,196.14,74,LKQ Corporation,Tools
recP0144,2026-08-13T09:00:00-04:00,SKU-1044,Masking Film,83.44,63,3M Automotive,Tools
recP0145,2026-05-08T09:00:00-04:00,SKU-1045,Fender Panel,152.75,36,LKQ Corporation,Paint
recP0146,2026-04-11T09:00:00-04:00,SKU-1046,Weatherstrip,184.12,27,Advance Auto Parts,Paint
recP0147,2026-08-01T09:00:00-04:00,SKU-1047,Weatherstrip,228.04,1,LKQ Corporation,Tools
recP0148,2026-06-25T09:00:00-04:00,SKU-1048,Sandpaper 400-Grit,18.69,55,3M Automotive,Supplies
recP0149,2026-05-28T09:00:00-04:00,SKU-1049,Side Mirror,165.81,1,Keystone Automotive,Tools
recP0150,2026-02-23T09:00:00-04:00,SKU-1050,Paint Primer,193.91,56,Sherwin-Williams Automotive,Tools
recP0151,2026-02-07T09:00:00-04:00,SKU-1051,Paint Primer,233.55,74,Sherwin-Williams Automotive,Tools
recP0152,2026-07-26T09:00:00-04:00,SKU-1052,Weatherstrip,247.07,40,Advance Auto Parts,Supplies
recP0153,2026-01-05T09:00:00-04:00,SKU-1053,Masking Film,174.51,8,AutoZone,Parts
recP0154,2026-03-27T09:00:00-04:00,SKU-1054,Bumper Cover,197.44,51,NAPA Auto Parts,Paint
recP0155,2026-06-04T09:00:00-04:00,SKU-1055,Wheel Bearings,146.32,32,O'Reilly Auto Parts,Paint
recP0156,2026-06-15T09:00:00-04:00,SKU-1056,Side Mirror,168.9,15,O'Reilly Auto Parts,Tools
recP0157,2026-02-05T09:00:00-04:00,SKU-1057,Body Filler,68.61,69,Advance Auto Parts,Supplies
recP0158,2026-03-02T09:00:00-04:00,SKU-1058,Weatherstrip,57.0,47,O'Reilly Auto Parts,Tools
recP0159,2026-04-15T09:00:00-04:00,SKU-1059,Wheel Bearings,37.5,76,AutoZone,Tools
recP0160,2026-08-18T09:00:00-04:00,SKU-1060,Weatherstrip,181.73,16,Dent Fix Equipment,Tools
recP0161,2026-03-25T09:00:00-04:00,SKU-1061,Bumper Cover,109.65,16,3M Automotive,Supplies
recP0162,2026-05-10T09:00:00-04:00,SKU-1062,Brake Rotors,222.53,52,PPG Industries,Tools
recP0163,2026-01-17T09:00:00-04:00,SKU-1063,Brake Pads,202.99,4,AutoZone,Parts
recP0164,2026-05-25T09:00:00-04:00,SKU-1064,Fender Panel,202.05,9,3M Automotive,Supplies
recP0165,2026-07-01T09:00:00-04:00,SKU-1065,Headlight Assembly,144.73,33,3M Automotive,Paint
recP0166,2026-04-01T09:00:00-04:00,SKU-1066,Wheel Bearings,140.64,52,LKQ Corporation,Parts
recP0167,2026-07-05T09:00:00-04:00,SKU-1067,Body Filler,240.28,53,3M Automotive,Supplies
recP0168,2026-05-28T09:00:00-04:00,SKU-1068,Side Mirror,205.97,44,LKQ Corporation,Paint
recP0169,2026-09-26T09:00:00-04:00,SKU-1069,Body Filler,212.69,40,3M Automotive,Paint
recP0170,2026-05-22T09:00:00-04:00,SKU-1070,Clearcoat Gallon,117.92,40,Keystone Automotive,Paint
recP0171,2026-03-19T09:00:00-04:00,SKU-1071,Weatherstrip,237.78,48,Dent Fix Equipment,Supplies
recP0172,2026-06-12T09:00:00-04:00,SKU-1072,Headlight Assembly,162.59,65,AutoZone,Paint
recP0173,2026-06-18T09:00:00-04:00,SKU-1073,Clearcoat Gallon,208.52,24,Sherwin-Williams Automotive,Paint
recP0174,2026-05-16T09:00:00-04:00,SKU-1074,Body Filler,158.27,53,Dent Fix Equipment,Tools
recP0175,2026-02-23T09:00:00-04:00,SKU-1075,Paint Primer,12.54,30,Dent Fix Equipment,Paint
recP0176,2026-03-25T09:00:00-04:00,SKU-1076,Body Filler,51.08,20,Dent Fix Equipment,Parts
recP0177,2026-08-14T09:00:00-04:00,SKU-1077,Weatherstrip,29.2,78,NAPA Auto Parts,Paint
recP0178,2026-08-07T09:00:00-04:00,SKU-1078,Weatherstrip,194.11,57,LKQ Corporation,Paint
recP0179,2026-07-22T09:00:00-04:00,SKU-1079,Door Handle,113.71,15,PPG Industries,Paint
recP0180,2026-02-16T09:00:00-04:00,SKU-1080,Headlight Assembly,194.33,34,Advance Auto Parts,Supplies
recP0181,2026-03-25T09:00:00-04:00,SKU-1081,Paint Primer,69.72,8,Dent Fix Equipment,Parts
recP0182,2026-01-27T09:00:00-04:00,SKU-1082,Weatherstrip,236.02,64,NAPA Auto Parts,Parts
recP0183,2026-05-03T09:00:00-04:00,SKU-1083,Bumper Cover,144.36,61,Advance Auto Parts,Parts
recP0184,2026-08-24T09:00:00-04:00,SKU-1084,Fender Panel,146.9,67,Keystone Automotive,Parts
recP0185,2026-03-08T09:00:00-04:00,SKU-1085,Sandpaper 400-Grit,78.63,20,LKQ Corporation,Tools
recP0186,2026-07-02T09:00:00-04:00,SKU-1086,Weatherstrip,157.08,18,LKQ Corporation,Paint
recP0187,2026-03-19T09:00:00-04:00,SKU-1087,Sandpaper 400-Grit,136.16,34,Keystone Automotive,Supplies
recP0188,2026-03-02T09:00:00-04:00,SKU-1088,Weatherstrip,246.73,4,Advance Auto Parts,Supplies
recP0189,2026-01-03T09:00:00-04:00,SKU-1089,Body Filler,102.83,56,O'Reilly Auto Parts,Supplies
recP0190,2026-01-12T09:00:00-04:00,SKU-1090,Side Mirror,128.18,51,Sherwin-Williams Automotive,Tools
recP0191,2026-04-19T09:00:00-04:00,SKU-1091,Side Mirror,39.6,21,AutoZone,Supplies
recP0192,2026-08-13T09:00:00-04:00,SKU-1092,Clearcoat Gallon,33.38,49,O'Reilly Auto Parts,Supplies
recP0193,2026-08-14T09:00:00-04:00,SKU-1093,Sandpaper 400-Grit,38.89,23,3M Automotive,Supplies
recP0194,2026-04-10T09:00:00-04:00,SKU-1094,Clearcoat Gallon,184.05,73,AutoZone,Paint
