food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
0,Food 0,,1 serving,g,775,20,13,20,1136,19,7,15,31,601,False
1,Food 1,,1 serving,g,475,27,14,42,169,15,5,13,33,669,True
2,Food 2,,1 serving,g,537,13,8,93,314,64,6,4,29,131,True
3,Food 3,,1 serving,g,594,37,11,62,291,44,0,23,12,363,False
4,Food 4,,1 serving,g,50,1,0,78,1420,12,6,5,12,773,False
5,Food 5,,1 serving,g,607,34,1,20,162,14,1,21,7,405,True
6,Food 6,,1 serving,g,304,36,1,31,493,42,1,10,26,754,False
7,Food 7,,1 serving,g,323,23,0,82,222,69,9,26,35,295,True
8,Food 8,,1 serving,g,191,5,12,20,613,34,2,24,39,101,True
9,Food 9,,1 serving,g,161,39,9,54,1352,15,8,19,7,653,True
10,Food 10,,1 serving,g,208,21,9,94,309,63,3,9,30,593,False
11,Food 11,,1 serving,g,177,36,3,57,825,56,4,24,24,586,False
12,Food 12,,1 serving,g,270,29,7,70,138,21,9,17,33,189,True
13,Food 13,,1 serving,g,490,7,3,25,1494,62,10,1,38,563,True
14,Food 14,,1 serving,g,124,22,8,78,863,72,0,19,14,707,True
15,Food 15,,1 serving,g,469,9,0,97,1494,19,7,27,32,726,False
16,Food 16,,1 serving,g,532,15,10,99,700,28,1,26,13,639,False
17,Food 17,,1 serving,g,437,36,14,76,54,45,1,23,38,205,True
18,Food 18,,1 serving,g,371,25,13,77,609,28,2,22,12,211,True
19,Food 19,,1 serving,g,79,16,4,62,1209,72,2,23,11,195,True
20,Food 20,,1 serving,g,126,11,13,59,515,49,10,13,5,117,True
21,Food 21,,1 serving,g,504,40,1,47,116,74,3,11,11,204,False
22,Food 22,,1 serving,g,129,15,14,85,537,68,8,3,23,382,True
23,Food 23,,1 serving,g,356,12,8,13,1090,23,5,27,30,572,False
24,Food 24,,1 serving,g,724,5,5,91,1210,38,4,29,30,625,False
25,Food 25,,1 serving,g,153,18,8,11,840,56,0,1,18,338,True
26,Food 26,,1 serving,g,566,25,8,1,1461,14,8,13,19,390,True
27,Food 27,,1 serving,g,739,3,10,94,322,70,4,9,2,134,False
28,Food 28,,1 serving,g,595,26,0,94,1172,55,9,19,5,590,False
29,Food 29,,1 serving,g,735,27,4,87,897,35,5,29,16,362,True
30,Food 30,,1 serving,g,415,1,4,0,407,39,4,11,9,196,True
31,Food 31,,1 serving,g,655,5,6,6,1061,77,9,30,8,672,False
32,Food 32,,1 serving,g,463,14,10,65,1257,42,10,14,8,654,True
33,Food 33,,1 serving,g,378,25,8,18,1023,15,10,17,10,631,True
34,Food 34,,1 serving,g,666,5,10,19,321,44,7,29,9,91,False
35,Food 35,,1 serving,g,125,11,6,76,489,29,4,4,40,542,True
36,Food 36,,1 serving,g,610,21,14,77,543,64,7,12,27,307,True
37,Food 37,,1 serving,g,165,30,11,31,1286,74,7,11,25,561,False
38,Food 38,,1 serving,g,748,39,13,60,524,76,9,17,7,269,True
39,Food 39,,1 serving,g,643,2,5,4,716,72,4,5,9,70,False
40,Food 40,,1 serving,g,460,13,15,77,1487,25,2,0,15,187,True
41,Food 41,,1 serving,g,627,9,4,76,1167,10,8,29,7,515,True
42,Food 42,,1 serving,g,122,12,4,51,422,78,8,28,24,110,False
43,Food 43,,1 serving,g,629,5,8,81,348,5,8,3,27,704,True
44,Food 44,,1 serving,g,420,2,2,42,176,55,6,16,27,604,True
45,Food 45,,1 serving,g,58,2,5,84,1058,16,1,20,31,381,False
46,Food 46,,1 serving,g,107,30,5,81,658,75,10,29,26,171,False
47,Food 47,,1 serving,g,416,33,14,66,275,68,5,19,34,627,True
48,Food 48,,1 serving,g,469,39,12,91,1153,57,1,15,14,338,True
49,Food 49,,1 serving,g,593,38,14,27,1453,36,6,10,14,588,False
50,Food 50,,1 serving,g,150,7,3,99,1280,75,9,14,2,594,False
51,Food 51,,1 serving,g,98,25,6,80,297,46,1,4,4,710,True
52,Food 52,,1 serving,g,214,5,1,28,739,23,1,21,5,277,False
53,Food 53,,1 serving,g,185,1,9,74,1138,14,7,28,30,673,True
54,Food 54,,1 serving,g,192,26,10,89,62,22,9,20,21,362,True
55,Food 55,,1 serving,g,393,23,2,35,521,21,1,20,39,727,False
56,Food 56,,1 serving,g,712,3,2,16,1152,53,5,17,7,761,False
57,Food 57,,1 serving,g,490,35,14,57,1418,6,5,28,27,99,False
