Date	Plant	Variety	Action	Plot	Notes
2025-05-01	Garden Bed	All	Prepare soil	Vegetable plot	Turned soil, added compost from bin, raked smooth
2025-05-01	Perennial Bed	All	Spring cleanup	Perennial border	Removed dead material from Marlene's daylilies and hostas
2025-05-05	Hosta	Sum and Substance	Divide and replant	Perennial border	Divided large clump from east bed, planted division near gate
2025-05-08	Tomato	Better Boy	Plant seedling	Raised bed row 1	3 plants, 18 inches apart, from Runnings garden center
2025-05-08	Tomato	Cherry (Juliet)	Plant seedling	Raised bed row 1	2 plants from Runnings
2025-05-10	Cucumber	Straight Eight	Plant seedling	Raised bed row 2	4 plants, trellis installed
2025-05-12	Bean	Blue Lake Bush	Direct seed	Raised bed row 3	Full row seeded, 2 inch spacing
2025-05-15	Daylily	Stella de Oro	Fertilize	Perennial border	Slow-release fertilizer, Marlene always did this in mid-May
2025-05-20	Tomato	Better Boy	Stake and tie	Raised bed row 1	Tied to tomato cages, plants 8 inches tall
2025-05-22	Bean	Blue Lake Bush	Thin seedlings	Raised bed row 3	Germination 90 percent, thinned to 4 inches
2025-05-28	All vegetables	All	Fertilize	All raised beds	Balanced 10-10-10 fertilizer, half dose
2025-06-02	Cucumber	Straight Eight	Train to trellis	Raised bed row 2	Vines beginning to run, tied to wire
2025-06-09	Bean	Blue Lake Bush	Side dress fertilize	Raised bed row 3	Nitrogen fertilizer, plants 6 inches tall
2025-06-16	Tomato	Better Boy	Sucker removal	Raised bed row 1	Removed axillary shoots, plants looking healthy
2025-06-23	Cucumber	Straight Eight	First harvest	Raised bed row 2	6 cucumbers, picked at 7 inches
2025-06-30	Bean	Blue Lake Bush	First harvest	Raised bed row 3	Picked about 1.5 lbs, gave half to Elaine
2025-07-04	Tomato	Cherry (Juliet)	First harvest	Raised bed row 1	First red tomatoes, about 20 cherries
2025-07-07	Cucumber	Straight Eight	Harvest	Raised bed row 2	8 cucumbers picked, plants very productive
2025-07-11	Bean	Blue Lake Bush	Harvest	Raised bed row 3	2 lbs picked, some going to church potluck
2025-07-14	Tomato	Better Boy	First harvest	Raised bed row 1	First full-size tomato, deep red, 8 oz
2025-07-21	All vegetables	All	Water deeply	All raised beds	Dry stretch, watered twice this week
2025-07-28	Tomato	Better Boy	Harvest	Raised bed row 1	4 large tomatoes, gave 2 to Dale at coffee
2025-08-04	Bean	Blue Lake Bush	Final harvest - pull plants	Raised bed row 3	Season done, pulled and composted
2025-08-11	Tomato	All	Harvest	Raised bed row 1	Peak production, canned 6 quarts crushed tomatoes
2025-08-18	Cucumber	Straight Eight	Final harvest	Raised bed row 2	Vines yellowing, last 5 cucumbers picked
2025-08-25	Hosta	All	Trim spent foliage	Perennial border	Tidied up, removed slug damage
2025-09-01	Tomato	All	Late harvest	Raised bed row 1	Brought in green tomatoes ahead of frost warning
2025-09-08	Tomato	All	Pull plants	Raised bed row 1	Season ended, composted vines
2025-09-15	Daylily	Stella de Oro	Deadhead and cut back	Perennial border	Cut foliage to 4 inches per Marlene's method
2025-09-22	Garden Bed	All	Fall cleanup	Vegetable plot	Turned soil, added compost, ready for winter
2025-09-29	Perennial Bed	All	Winterize	Perennial border	Light mulch over daylilies and hostas, Marlene always did this
