tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
794612340111,IT,In transit,FDXE,FedEx Intl Priority,2027-05-12,2027-05-16,Departed,Memphis,2027-05-12T20:00:00Z
794612340122,DL,Delivered,FDXE,FedEx Intl Economy,2027-05-02,2027-05-08,Delivered,Husum,2027-05-08T10:00:00Z
557,closed,open,iris-3,Kelp zephyr 3,2026-02-02T11:21:00Z,429,47.6401,Fulda,2026-08-11T01:55:00Z
232,open,closed,kelp-4,Bravo kelp 4,2026-06-24T19:00:00Z,116,47.8123,Lubeck,2026-04-02T02:32:00Z
845,pending,closed,umber-5,Iris violet 5,2026-11-27T22:44:00Z,166,52.4371,Trier,2026-10-14T19:42:00Z
246,standard,open,harbor-6,Frost meadow 6,2026-10-15T20:16:00Z,252,53.3838,Rostock,2026-09-27T09:03:00Z
42,general,active,quartz-7,Frost ember 7,2026-12-02T11:44:00Z,288,52.8456,Fulda,2026-04-14T16:56:00Z
647,pending,active,grove-8,Alpha quartz 8,2026-08-06T14:14:00Z,621,49.0433,Trier,2026-10-07T15:25:00Z
843,standard,open,frost-9,Zephyr umber 9,2026-04-23T14:59:00Z,831,49.3361,Flensburg,2026-06-09T09:17:00Z
559,open,standard,delta-10,River bravo 10,2026-03-16T06:55:00Z,673,52.7516,Fulda,2026-08-03T03:06:00Z
653,active,closed,pine-11,Summit iris 11,2026-05-04T19:06:00Z,270,53.3002,Lubeck,2026-09-15T02:30:00Z
585,standard,closed,tidal-12,Zephyr umber 12,2026-07-12T05:32:00Z,718,54.2973,Lubeck,2026-03-06T03:30:00Z
142,pending,closed,coral-13,Harbor meadow 13,2026-10-12T13:51:00Z,76,50.4544,Bremen,2026-09-17T23:23:00Z
64,open,standard,meadow-14,Jade violet 14,2026-02-22T08:19:00Z,446,51.9346,Mainz,2026-07-01T19:54:00Z
48,pending,active,frost-15,Harbor alpha 15,2026-02-05T00:55:00Z,38,51.4370,Kassel,2026-12-17T19:19:00Z
504,general,general,tidal-16,Summit haze 16,2026-04-09T18:11:00Z,321,49.6294,Mainz,2026-12-16T04:45:00Z
271,closed,closed,summit-17,Willow haze 17,2026-11-21T14:57:00Z,738,50.0479,Trier,2026-04-26T16:30:00Z
162,general,pending,harbor-18,Frost iris 18,2026-02-14T16:36:00Z,318,53.7335,Fulda,2026-07-02T21:49:00Z
147,closed,open,iris-19,Ember pine 19,2026-02-23T21:23:00Z,388,51.9770,Emden,2026-11-24T02:28:00Z
449,pending,general,quartz-20,Tidal bravo 20,2026-11-20T19:22:00Z,533,54.4726,Bonn,2026-10-02T15:40:00Z
320,open,open,iris-21,Summit frost 21,2026-12-17T11:19:00Z,263,52.3565,Mainz,2026-10-26T06:31:00Z
495,standard,standard,kelp-22,Frost summit 22,2026-03-21T23:50:00Z,895,47.5967,Kassel,2026-12-03T13:39:00Z
167,standard,active,haze-23,Violet cedar 23,2026-04-14T03:36:00Z,195,47.0624,Trier,2026-11-14T20:34:00Z
76,standard,standard,jade-24,Quartz meadow 24,2026-05-27T20:43:00Z,152,52.5928,Kassel,2026-06-24T15:55:00Z
66,general,pending,meadow-25,Violet harbor 25,2026-06-19T08:24:00Z,732,54.4029,Bremen,2026-11-08T05:55:00Z
498,closed,active,violet-26,Ember summit 26,2026-09-24T13:04:00Z,653,51.4173,Rostock,2026-11-06T18:45:00Z
293,pending,open,meadow-27,Harbor frost 27,2026-07-27T19:37:00Z,347,54.8795,Bonn,2026-11-17T12:08:00Z
211,open,standard,cedar-28,Iris iris 28,2026-05-18T08:50:00Z,487,53.9710,Kassel,2026-05-01T08:24:00Z
336,standard,open,delta-29,Umber zephyr 29,2026-05-28T14:58:00Z,669,48.4092,Hamburg,2026-08-12T12:27:00Z
133,open,open,jade-30,Bravo grove 30,2026-01-07T22:22:00Z,637,53.8748,Aachen,2026-09-09T20:15:00Z
394,open,open,iris-31,Summit umber 31,2026-11-06T15:30:00Z,124,49.8216,Rostock,2026-02-07T22:34:00Z
79,general,pending,meadow-32,Pine iris 32,2026-09-28T17:13:00Z,837,52.0768,Mainz,2026-03-24T14:40:00Z
783,open,standard,jade-33,Ember willow 33,2026-04-22T08:06:00Z,314,54.6578,Kassel,2026-04-02T11:19:00Z
1006,closed,standard,kelp-34,Umber kelp 34,2026-10-22T01:28:00Z,634,50.2372,Kassel,2026-02-20T10:40:00Z
443,standard,open,pine-35,Jade tidal 35,2026-03-24T05:10:00Z,265,54.1980,Aachen,2026-01-07T05:50:00Z
1007,open,standard,cedar-36,Willow umber 36,2026-10-22T05:39:00Z,243,49.5610,Lubeck,2026-06-03T15:13:00Z
380,general,closed,kelp-37,Coral alpha 37,2026-11-04T05:55:00Z,82,53.8387,Kassel,2026-04-12T02:17:00Z
775,closed,active,frost-38,Harbor summit 38,2026-07-11T16:43:00Z,119,52.2301,Jena,2026-12-19T18:09:00Z
785,general,standard,pine-39,Willow jade 39,2026-11-01T17:46:00Z,263,53.7126,Rostock,2026-01-17T23:44:00Z
865,open,closed,iris-40,Grove umber 40,2026-08-17T17:30:00Z,194,54.8018,Kassel,2026-08-17T05:17:00Z
801,closed,closed,bravo-41,Delta river 41,2026-11-25T23:30:00Z,274,54.7569,Fulda,2026-06-25T00:11:00Z
810,pending,general,quartz-42,Pine violet 42,2026-09-09T06:30:00Z,61,53.0095,Flensburg,2026-08-15T10:50:00Z
633,general,active,haze-43,Orbit coral 43,2026-01-11T10:48:00Z,688,54.3575,Rostock,2026-04-26T20:43:00Z
483,open,general,iris-44,Orbit river 44,2026-08-08T06:59:00Z,639,49.5178,Jena,2026-02-17T18:28:00Z
154,general,pending,kelp-45,Frost grove 45,2026-07-01T23:49:00Z,511,52.9002,Jena,2026-02-14T04:54:00Z
152,general,active,coral-46,Haze summit 46,2026-12-01T02:27:00Z,232,52.2141,Fulda,2026-08-03T11:59:00Z
846,closed,pending,meadow-47,Willow coral 47,2026-11-26T09:31:00Z,868,47.8529,Trier,2026-02-12T07:05:00Z
667,general,closed,river-48,Summit summit 48,2026-11-07T07:10:00Z,812,52.8566,Flensburg,2026-10-01T13:03:00Z
648,standard,active,alpha-49,River grove 49,2026-01-16T05:27:00Z,795,48.4085,Fulda,2026-05-27T22:45:00Z
1008,open,closed,pine-50,Harbor delta 50,2026-10-22T09:08:00Z,31,53.9753,Aachen,2026-01-26T20:39:00Z
691,active,active,kelp-51,Pine orbit 51,2026-05-02T01:58:00Z,102,54.4313,Hamburg,2026-11-16T19:35:00Z
404,open,closed,meadow-52,Bravo umber 52,2026-04-02T03:19:00Z,610,54.6983,Hamburg,2026-07-04T05:16:00Z
412,standard,standard,meadow-53,Willow summit 53,2026-11-18T22:38:00Z,41,52.8912,Trier,2026-09-06T22:36:00Z
774,pending,closed,meadow-54,Grove quartz 54,2026-12-24T08:55:00Z,781,51.0136,Mainz,2026-07-17T15:30:00Z
631,general,closed,pine-55,Iris harbor 55,2026-10-21T19:06:00Z,689,53.5315,Flensburg,2026-01-19T16:11:00Z
560,open,standard,iris-56,Bravo haze 56,2026-12-25T05:50:00Z,698,52.9572,Lubeck,2026-01-16T13:30:00Z
598,pending,general,umber-57,Orbit coral 57,2026-10-28T05:11:00Z,44,49.7097,Rostock,2026-08-08T11:01:00Z
304,active,pending,orbit-58,River zephyr 58,2026-08-03T04:03:00Z,554,48.4886,Kassel,2026-09-18T05:49:00Z
1009,pending,general,kelp-59,Alpha orbit 59,2026-11-06T01:08:00Z,870,51.7749,Kiel,2026-03-11T10:32:00Z
651,pending,open,jade-60,Haze quartz 60,2026-03-13T11:48:00Z,619,48.0659,Kiel,2026-07-03T22:50:00Z
13,pending,active,river-61,Jade willow 61,2026-07-24T03:56:00Z,310,53.0426,Bremen,2026-06-15T13:08:00Z
24,pending,standard,river-62,Orbit umber 62,2026-11-27T19:13:00Z,551,53.9233,Trier,2026-09-17T15:01:00Z
813,open,open,tidal-63,Bravo zephyr 63,2026-08-19T02:10:00Z,38,51.6342,Kiel,2026-11-06T09:06:00Z
363,general,general,meadow-64,Umber frost 64,2026-10-25T16:34:00Z,387,50.5826,Rostock,2026-09-09T04:13:00Z
842,active,open,cedar-65,Umber willow 65,2026-11-07T04:24:00Z,420,48.7639,Bonn,2026-08-06T03:43:00Z
838,open,closed,jade-66,River grove 66,2026-02-22T16:21:00Z,773,51.5909,Kassel,2026-04-10T16:12:00Z
126,active,active,bravo-67,Delta summit 67,2026-08-09T10:10:00Z,785,47.7881,Jena,2026-01-03T22:16:00Z
175,general,pending,quartz-68,Delta orbit 68,2026-10-04T16:57:00Z,641,54.2490,Flensburg,2026-04-07T03:28:00Z
413,general,closed,orbit-69,Bravo alpha 69,2026-06-07T05:10:00Z,692,50.4562,Lubeck,2026-11-27T09:03:00Z
615,pending,standard,pine-70,Frost orbit 70,2026-03-06T09:48:00Z,209,54.6852,Rostock,2026-03-04T08:21:00Z
