pair,base,currency,amount
BTC-USD,BTC,USD,36780.48
BTC-EUR,BTC,EUR,61726.32
BTC-GBP,BTC,GBP,63398.6
ETH-USD,ETH,USD,1557.05
ETH-EUR,ETH,EUR,20318.34
ETH-GBP,ETH,GBP,14524.35
LTC-USD,LTC,USD,2940.91
LTC-EUR,LTC,EUR,64309.77
LTC-GBP,LTC,GBP,22941.64
SOL-USD,SOL,USD,56881.59
SOL-EUR,SOL,EUR,47827.09
SOL-GBP,SOL,GBP,8575.7
DOGE-USD,DOGE,USD,51417.83
DOGE-EUR,DOGE,EUR,52209.12
DOGE-GBP,DOGE,GBP,28875.93
ADA-USD,ADA,USD,52011.94
ADA-EUR,ADA,EUR,9477.96
ADA-GBP,ADA,GBP,35147.23
DOT-USD,DOT,USD,41286.24
DOT-EUR,DOT,EUR,18347.61
DOT-GBP,DOT,GBP,28959.45
LINK-USD,LINK,USD,25619.64
LINK-EUR,LINK,EUR,40223.08
LINK-GBP,LINK,GBP,16931.33
AVAX-USD,AVAX,USD,59920.99
AVAX-EUR,AVAX,EUR,55032.16
AVAX-GBP,AVAX,GBP,21843.22
XRP-USD,XRP,USD,17805.17
XRP-EUR,XRP,EUR,49785.78
XRP-GBP,XRP,GBP,13620.94
