id,name,id_board,pos,closed
lst_maint_backlog,Backlog,brd_brewhouse_maint,1,False
lst_maint_doing,Doing,brd_brewhouse_maint,2,False
lst_maint_blocked,Blocked,brd_brewhouse_maint,3,False
lst_maint_done,Done,brd_brewhouse_maint,4,False
lst_phase2_pending,Pending sign-off,brd_phase2_mirror,1,False
lst_phase2_done,Done,brd_phase2_mirror,2,False
lst_open_mon,Mon Nov 2,brd_opening_week,1,False
lst_open_tue,Tue Nov 3,brd_opening_week,2,False
lst_open_wed,Wed Nov 4,brd_opening_week,3,False
lst_open_thu,Thu Nov 5,brd_opening_week,4,False
lst_open_fri,Fri Nov 6,brd_opening_week,5,False
