page_id,property_name,property_type,value
pg-vault-index,Status,select,living
pg-vault-absence,Status,select,living
pg-vault-custody,Status,select,living
pg-vault-related,Status,select,living
pg-vault-setaside,Status,select,living
pg-openq-current,Status,select,active
pg-training-outline,Status,select,draft
pg-training-mod1,Status,select,draft
pg-training-mod2,Status,select,draft
pg-training-mod3,Status,select,draft
pg-training-outline,Audience,text,Three junior forensic staff
pg-training-outline,KickoffDate,date,2026-11-20
