video_id,title,description,publishedAt,channelId,categoryId,tags,duration,dimension,definition,privacyStatus,publishAt,embeddable,viewCount,likeCount,dislikeCount,commentCount,thumbnailUrl,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
yt_0,Coil building demo,Tutorial,2026-07-01T12:00:00-05:00,UC_porter,26,pottery,PT8M,2d,hd,public,,true,1561,72,0,1,,none,en,en
yt_1,Coil building demo,Tutorial,2026-07-01T12:00:00-05:00,UC_porter,26,pottery,PT8M,2d,hd,public,,true,1782,140,0,9,,none,en,en
yt_2,Coil building demo,Tutorial,2026-07-01T12:00:00-05:00,UC_porter,26,pottery,PT8M,2d,hd,public,,true,569,45,0,0,,none,en,en
yt_3,Coil building demo,Tutorial,2026-07-01T12:00:00-05:00,UC_porter,26,pottery,PT8M,2d,hd,public,,true,2387,138,0,11,,none,en,en
yt_4,Coil building demo,Tutorial,2026-07-01T12:00:00-05:00,UC_porter,26,pottery,PT8M,2d,hd,public,,true,285,88,0,6,,none,en,en
yt_5,Coil building demo,Tutorial,2026-07-01T12:00:00-05:00,UC_porter,26,pottery,PT8M,2d,hd,public,,true,605,155,0,7,,none,en,en
yt_2006,Throwing a bowl 6,Pottery tutorial,2026-04-28T10:24:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,1508,333,0,43,https://yt.example/2006.jpg,none,en,en
yt_2007,Throwing a bowl 7,Pottery tutorial,2026-03-26T11:58:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,4183,319,0,34,https://yt.example/2007.jpg,none,en,en
yt_2008,Throwing a bowl 8,Pottery tutorial,2026-03-09T22:28:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,2433,328,0,58,https://yt.example/2008.jpg,none,en,en
yt_2009,Kiln loading 9,Pottery tutorial,2026-09-05T23:46:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,3776,146,0,42,https://yt.example/2009.jpg,none,en,en
yt_2010,Glazing tips 10,Pottery tutorial,2026-08-01T16:16:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,2528,264,0,54,https://yt.example/2010.jpg,none,en,en
yt_2011,Kiln loading 11,Pottery tutorial,2026-04-10T07:45:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,2269,302,0,53,https://yt.example/2011.jpg,none,en,en
yt_2012,Glazing tips 12,Pottery tutorial,2026-07-04T21:45:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,977,57,0,51,https://yt.example/2012.jpg,none,en,en
yt_2013,Throwing a bowl 13,Pottery tutorial,2026-02-22T17:53:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,1257,67,0,44,https://yt.example/2013.jpg,none,en,en
yt_2014,Throwing a bowl 14,Pottery tutorial,2026-05-28T03:52:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,2486,284,0,13,https://yt.example/2014.jpg,none,en,en
yt_2015,Trimming feet 15,Pottery tutorial,2026-07-24T02:40:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,975,325,0,29,https://yt.example/2015.jpg,none,en,en
yt_2016,Kiln loading 16,Pottery tutorial,2026-06-04T00:35:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,3174,78,0,33,https://yt.example/2016.jpg,none,en,en
yt_2017,Throwing a bowl 17,Pottery tutorial,2026-09-21T22:36:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,2708,75,0,37,https://yt.example/2017.jpg,none,en,en
yt_2018,Glazing tips 18,Pottery tutorial,2026-01-08T01:25:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,4486,384,0,7,https://yt.example/2018.jpg,none,en,en
yt_2019,Trimming feet 19,Pottery tutorial,2026-09-06T22:01:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,4949,112,0,7,https://yt.example/2019.jpg,none,en,en
yt_2020,Glazing tips 20,Pottery tutorial,2026-07-18T17:09:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,4741,277,0,57,https://yt.example/2020.jpg,none,en,en
yt_2021,Trimming feet 21,Pottery tutorial,2026-03-16T05:30:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,1621,297,0,38,https://yt.example/2021.jpg,none,en,en
yt_2022,Throwing a bowl 22,Pottery tutorial,2026-05-21T07:50:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,4249,27,0,10,https://yt.example/2022.jpg,none,en,en
yt_2023,Throwing a bowl 23,Pottery tutorial,2026-05-09T20:27:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,925,134,0,27,https://yt.example/2023.jpg,none,en,en
yt_2024,Trimming feet 24,Pottery tutorial,2026-04-16T00:26:00Z,UC_porter,26,"pottery,ceramics",PT10M,2d,hd,public,,true,4017,214,0,58,https://yt.example/2024.jpg,none,en,en
