Title	Kind	Occasion	Length	Notes
Precious Lord, Take My Hand	Hymn	Sunday service	4:12	Dorothy's favorite, we sing it slow
How Great Thou Art	Hymn	Communion Sunday	3:55	Open the windows for this one
I Will Fly Away	Quartet	Homegoing services	2:48	Played it at too many funerals
Peace Be Still	Classic gospel	Quiet evening	6:20	The storm passage, gets me every time
Walk Around Heaven All Day	Classic gospel	Sunday afternoon	3:40	Reminds me of my mother's kitchen
Father I Stretch My Hands to Thee	Hymn	Morning	3:10	Hum it on the walk sometimes
The Old Rugged Cross	Hymn	Lent	3:58	Plain and true, like it should be
His Eye Is on the Sparrow	Hymn	Visitation	4:05	Sing it to the shut-ins
Wade in the Water	Spiritual	Baptism Sunday	3:22	History in every word
Soon and Very Soon	Gospel	Choir concert	4:30	The young folks love this one
Total Praise	Gospel	Choir concert	4:50	The amen at the end raises the roof
