Date	Donor	Category	Item	Quantity	Unit	Logged By	Destination
2025-11-03	Greater Hope Baptist Church	Canned Goods	Green beans	96	cans	Ashley Rogers	Shelf A2
2025-11-03	Greater Hope Baptist Church	Canned Goods	Sweet corn	84	cans	Ashley Rogers	Shelf A2
2025-11-05	Fenkell Fresh Market	Produce	Potatoes	120	lbs	Dorothy volunteer team	Cooler 1
2025-11-05	Fenkell Fresh Market	Produce	Yellow onions	60	lbs	Ashley Rogers	Cooler 1
2025-11-07	Community Gleaning Network	Dry Goods	Rice 2lb bags	150	bags	Ashley Rogers	Shelf C1
2025-11-10	Anonymous porch drop	Canned Goods	Mixed soup	48	cans	Ashley Rogers	Shelf A3
2025-11-12	Midwest Food Rescue	Protein	Frozen chicken	200	lbs	Ashley Rogers	Freezer 2
2025-11-14	Brightmoor Garden Co-op	Produce	Collard greens	40	bunches	Ashley Rogers	Cooler 2
2025-11-17	Greater Hope Baptist Church	Dry Goods	Cornmeal 5lb	75	bags	Ashley Rogers	Shelf C2
2025-11-19	Grand River Grocery	Canned Goods	Black-eyed peas	108	cans	Ashley Rogers	Shelf A1
2025-11-21	Private donor M. Coleman	Holiday	Turkeys frozen	35	birds	Ashley Rogers	Freezer 1
2025-11-24	Midwest Food Rescue	Dairy	Milk gallons	90	gallons	Ashley Rogers	Cooler 3
2025-12-01	Community Gleaning Network	Dry Goods	Pasta 1lb	200	boxes	Ashley Rogers	Shelf C1
2025-12-03	Anonymous porch drop	Canned Goods	Cranberry sauce	60	cans	Ashley Rogers	Shelf A3
2025-12-05	Fenkell Fresh Market	Produce	Apples	80	lbs	Ashley Rogers	Cooler 1
