Week	Date	Matchup	Home_Away	Result	Detroit_Score	Other_Score	Watched_With	Notes
1	2025-09-07	at Green Bay	Away	L	24	31	Dorothy	Defense looked tired in the fourth
2	2025-09-14	vs Chicago	Home	W	27	20	Dorothy and Marcus	Good start, run game working
3	2025-09-21	at Baltimore	Away	L	17	28	Alone	Late game, Dorothy went to bed
4	2025-09-28	vs Seattle	Home	W	34	21	Dorothy and grandkids	Loud house, good Sunday
5	2025-10-05	vs Cincinnati	Home	W	30	24	Dorothy	Sweet tea and a close one
6	2025-10-12	at Kansas City	Away	L	21	27	Clarence came by	Clarence rooting against me on purpose
7	2025-10-19	vs Tampa	Home	W	28	17	Dorothy	Defense showed up
8	2025-10-26	at Minnesota	Away	W	23	20	Dorothy	Field goal at the buzzer, my heart
9	2025-11-02	vs Washington	Home	W	31	14	Family after church	Best they have looked
10	2025-11-09	at Philadelphia	Away	L	20	26	Dorothy	Tough road game
11	2025-11-16	vs Green Bay	Home	W	24	22	Marcus and the boys	Payback for week one
12	2025-11-27	vs Chicago	Home	W	29	19	Thanksgiving, whole family	Tradition, turkey and the game
13	2025-12-07	at Dallas	Away	L	22	30	Dorothy	Slow start cost them
14	2025-12-14	vs Minnesota	Home	W	27	24	Clarence	He stayed quiet that time
