Date	Recipient	Purpose	Method	Amount
2025-10-05	Greater Hope Baptist Church	Tithe	Check	315
2025-10-05	Greater Hope Baptist Church	Building fund	Check	25
2025-11-02	Greater Hope Baptist Church	Tithe	Check	315
2025-11-02	Harvest Table Food Bank	Winter appeal	Cash	50
2025-11-27	Greater Hope Baptist Church	Thanksgiving offering	Check	40
2025-12-07	Greater Hope Baptist Church	Tithe	Check	315
2025-12-21	Greater Hope Baptist Church	Benevolence fund	Check	35
2026-01-04	Greater Hope Baptist Church	Tithe	Check	315
2026-01-04	Greater Hope Baptist Church	Building fund	Check	25
2026-02-01	Greater Hope Baptist Church	Tithe	Check	315
2026-02-01	Greater Hope Baptist Church	Building fund	Check	25
2026-02-15	Brightmoor Community Center	Youth chess supplies	Cash	30
